time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-23.4
0.5,-22.6
0.6,-23.1
0.7,-23.1
0.8,-22.8
0.9,-21.7
1,-21.5
1.1,-19.9
1.2,-19.6
1.3,-19
1.4,-18.4
1.5,-18.2
1.6,-18
1.7,-18
1.8,-18.1
1.9,-18.3
2,-17.7
2.1,-17
2.2,-16.4
2.3,-15.8
2.4,-15.2
2.5,-14.3
2.6,-13.7
2.7,-13.4
2.8,-13.4
2.9,-13.8
3,-14.5
3.1,-14.7
3.2,-15.3
3.3,-15.9
3.4,-16.1
3.5,-16.6
3.6,-16
3.7,-15.6
3.8,-14.8
3.9,-14
4,-14
4.1,-14
4.2,-14.2
4.3,-14.4
4.4,-14.1
4.5,-13.8
4.6,-13.9
4.7,-13.9
4.8,-14.1
4.9,-14.7
5,-15.1
5.1,-15.9
5.2,-16.4
5.3,-16
5.4,-15.8
5.5,-15.8
5.6,-16.1
5.7,-16.8
5.8,-17.3
5.9,-17.8
6,-18.5
6.1,-19.1
6.2,-20.4
6.3,-21.6
6.4,-22.3
6.5,-23.3
6.6,-24.7
6.7,-26
6.8,-27.5
6.9,-28.6
7,-26.2
7.1,-23.8
7.2,-22.8
7.3,-21.6
7.4,-21.7
7.5,-21.3
7.6,-21
7.7,-20.3
7.8,-20.2
7.9,-20.6
8,-20.1
8.1,-20.2
8.2,-19
8.3,-18.2
8.4,-17.9
8.5,-17.4
8.6,-17.5
8.7,-17.5
8.8,-17.7
8.9,-17.8
9,-17.5
9.1,-17.5
9.2,-17.2
9.3,-17.5
9.4,-17.6
9.5,-17.9
9.6,-17.9
9.7,-17.7
9.8,-17.8
9.9,-17.8
10,-18.4
10.1,-18.6
10.2,-18.5
10.3,-17.7
10.4,-17.5
10.5,-17.5
10.6,-18.2
10.7,-18.9
10.8,-19.3
10.9,-19.2
11,-18.8
11.1,-18.3
11.2,-18
11.3,-17.9
11.4,-17.4
11.5,-16.9
11.6,-16.5
11.7,-15.8
11.8,-15.4
11.9,-15.8
12,-15.4
12.1,-15.8
12.2,-15.9
12.3,-15.9
12.4,-16.4
12.5,-16.2
12.6,-16.9
12.7,-17.1
12.8,-17.8
12.9,-19
13,-19.7
13.1,-20.8
13.2,-21.4
13.3,-22
13.4,-22.8
13.5,-23.3
13.6,-24.4
13.7,-25.2
13.8,-27.4
13.9,-18.2
14,-15.8
14.1,-14.5
14.2,-13.2
14.3,-13.7
14.4,-13.8
14.5,-13.1
14.6,-12.7
14.7,-12.2
14.8,-12
14.9,-12.1
15,-12.5
15.1,-13.8
