start,end,text,uncertain,source,checked
13,20,失った空 ah 最後の魔法,0,vocal_text_raw_time,1
20,27,消える色さえ青く燃えてる,0,vocal_text_raw_time,1
27,33,ぬくもりを今 風に刻もう,0,vocal_text_raw_time,1
34,40,切ない夢が ah 静かに溶ける,0,vocal_text_raw_time,1
40,47,沈む太陽 震える指で,0,vocal_text_raw_time,1
48,54,思い出 そっとなぞってみせる,0,vocal_text_raw_time,1
54,61.24,命の色空に巻こう,1,vocal_text_raw_time,1
61.24,65.5,消える前にやっと毒と信じて,1,vocal_text_raw_time,1
65.5,72.36,この祈りりがたすべて捧げる,0,vocal_text_raw_time,1
72.36,78.8,さよならを今抱きしめるから,0,vocal_text_raw_time,1
78.8,83.2,最後の魔法を時を越えて,0,vocal_text_raw_time,1
