time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-22.8
0.5,-20.8
0.6,-16.6
0.7,-15.4
0.8,-14.6
0.9,-13.9
1,-14.4
1.1,-14.3
1.2,-13.9
1.3,-13.9
1.4,-14.2
1.5,-14.4
1.6,-15.1
1.7,-15.7
1.8,-15.5
1.9,-15.8
2,-15.7
2.1,-14.9
2.2,-14.5
2.3,-13.7
2.4,-13.5
2.5,-13.8
2.6,-13.8
2.7,-14.2
2.8,-14.2
2.9,-14
3,-14.5
3.1,-15.1
3.2,-15.5
3.3,-15.8
3.4,-15.6
3.5,-15
3.6,-15.1
3.7,-15.6
3.8,-16
3.9,-16.6
4,-15.6
4.1,-15.1
4.2,-14.7
4.3,-14.4
4.4,-14.8
4.5,-14.8
4.6,-14.7
4.7,-14.7
4.8,-14.8
4.9,-14.8
5,-15.1
5.1,-15.7
5.2,-15.7
5.3,-15.9
5.4,-15.7
5.5,-14.7
5.6,-14.3
5.7,-13.8
5.8,-13.6
5.9,-14
6,-14.1
6.1,-14.2
6.2,-14.2
6.3,-14.2
6.4,-14.5
6.5,-15
6.6,-15.5
6.7,-16.2
6.8,-16.8
6.9,-16.8
7,-15.9
7.1,-15.1
7.2,-14.7
7.3,-14.7
7.4,-15
7.5,-14.9
7.6,-14.9
7.7,-14.7
7.8,-14.9
7.9,-15.2
8,-14.9
8.1,-14.7
8.2,-14.6
8.3,-14.6
8.4,-15.2
8.5,-16.1
8.6,-16.3
8.7,-16.2
8.8,-15.3
8.9,-14.4
9,-14.2
9.1,-13.9
9.2,-13.7
9.3,-13.7
9.4,-13.8
9.5,-14
9.6,-14.5
9.7,-14.6
9.8,-14.4
9.9,-14.1
10,-14
10.1,-14
10.2,-14.1
10.3,-14.4
10.4,-14.4
10.5,-14.2
10.6,-14.2
10.7,-14.3
10.8,-14.5
10.9,-14.6
11,-14.7
11.1,-14.8
11.2,-14.7
11.3,-15.1
11.4,-15.2
11.5,-15.2
11.6,-15.3
11.7,-15.6
11.8,-15.9
11.9,-16.3
12,-16.5
12.1,-16.5
12.2,-16.1
12.3,-15.5
12.4,-14.3
12.5,-13.6
12.6,-12.8
12.7,-12.7
12.8,-13.3
12.9,-13.8
13,-14.9
13.1,-15.4
13.2,-15.6
13.3,-15.5
13.4,-15.7
13.5,-15.3
13.6,-15.1
13.7,-15
13.8,-15.3
13.9,-15.5
14,-16
14.1,-17
14.2,-17.6
14.3,-17.1
14.4,-16.8
14.5,-16.1
14.6,-15.6
14.7,-16.6
14.8,-17.6
14.9,-19.4
15,-20.2
