difficulty,time,col,type
easy,0.9,2,tap
easy,2.4,3,tap
easy,3.5,4,tap
easy,5.8,1,tap
easy,7.2,2,tap
easy,8.2,3,tap
easy,10.6,4,tap
easy,12.7,1,tap
easy,13.7,2,tap
easy,16.1,3,tap
easy,17.2,4,tap
easy,19.1,1,tap
easy,22.4,2,tap
easy,23.6,3,tap
easy,24.9,4,tap
easy,26,1,tap
easy,27.6,2,tap
easy,31.3,3,tap
easy,33.3,4,tap
easy,35.6,1,tap
easy,36.7,2,tap
easy,38,3,tap
easy,39.3,4,tap
easy,43.6,1,tap
easy,45.2,2,tap
easy,46.8,3,tap
easy,48.1,4,tap
easy,49.1,1,tap
easy,51.2,2,tap
easy,55.1,3,tap
easy,56.6,4,tap
easy,57.8,1,tap
easy,59.6,2,tap
easy,61.5,3,tap
easy,65.6,4,tap
easy,66.7,1,tap
easy,68,2,tap
easy,69.4,3,tap
easy,71.6,4,tap
easy,72.9,1,tap
easy,75.9,2,tap
easy,77.6,3,tap
easy,79.1,4,tap
easy,81.2,1,tap
easy,82.6,2,tap
normal,0.9,2,tap
normal,2.4,3,tap
normal,3.5,4,tap
normal,4.3,1,tap
normal,5.8,2,tap
normal,7.2,3,tap
normal,8.2,4,tap
normal,9.2,1,tap
normal,10,2,tap
normal,12.7,3,tap
normal,13.7,4,tap
normal,14.6,1,tap
normal,16.1,2,tap
normal,17.2,3,tap
normal,19.1,4,tap
normal,20.8,1,tap
normal,21.7,2,tap
normal,22.4,3,tap
normal,23.6,4,tap
normal,24.9,1,tap
normal,26,2,tap
normal,27.6,3,tap
normal,28.3,4,tap
normal,30.3,1,tap
normal,31.3,2,tap
normal,33.3,3,tap
normal,35.6,4,tap
normal,36.7,1,tap
normal,38,2,tap
normal,39.3,3,tap
normal,40,4,tap
normal,41.6,1,tap
normal,42.4,2,tap
normal,43.6,3,tap
normal,44.4,4,tap
normal,45.2,1,tap
normal,45.9,2,tap
normal,46.8,3,tap
normal,48.1,4,tap
normal,49.1,1,tap
normal,51.2,2,tap
normal,52.5,3,tap
normal,53.2,4,tap
normal,55.1,1,tap
normal,56.6,2,tap
normal,57.8,3,tap
normal,58.6,4,tap
normal,59.6,1,tap
normal,60.3,2,tap
normal,61.5,3,tap
normal,63.9,4,tap
normal,65.6,1,tap
normal,66.7,2,tap
normal,68,3,tap
normal,69.4,4,tap
normal,71.6,1,tap
normal,72.4,2,tap
normal,73.6,3,tap
normal,74.4,4,tap
normal,75.2,1,tap
normal,75.9,2,tap
normal,76.8,3,tap
normal,77.6,4,tap
normal,79.1,1,tap
normal,81.2,2,tap
normal,81.9,3,tap
normal,82.6,4,tap
normal,83.4,1,tap
normal,84.7,2,tap
hard,0.9,2,tap
hard,1.2,3,tap
hard,2.4,4,tap
hard,3.5,1,tap
hard,4.3,2,tap
hard,5.8,3,tap
hard,7.2,4,tap
hard,7.7,1,tap
hard,8.2,2,tap
hard,9.2,3,tap
hard,10,4,tap
hard,10.6,1,tap
hard,12.7,2,tap
hard,13.7,3,tap
hard,14.6,4,tap
hard,16.1,1,tap
hard,17.2,2,tap
hard,17.8,3,tap
hard,19.1,4,tap
hard,19.7,1,tap
hard,20.8,2,tap
hard,21.7,3,tap
hard,22.4,4,tap
hard,23.6,1,tap
hard,24.1,2,tap
hard,24.9,3,tap
hard,25.5,4,tap
hard,26,1,tap
hard,27.6,2,tap
hard,28.1,3,tap
hard,30.3,4,tap
hard,31.3,1,tap
hard,31.8,2,tap
hard,33.3,3,tap
hard,35.6,4,tap
hard,36.7,1,tap
hard,38,2,tap
hard,39.3,3,tap
hard,40,4,tap
hard,41.6,1,tap
hard,42.4,2,tap
hard,43.6,3,tap
hard,44.4,4,tap
hard,45.2,1,tap
hard,45.9,2,tap
hard,46.8,3,tap
hard,48.1,4,tap
hard,48.5,1,tap
hard,49.1,2,tap
hard,51.2,3,tap
hard,52.5,4,tap
hard,53.1,1,tap
hard,55.1,2,tap
hard,56.6,3,tap
hard,57.8,4,tap
hard,58.6,1,tap
hard,59.6,2,tap
hard,60.3,3,tap
hard,61.5,4,tap
hard,62,1,tap
hard,63.9,2,tap
hard,64.5,3,tap
hard,65.6,4,tap
hard,66.7,1,tap
hard,67.1,2,tap
hard,68,3,tap
hard,69.4,4,tap
hard,69.9,1,tap
hard,71.6,2,tap
hard,72.4,3,tap
hard,72.9,4,tap
hard,73.6,1,tap
hard,74.4,2,tap
hard,75.2,3,tap
hard,75.9,4,tap
hard,76.8,1,tap
hard,77.6,2,tap
hard,78.2,3,tap
hard,79.1,4,tap
hard,81.2,1,tap
hard,81.9,2,tap
hard,82.6,3,tap
hard,83.4,4,tap
hard,84.7,1,tap
hard,85.3,2,tap
