time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-22.8
0.5,-21.7
0.6,-21.7
0.7,-22
0.8,-22.3
0.9,-22.3
1,-21.8
1.1,-21.7
1.2,-21.9
1.3,-21.6
1.4,-21.9
1.5,-21.8
1.6,-21.6
1.7,-21.9
1.8,-21.5
1.9,-21.2
2,-20.7
2.1,-20.3
2.2,-20.6
2.3,-20.9
2.4,-21.8
2.5,-22.6
2.6,-21.9
2.7,-21
2.8,-20.6
2.9,-20.2
3,-20.6
3.1,-21.3
3.2,-21.4
3.3,-21.7
3.4,-21.1
3.5,-20.9
3.6,-20.7
3.7,-20.5
3.8,-20.9
3.9,-21.4
4,-22
4.1,-22.8
4.2,-22.5
4.3,-22.3
4.4,-22.3
4.5,-21.7
4.6,-22.2
4.7,-22.4
4.8,-22.2
4.9,-22.4
5,-22.2
5.1,-22.3
5.2,-22.5
5.3,-22.5
5.4,-22.6
5.5,-22.5
5.6,-22.4
5.7,-22.7
5.8,-22.7
5.9,-22.6
6,-22.6
6.1,-22.5
6.2,-22.7
6.3,-23.1
6.4,-23.3
6.5,-23.5
6.6,-23.1
6.7,-22.7
6.8,-22.2
6.9,-21.6
7,-21.5
7.1,-21.2
7.2,-21.2
7.3,-21.4
7.4,-21.3
7.5,-21.4
7.6,-21.3
7.7,-20.7
7.8,-20.8
7.9,-20.9
8,-21.3
8.1,-22.3
8.2,-22.2
8.3,-21.7
8.4,-20.7
8.5,-19.8
8.6,-19.3
8.7,-19.3
8.8,-19.4
8.9,-19.4
9,-19.6
9.1,-19.6
9.2,-19.9
9.3,-20.3
9.4,-20.8
9.5,-21
9.6,-21.2
9.7,-21.1
9.8,-21.1
9.9,-21.2
10,-21.2
10.1,-21.3
10.2,-21
10.3,-21
10.4,-20.7
10.5,-20.4
10.6,-20.5
10.7,-20.4
10.8,-20.6
10.9,-20.6
11,-20
11.1,-19.7
11.2,-19.6
11.3,-18.6
11.4,-15
11.5,-14
11.6,-13
11.7,-12.5
11.8,-12.7
11.9,-13
12,-13.2
12.1,-13.6
12.2,-13.4
12.3,-12.8
12.4,-12.4
12.5,-11.8
12.6,-11.7
12.7,-11.7
12.8,-12
12.9,-12.5
13,-12.8
13.1,-12.9
13.2,-12.6
13.3,-12.2
13.4,-12.1
13.5,-12.2
13.6,-12.6
13.7,-12.9
13.8,-13.5
13.9,-14.1
14,-14.5
14.1,-14.6
14.2,-14.3
14.3,-14.1
14.4,-14.3
14.5,-14.3
14.6,-14
14.7,-13.8
14.8,-13.4
14.9,-13.1
15,-12.8
