difficulty,time,col,type
easy,0.5,2,tap
easy,2.1,3,tap
easy,3.7,4,tap
easy,5,1,tap
easy,7.1,2,tap
easy,8.6,3,tap
easy,10.5,4,tap
easy,12.7,1,tap
easy,15.1,2,tap
easy,16.5,3,tap
easy,18,4,tap
easy,21.9,1,tap
easy,23,2,tap
easy,24,3,tap
easy,28.5,4,tap
easy,29.5,1,tap
easy,30.9,2,tap
easy,32,3,tap
easy,35.1,4,tap
easy,37.2,1,tap
easy,38.4,2,tap
easy,40.8,3,tap
easy,42.3,4,tap
easy,44.7,1,tap
easy,46.2,2,tap
easy,48.3,3,tap
easy,50.7,4,tap
easy,53.3,1,tap
easy,56.5,2,tap
easy,57.9,3,tap
easy,58.9,4,tap
easy,60,1,tap
easy,62.8,2,tap
easy,64,3,tap
easy,65.1,4,tap
easy,69.2,1,tap
easy,70.4,2,tap
easy,71.8,3,tap
easy,73,4,tap
easy,75.7,1,tap
easy,76.7,2,tap
easy,78.4,3,tap
easy,81.5,4,tap
easy,82.8,1,tap
easy,85.2,2,tap
normal,0.5,2,tap
normal,1.3,3,tap
normal,2.1,4,tap
normal,2.9,1,tap
normal,3.7,2,tap
normal,4.5,3,tap
normal,5.6,4,tap
normal,7.1,1,tap
normal,8.6,2,tap
normal,10.5,3,tap
normal,11.7,4,tap
normal,12.6,1,tap
normal,13.4,2,tap
normal,15.1,3,tap
normal,16.5,4,tap
normal,18,1,tap
normal,18.8,2,tap
normal,20.7,3,tap
normal,21.9,4,tap
normal,23,1,tap
normal,24,2,tap
normal,24.9,3,tap
normal,25.6,4,tap
normal,26.5,1,tap
normal,28.5,2,tap
normal,29.5,3,tap
normal,30.9,4,tap
normal,32,1,tap
normal,33.1,2,tap
normal,35.1,3,tap
normal,35.9,4,tap
normal,37.2,1,tap
normal,38.4,2,tap
normal,39.2,3,tap
normal,40.8,4,tap
normal,41.7,1,tap
normal,42.4,2,tap
normal,44.7,3,tap
normal,45.6,4,tap
normal,47.1,1,tap
normal,48.3,2,tap
normal,50.7,3,tap
normal,51.4,4,tap
normal,53.3,1,tap
normal,54.1,2,tap
normal,54.9,3,tap
normal,56.5,4,tap
normal,57.9,1,tap
normal,58.9,2,tap
normal,60,3,tap
normal,61.1,4,tap
normal,62.8,1,tap
normal,64,2,tap
normal,65.1,3,tap
normal,67.1,4,tap
normal,67.9,1,tap
normal,69.2,2,tap
normal,70.4,3,tap
normal,71.2,4,tap
normal,73,1,tap
normal,74.5,2,tap
normal,75.7,3,tap
normal,76.7,4,tap
normal,77.6,1,tap
normal,78.4,2,tap
normal,79.2,3,tap
normal,80.4,4,tap
normal,81.5,1,tap
normal,82.8,2,tap
normal,85.2,3,tap
normal,89.3,4,tap
hard,0.5,2,tap
hard,1.3,3,tap
hard,2.1,4,tap
hard,2.9,1,tap
hard,3.7,2,tap
hard,4.5,3,tap
hard,5,4,tap
hard,5.6,1,tap
hard,6.1,2,tap
hard,7.1,3,tap
hard,7.7,4,tap
hard,8.6,1,tap
hard,10.5,2,tap
hard,11.7,3,tap
hard,12.6,4,tap
hard,13.4,1,tap
hard,15.1,2,tap
hard,15.7,3,tap
hard,16.5,4,tap
hard,18,1,tap
hard,18.8,2,tap
hard,20.7,3,tap
hard,21.9,4,tap
hard,23,1,tap
hard,24,2,tap
hard,24.9,3,tap
hard,25.6,4,tap
hard,26.5,1,tap
hard,28.5,2,tap
hard,29.5,3,tap
hard,30.9,4,tap
hard,32,1,tap
hard,33.1,2,tap
hard,33.6,3,tap
hard,35.1,4,tap
hard,35.9,1,tap
hard,37.2,2,tap
hard,37.5,3,tap
hard,38.4,4,tap
hard,39.2,1,tap
hard,39.8,2,tap
hard,40.8,3,tap
hard,41.7,4,tap
hard,42.3,1,tap
hard,44.7,2,tap
hard,45.6,3,tap
hard,46.2,4,tap
hard,47.1,1,tap
hard,47.6,2,tap
hard,48.3,3,tap
hard,48.8,4,tap
hard,50.7,1,tap
hard,51.4,2,tap
hard,53.3,3,tap
hard,54.1,4,tap
hard,54.9,1,tap
hard,56.5,2,tap
hard,57.9,3,tap
hard,58.9,4,tap
hard,60,1,tap
hard,60.5,2,tap
hard,61.1,3,tap
hard,62.8,4,tap
hard,64,1,tap
hard,65.1,2,tap
hard,65.6,3,tap
hard,67.1,4,tap
hard,67.9,1,tap
hard,69.2,2,tap
hard,70.4,3,tap
hard,71.2,4,tap
hard,71.8,1,tap
hard,73,2,tap
hard,73.6,3,tap
hard,74.5,4,tap
hard,75.7,1,tap
hard,76.7,2,tap
hard,77.6,3,tap
hard,78.4,4,tap
hard,79.2,1,tap
hard,80.4,2,tap
hard,81.5,3,tap
hard,82.8,4,tap
hard,83.4,1,tap
hard,85.2,2,tap
hard,89.3,3,tap
