time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-16.1
0.5,-15.7
0.6,-18.4
0.7,-18.4
0.8,-18.9
0.9,-19
1,-19.2
1.1,-19.7
1.2,-19.7
1.3,-19.8
1.4,-19.8
1.5,-19.9
1.6,-20.2
1.7,-20.1
1.8,-16
1.9,-15.7
2,-15.7
2.1,-15.8
2.2,-19.3
2.3,-19.7
2.4,-19
2.5,-18.9
2.6,-18.6
2.7,-18.6
2.8,-19.3
2.9,-19.4
3,-19.3
3.1,-19.5
3.2,-19.6
3.3,-19.7
3.4,-15.7
3.5,-15.5
3.6,-15.3
3.7,-15.4
3.8,-19.2
3.9,-19.8
4,-19.9
4.1,-19.7
4.2,-16.1
4.3,-16.1
4.4,-16.2
4.5,-15.9
4.6,-16
4.7,-15.8
4.8,-15.8
4.9,-16.1
5,-15.4
5.1,-14.6
5.2,-13.9
5.3,-13.6
5.4,-13.8
5.5,-14
5.6,-13.8
5.7,-13.7
5.8,-13.8
5.9,-14
6,-14.2
6.1,-14.5
6.2,-14.2
6.3,-14
6.4,-14.1
6.5,-13.9
6.6,-14.1
6.7,-14
6.8,-14
6.9,-14.1
7,-13.9
7.1,-14.2
7.2,-13.8
7.3,-13.4
7.4,-13.9
7.5,-13.9
7.6,-14
7.7,-14.4
7.8,-13.7
7.9,-13.5
8,-13.5
8.1,-13.5
8.2,-13.7
8.3,-13.6
8.4,-13.7
8.5,-13.7
8.6,-13.9
8.7,-14.1
8.8,-13.9
8.9,-13.7
9,-14
9.1,-14.1
9.2,-14.3
9.3,-14.5
9.4,-14.1
9.5,-14
9.6,-13.9
9.7,-14
9.8,-13.9
9.9,-14
10,-14
10.1,-14
10.2,-15.7
10.3,-16
10.4,-16
10.5,-16
10.6,-15.9
10.7,-15.4
10.8,-16.6
10.9,-17.5
11,-20.1
11.1,-24.8
11.2,-28.8
11.3,-25.4
11.4,-15.4
11.5,-14.2
11.6,-12.8
11.7,-12.2
11.8,-13.3
11.9,-13.5
12,-13.6
12.1,-14.3
12.2,-14.7
12.3,-14.7
12.4,-14.2
12.5,-13.9
12.6,-14
12.7,-14.5
12.8,-16.7
12.9,-17.4
13,-16.3
13.1,-15.6
13.2,-14.5
13.3,-13.6
13.4,-14.3
13.5,-15.2
13.6,-15.2
13.7,-15.4
13.8,-14.5
13.9,-13.4
14,-12.9
14.1,-13.1
14.2,-13.1
14.3,-13.2
14.4,-13.8
14.5,-13.3
14.6,-12.6
14.7,-13
14.8,-13.4
14.9,-13.6
15,-15.7
15.1,-16.7
15.2,-15.4
