start,end,text,uncertain,source,checked
11,16,ゆらなめく 蜃気楼をぬけて,1,vocal_text_raw_time,1
16,20.42,銀のささやき 耳に宿し,1,vocal_text_raw_start,1
20,24,静かの重さ 重なり合い,1,vocal_text_raw_time,1
24,29,めざめる力 今 解き 成す,1,vocal_text_raw_time,1
30,36.6,たてまつれ 竜のいびき 黒き雷 募らせて,1,vocal_text_raw_time,1
36.6,49.76,天を貫く 牙の嵐 闇夜を裂いて 迎え移る,1,vocal_text_raw_time,1
49.76,57.76,炎の香り 心臓叩き,0,vocal_text_raw_time,1
57.76,65.76,透明な刃 空にも,1,vocal_text_raw_time,1
61.76,68.76,黄金の翼 広げたな 黄金の翼 広げたなら,0,vocal_text_raw_time,1
68.76,71.76,宿命さえも打ち砕く,0,vocal_text_raw_time,1
71.76,74.94,光を取り戻し,0,vocal_text_raw_start,1
74.94,81,砂へと帰る夢,0,vocal,1
81,86.5,戦いの終わり告げる あけぼの 彼方,0,vocal,1
