difficulty,time,col,type
easy,0.5,2,tap
easy,1.9,3,tap
easy,3.6,4,tap
easy,5.3,1,tap
easy,7.9,2,tap
easy,8.9,3,tap
easy,10.7,4,tap
easy,13.3,1,tap
easy,14.6,2,tap
easy,15.6,3,tap
easy,17.4,4,tap
easy,20.4,1,tap
easy,22,2,tap
easy,23.6,3,tap
easy,27.4,4,tap
easy,28.7,1,tap
easy,29.8,2,tap
easy,30.9,3,tap
easy,35,4,tap
easy,36.5,1,tap
easy,38.3,2,tap
easy,40.4,3,tap
easy,42.1,4,tap
easy,43.1,1,tap
easy,44.5,2,tap
easy,47.3,3,tap
easy,48.5,4,tap
easy,49.5,1,tap
easy,53.3,2,tap
easy,54.9,3,tap
easy,56.5,4,tap
easy,58.1,1,tap
easy,61.3,2,tap
easy,62.9,3,tap
easy,64.2,4,tap
easy,67.7,1,tap
easy,69.3,2,tap
easy,70.8,3,tap
easy,72.5,4,tap
easy,76.3,1,tap
easy,77.6,2,tap
easy,79.2,3,tap
easy,82.5,4,tap
easy,84.2,1,tap
easy,86.1,2,tap
normal,0.5,2,tap
normal,1.9,3,tap
normal,2.6,4,tap
normal,3.6,1,tap
normal,5.3,2,tap
normal,6.5,3,tap
normal,7.3,4,tap
normal,8,1,tap
normal,8.9,2,tap
normal,9.6,3,tap
normal,10.7,4,tap
normal,12.5,1,tap
normal,13.3,2,tap
normal,14,3,tap
normal,15.6,4,tap
normal,17.4,1,tap
normal,18.8,2,tap
normal,20.4,3,tap
normal,21.2,4,tap
normal,22,1,tap
normal,22.9,2,tap
normal,23.6,3,tap
normal,26.1,4,tap
normal,27.4,1,tap
normal,28.7,2,tap
normal,29.8,3,tap
normal,30.9,4,tap
normal,31.7,1,tap
normal,33.5,2,tap
normal,34.3,3,tap
normal,35,4,tap
normal,35.7,1,tap
normal,36.5,2,tap
normal,38.3,3,tap
normal,39.4,4,tap
normal,40.4,1,tap
normal,41.2,2,tap
normal,42.1,3,tap
normal,43.1,4,tap
normal,43.8,1,tap
normal,44.5,2,tap
normal,45.2,3,tap
normal,46.3,4,tap
normal,48.5,1,tap
normal,49.5,2,tap
normal,51.1,3,tap
normal,53.3,4,tap
normal,54.2,1,tap
normal,54.9,2,tap
normal,55.6,3,tap
normal,56.5,4,tap
normal,57.2,1,tap
normal,58.1,2,tap
normal,58.9,3,tap
normal,60.4,4,tap
normal,61.3,1,tap
normal,62,2,tap
normal,62.9,3,tap
normal,64.2,4,tap
normal,65.3,1,tap
normal,66.1,2,tap
normal,67.7,3,tap
normal,68.5,4,tap
normal,69.3,1,tap
normal,70.1,2,tap
normal,71.5,3,tap
normal,72.5,4,tap
normal,74.1,1,tap
normal,76.3,2,tap
normal,77.6,3,tap
normal,79.2,4,tap
normal,80.5,1,tap
normal,82.5,2,tap
normal,84.2,3,tap
normal,86.1,4,tap
hard,0.5,2,tap
hard,1.9,3,tap
hard,2.6,4,tap
hard,3.6,1,tap
hard,5.3,2,tap
hard,6.5,3,tap
hard,7.3,4,tap
hard,7.9,1,tap
hard,8.9,2,tap
hard,9.6,3,tap
hard,10.7,4,tap
hard,11.7,1,tap
hard,12.5,2,tap
hard,13.3,3,tap
hard,14,4,tap
hard,14.6,1,tap
hard,15.6,2,tap
hard,17.4,3,tap
hard,18.8,4,tap
hard,19.4,1,tap
hard,20.4,2,tap
hard,21.2,3,tap
hard,22,4,tap
hard,22.9,1,tap
hard,23.6,2,tap
hard,24.5,3,tap
hard,26.1,4,tap
hard,26.5,1,tap
hard,27.4,2,tap
hard,28.7,3,tap
hard,29.8,4,tap
hard,30.9,1,tap
hard,31.7,2,tap
hard,33.5,3,tap
hard,34.3,4,tap
hard,35,1,tap
hard,35.7,2,tap
hard,36.5,3,tap
hard,37.3,4,tap
hard,38.3,1,tap
hard,39.4,2,tap
hard,40.4,3,tap
hard,41.2,4,tap
hard,42.1,1,tap
hard,43.1,2,tap
hard,43.8,3,tap
hard,44.5,4,tap
hard,45.2,1,tap
hard,45.6,2,tap
hard,46.3,3,tap
hard,47.3,4,tap
hard,48.5,1,tap
hard,49.5,2,tap
hard,51.1,3,tap
hard,51.7,4,tap
hard,53.3,1,tap
hard,54.2,2,tap
hard,54.9,3,tap
hard,55.6,4,tap
hard,56.5,1,tap
hard,57.2,2,tap
hard,58.1,3,tap
hard,58.9,4,tap
hard,59.7,1,tap
hard,60.4,2,tap
hard,61.3,3,tap
hard,62,4,tap
hard,62.9,1,tap
hard,64.2,2,tap
hard,65.3,3,tap
hard,66.1,4,tap
hard,67.7,1,tap
hard,68.5,2,tap
hard,69.3,3,tap
hard,70.1,4,tap
hard,70.8,1,tap
hard,71.5,2,tap
hard,72.5,3,tap
hard,73.1,4,tap
hard,74.1,1,tap
hard,76.3,2,tap
hard,77.6,3,tap
hard,79.2,4,tap
hard,80.5,1,tap
hard,82.5,2,tap
hard,84.2,3,tap
hard,86.1,4,tap
hard,87.1,1,tap
