time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-16.8
0.5,-16
0.6,-16.7
0.7,-17.3
0.8,-17.1
0.9,-16.8
1,-16.6
1.1,-17.1
1.2,-17.9
1.3,-18.9
1.4,-20.3
1.5,-19.2
1.6,-19.7
1.7,-20.5
1.8,-21.1
1.9,-25.1
2,-29
2.1,-32.1
2.2,-21.6
2.3,-18.1
2.4,-17.1
2.5,-16.1
2.6,-16.4
2.7,-17.1
2.8,-16.3
2.9,-16
3,-16.2
3.1,-16.9
3.2,-17.8
3.3,-19.3
3.4,-20.3
3.5,-19.4
3.6,-20.4
3.7,-21.3
3.8,-22
3.9,-26.5
4,-30.2
4.1,-33.4
4.2,-20.7
4.3,-16.5
4.4,-15.9
4.5,-15.1
4.6,-15.7
4.7,-17.2
4.8,-15.7
4.9,-15.3
5,-15.2
5.1,-15.8
5.2,-17.2
5.3,-18.7
5.4,-20.1
5.5,-20
5.6,-20.8
5.7,-17.4
5.8,-15.3
5.9,-14.3
6,-13.8
6.1,-14.7
6.2,-15.7
6.3,-16.3
6.4,-16.6
6.5,-15.5
6.6,-15.4
6.7,-14.7
6.8,-14.2
6.9,-14.4
7,-14.4
7.1,-15.2
7.2,-14.8
7.3,-14.8
7.4,-15
7.5,-14.7
7.6,-16.2
7.7,-15.8
7.8,-14.7
7.9,-14.7
8,-14.4
8.1,-15.3
8.2,-16.6
8.3,-16.8
8.4,-16.9
8.5,-15.7
8.6,-15.4
8.7,-14.3
8.8,-14.1
8.9,-14.8
9,-14.8
9.1,-15.8
9.2,-15.9
9.3,-15.4
9.4,-15.7
9.5,-15.7
9.6,-15.2
9.7,-15.2
9.8,-14.8
9.9,-14.5
10,-14.4
10.1,-14.5
10.2,-14.1
10.3,-13.9
10.4,-14.1
10.5,-14.1
10.6,-14.6
10.7,-14.9
10.8,-14.9
10.9,-15.2
11,-15.6
11.1,-17.1
11.2,-16.6
11.3,-16
11.4,-15.6
11.5,-14.2
11.6,-14.5
11.7,-13.9
11.8,-13.6
11.9,-14.6
12,-14.4
12.1,-16.3
12.2,-17.1
12.3,-16.6
12.4,-18.1
12.5,-15.4
12.6,-14.8
12.7,-14.6
12.8,-14.1
12.9,-15.4
13,-16.5
13.1,-17.4
13.2,-18.9
13.3,-19.8
13.4,-21.6
13.5,-21.2
13.6,-22.2
13.7,-18.9
13.8,-16.8
13.9,-16
14,-14.9
14.1,-15
14.2,-14.4
14.3,-13.9
14.4,-13.8
14.5,-13.6
14.6,-14.2
14.7,-14.1
14.8,-14.1
14.9,-14.6
