start,end,text,uncertain,source,checked
0,13.06,地を覆す 石垣伝う,1,vocal,1
13.06,16.74,震える指詰めた闇夜,1,vocal,1
16.74,20.64,秘められた守りの雫,1,vocal,1
20.64,24.86,今時が満ちて溢れる,1,vocal,1
24.86,28.6,たてまつる祈りの形,1,vocal,1
30,33,たてまつる祈りの形,1,vocal_text_raw_time,1
33,37.04,月の色 力 なに変わる,0,vocal_text_raw_time,1
37.04,41,熱く燃え みなぎる想い,0,vocal_text_raw_time,1
41,43.54,定めさえ消し去る意思,1,vocal_text_raw_time,1
43.54,47.02,貫く 愛の叫びよ,1,vocal_text_raw_start,1
47.04,51.16,煌めく 道を照らせ,1,vocal_text_raw_start,1
51.16,55.14,必ず勝ち燃えてみせる,1,vocal,1
55.18,62.78,世間を見てた時 あの日を 眩しい色に変えて,1,vocal_text_raw_time,1
62.78,72.6,命の輪 全てを注ぎ 決戦の時を行く,1,vocal_text_raw_time,1
72.6,80.64,暁が空を包む 静かに終わりを見よう,0,vocal_text_raw_start,1
80.64,88.14,血の色は消えなく 亡なる 風のささやき,1,vocal_text_raw_time,1
