difficulty,time,col,type
easy,0.5,2,tap
easy,2.9,3,tap
easy,4.5,4,tap
easy,7.5,1,tap
easy,8.8,2,tap
easy,11.8,3,tap
easy,12.8,4,tap
easy,14.5,1,tap
easy,16.8,2,tap
easy,18,3,tap
easy,22,4,tap
easy,24,1,tap
easy,26.2,2,tap
easy,30.2,3,tap
easy,32,4,tap
easy,35.8,1,tap
easy,38.7,2,tap
easy,40,3,tap
easy,43,4,tap
easy,44,1,tap
easy,46,2,tap
easy,47,3,tap
easy,48,4,tap
easy,50,1,tap
easy,51,2,tap
easy,53,3,tap
easy,54.8,4,tap
easy,56,1,tap
easy,58.3,2,tap
easy,59.8,3,tap
easy,62,4,tap
easy,64,1,tap
easy,65,2,tap
easy,67,3,tap
easy,68,4,tap
easy,71,1,tap
easy,72.4,2,tap
easy,74,3,tap
easy,76.8,4,tap
easy,77.9,1,tap
easy,80,2,tap
easy,81,3,tap
easy,82.3,4,tap
easy,85.6,1,tap
easy,86.6,2,tap
normal,0.5,2,tap
normal,2.9,3,tap
normal,4.5,4,tap
normal,6,1,tap
normal,6.8,2,tap
normal,7.5,3,tap
normal,8.8,4,tap
normal,10.3,1,tap
normal,11.8,2,tap
normal,12.8,3,tap
normal,14.5,4,tap
normal,15.5,1,tap
normal,16.8,2,tap
normal,18,3,tap
normal,19.5,4,tap
normal,22,1,tap
normal,22.8,2,tap
normal,24,3,tap
normal,26.2,4,tap
normal,27.9,1,tap
normal,28.8,2,tap
normal,30.2,3,tap
normal,32,4,tap
normal,32.8,1,tap
normal,34.7,2,tap
normal,35.8,3,tap
normal,36.5,4,tap
normal,38.7,1,tap
normal,40,2,tap
normal,42,3,tap
normal,42.8,4,tap
normal,44,1,tap
normal,45,2,tap
normal,46,3,tap
normal,47,4,tap
normal,48,1,tap
normal,49,2,tap
normal,50,3,tap
normal,51,4,tap
normal,52,1,tap
normal,53,2,tap
normal,53.7,3,tap
normal,54.8,4,tap
normal,56,1,tap
normal,57,2,tap
normal,58.3,3,tap
normal,59.2,4,tap
normal,59.9,1,tap
normal,61,2,tap
normal,62,3,tap
normal,62.9,4,tap
normal,64,1,tap
normal,64.9,2,tap
normal,66,3,tap
normal,67,4,tap
normal,68,1,tap
normal,69,2,tap
normal,69.8,3,tap
normal,71,4,tap
normal,72.4,1,tap
normal,74,2,tap
normal,74.8,3,tap
normal,75.5,4,tap
normal,76.8,1,tap
normal,77.9,2,tap
normal,79,3,tap
normal,80,4,tap
normal,80.8,1,tap
normal,82.3,2,tap
normal,83.5,3,tap
normal,84.4,4,tap
normal,85.6,1,tap
normal,86.6,2,tap
normal,87.6,3,tap
hard,0.5,2,tap
hard,1,3,tap
hard,2.9,4,tap
hard,4.5,1,tap
hard,5,2,tap
hard,6,3,tap
hard,6.8,4,tap
hard,7.5,1,tap
hard,8,2,tap
hard,8.8,3,tap
hard,10.3,4,tap
hard,11.8,1,tap
hard,12.8,2,tap
hard,14.5,3,tap
hard,15.5,4,tap
hard,16,1,tap
hard,16.8,2,tap
hard,18,3,tap
hard,19.5,4,tap
hard,22,1,tap
hard,22.8,2,tap
hard,24,3,tap
hard,26.2,4,tap
hard,26.8,1,tap
hard,27.9,2,tap
hard,28.8,3,tap
hard,30.2,4,tap
hard,30.8,1,tap
hard,32,2,tap
hard,32.8,3,tap
hard,34.7,4,tap
hard,35.8,1,tap
hard,36.5,2,tap
hard,38.7,3,tap
hard,40,4,tap
hard,40.5,1,tap
hard,42,2,tap
hard,42.8,3,tap
hard,44,4,tap
hard,45,1,tap
hard,46,2,tap
hard,47,3,tap
hard,48,4,tap
hard,48.5,1,tap
hard,49,2,tap
hard,49.5,3,tap
hard,50,4,tap
hard,50.5,1,tap
hard,51,2,tap
hard,52,3,tap
hard,53,4,tap
hard,53.5,1,tap
hard,54.8,2,tap
hard,56,3,tap
hard,57,4,tap
hard,58.3,1,tap
hard,59.2,2,tap
hard,59.8,3,tap
hard,61,4,tap
hard,62,1,tap
hard,62.9,2,tap
hard,64,3,tap
hard,64.9,4,tap
hard,65.5,1,tap
hard,66,2,tap
hard,67,3,tap
hard,68,4,tap
hard,69,1,tap
hard,69.8,2,tap
hard,71,3,tap
hard,71.5,4,tap
hard,72.4,1,tap
hard,74,2,tap
hard,74.8,3,tap
hard,75.5,4,tap
hard,76.8,1,tap
hard,77.9,2,tap
hard,78.5,3,tap
hard,79,4,tap
hard,79.5,1,tap
hard,80,2,tap
hard,80.8,3,tap
hard,82.3,4,tap
hard,82.9,1,tap
hard,83.5,2,tap
hard,84.4,3,tap
hard,85.6,4,tap
hard,86.6,1,tap
hard,87.6,2,tap
