time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-31.2
0.5,-31.2
0.6,-38.2
0.7,-31.3
0.8,-30.9
0.9,-30.8
1,-30.9
1.1,-37.9
1.2,-30.3
1.3,-29.8
1.4,-29.7
1.5,-29.7
1.6,-36.2
1.7,-31.1
1.8,-30.6
1.9,-30.5
2,-30.7
2.1,-25.3
2.2,-15.8
2.3,-14.9
2.4,-14.3
2.5,-13.7
2.6,-15.8
2.7,-16.3
2.8,-17.3
2.9,-16.1
3,-16.2
3.1,-16
3.2,-15.4
3.3,-17.3
3.4,-17.7
3.5,-17.4
3.6,-17.4
3.7,-16.4
3.8,-16.7
3.9,-16.7
4,-16.5
4.1,-16.7
4.2,-14.6
4.3,-14.7
4.4,-14.9
4.5,-15.1
4.6,-17
4.7,-17.1
4.8,-17.8
4.9,-15.8
5,-15.6
5.1,-15.6
5.2,-15
5.3,-17.3
5.4,-17.7
5.5,-17.7
5.6,-17.6
5.7,-15.7
5.8,-15.7
5.9,-15.7
6,-15.9
6.1,-17.6
6.2,-15.3
6.3,-15.3
6.4,-15
6.5,-14.6
6.6,-16.2
6.7,-16.4
6.8,-17.4
6.9,-15.5
7,-15.2
7.1,-14.9
7.2,-14.3
7.3,-16.3
7.4,-17.6
7.5,-18.4
7.6,-19.2
7.7,-17.9
7.8,-17.9
7.9,-17.9
8,-18
8.1,-19
8.2,-15.9
8.3,-15.7
8.4,-15.4
8.5,-14.9
8.6,-16.3
8.7,-16.3
8.8,-17.1
8.9,-15.9
9,-16.1
9.1,-16.2
9.2,-15.6
9.3,-17.7
9.4,-18.4
9.5,-18.7
9.6,-19.1
9.7,-17.8
9.8,-18.1
9.9,-18.1
10,-18
10.1,-18.3
10.2,-13.9
10.3,-12.9
10.4,-12
10.5,-11.3
10.6,-12.1
10.7,-12.1
10.8,-13.2
10.9,-13.2
11,-13.4
11.1,-13.2
11.2,-12.2
11.3,-12.9
11.4,-13.7
11.5,-14.6
11.6,-16.1
11.7,-16.7
11.8,-17.1
11.9,-17.1
12,-17
12.1,-16.3
12.2,-13.8
12.3,-13.4
12.4,-12.8
12.5,-12.4
12.6,-13.5
12.7,-13.6
12.8,-14.6
12.9,-14.1
13,-13.3
13.1,-13.4
13.2,-13
13.3,-14.2
13.4,-16
13.5,-17.2
13.6,-18.4
13.7,-18.3
13.8,-18.4
13.9,-17.2
14,-15.2
14.1,-14.3
14.2,-12.7
14.3,-12.4
14.4,-12.6
14.5,-12.8
14.6,-13.9
14.7,-14.1
14.8,-14.2
14.9,-12.9
15,-12.4
