start,end,text,uncertain,source,checked
9,13,風を集めて進み出す,,manual,1
13,21.5,青い空の先にある 青い空の先にある,,manual,1
21.5,25,きらめく畔のにおいまとい,,manual,1
25,30,白い船がゆく,,manual,1
30,33.5,霧を抜け出す翼のよう,1,vocal_text_raw_time,1
33.5,37.18,黄色の波が揺れるまで,0,vocal_text_raw_time,1
37.18,41.32,記憶の傷も解けてく,0,vocal_text_raw_time,1
41.32,49.12,遠い未来へ舵を取る,0,vocal_text_raw_time,1
49.12,53.26,青に染まる輝きの中,0,vocal_text_raw_time,1
53.26,57.36,透き通る風感じてる,0,vocal_text_raw_time,1
57.36,65.35,終わることない旅の奇跡,0,vocal_text_raw_time,1
65.35,73.36,空を渡る船に乗り,0,vocal_text_raw_time,1
73.36,80,君の隣に続く道,0,vocal_text_raw_start,1
