difficulty,time,col,type
easy,1.4,2,tap
easy,2.5,3,tap
easy,3.7,4,tap
easy,5.2,1,tap
easy,6.5,2,tap
easy,9.2,3,tap
easy,10.5,4,tap
easy,12.5,1,tap
easy,14.3,2,tap
easy,18.3,3,tap
easy,20.5,4,tap
easy,22.5,1,tap
easy,24.5,2,tap
easy,27.2,3,tap
easy,28.3,4,tap
easy,30.2,1,tap
easy,31.2,2,tap
easy,33.7,3,tap
easy,34.7,4,tap
easy,36,1,tap
easy,37.5,2,tap
easy,39.7,3,tap
easy,41.2,4,tap
easy,42.5,1,tap
easy,44.7,2,tap
easy,48,3,tap
easy,49,4,tap
easy,50.5,1,tap
easy,51.5,2,tap
easy,54.7,3,tap
easy,56.3,4,tap
easy,59,1,tap
easy,60,2,tap
easy,62.5,3,tap
easy,63.5,4,tap
easy,65,1,tap
easy,66.8,2,tap
easy,70.9,3,tap
easy,73,4,tap
easy,74.5,1,tap
easy,76,2,tap
easy,79,3,tap
easy,80.3,4,tap
easy,81.7,1,tap
easy,83.5,2,tap
normal,1.4,2,tap
normal,2.5,3,tap
normal,3.2,4,tap
normal,4.2,1,tap
normal,5.2,2,tap
normal,6.5,3,tap
normal,7.2,4,tap
normal,8.5,1,tap
normal,9.2,2,tap
normal,10.5,3,tap
normal,11.2,4,tap
normal,12.5,1,tap
normal,13.2,2,tap
normal,14.3,3,tap
normal,15,4,tap
normal,16.5,1,tap
normal,17.2,2,tap
normal,18.3,3,tap
normal,19,4,tap
normal,20.5,1,tap
normal,22.5,2,tap
normal,24.5,3,tap
normal,25.2,4,tap
normal,26.2,1,tap
normal,27.2,2,tap
normal,28.3,3,tap
normal,29.2,4,tap
normal,30.2,1,tap
normal,31.2,2,tap
normal,32.5,3,tap
normal,33.2,4,tap
normal,34.7,1,tap
normal,36,2,tap
normal,37.5,3,tap
normal,38.5,4,tap
normal,39.7,1,tap
normal,41.2,2,tap
normal,42.5,3,tap
normal,44.7,4,tap
normal,45.5,1,tap
normal,46.5,2,tap
normal,47.2,3,tap
normal,48,4,tap
normal,48.9,1,tap
normal,50.5,2,tap
normal,51.4,3,tap
normal,52.2,4,tap
normal,52.9,1,tap
normal,54.7,2,tap
normal,55.5,3,tap
normal,56.3,4,tap
normal,57,1,tap
normal,59,2,tap
normal,60,3,tap
normal,61,4,tap
normal,62.5,1,tap
normal,63.5,2,tap
normal,64.3,3,tap
normal,65,4,tap
normal,66.8,1,tap
normal,67.5,2,tap
normal,68.4,3,tap
normal,70.9,4,tap
normal,71.7,1,tap
normal,73,2,tap
normal,74.5,3,tap
normal,75.4,4,tap
normal,76.5,1,tap
normal,77.5,2,tap
normal,78.4,3,tap
normal,79.5,4,tap
normal,80.3,1,tap
normal,81.7,2,tap
normal,83.5,3,tap
normal,84.6,4,tap
hard,1.4,2,tap
hard,2.5,3,tap
hard,3.2,4,tap
hard,3.7,1,tap
hard,4.2,2,tap
hard,5.2,3,tap
hard,5.7,4,tap
hard,6.5,1,tap
hard,7.2,2,tap
hard,7.8,3,tap
hard,8.5,4,tap
hard,9.2,1,tap
hard,9.7,2,tap
hard,10.5,3,tap
hard,11.2,4,tap
hard,12.5,1,tap
hard,13.2,2,tap
hard,14.3,3,tap
hard,15,4,tap
hard,16.5,1,tap
hard,17.1,2,tap
hard,18.3,3,tap
hard,19,4,tap
hard,20.5,1,tap
hard,21,2,tap
hard,22.5,3,tap
hard,23,4,tap
hard,24.5,1,tap
hard,25.2,2,tap
hard,26.2,3,tap
hard,27.2,4,tap
hard,28.3,1,tap
hard,29.2,2,tap
hard,30.2,3,tap
hard,31.2,4,tap
hard,32.5,1,tap
hard,33.2,2,tap
hard,33.7,3,tap
hard,34.7,4,tap
hard,36,1,tap
hard,37.5,2,tap
hard,38.5,3,tap
hard,39,4,tap
hard,39.7,1,tap
hard,40.2,2,tap
hard,41.2,3,tap
hard,42.5,4,tap
hard,43,1,tap
hard,44.7,2,tap
hard,45.5,3,tap
hard,46.5,4,tap
hard,47.2,1,tap
hard,48,2,tap
hard,48.9,3,tap
hard,50.5,4,tap
hard,51.4,1,tap
hard,52.2,2,tap
hard,52.9,3,tap
hard,53.5,4,tap
hard,54.7,1,tap
hard,55.5,2,tap
hard,56.3,3,tap
hard,57,4,tap
hard,59,1,tap
hard,60,2,tap
hard,60.5,3,tap
hard,61,4,tap
hard,62.5,1,tap
hard,63,2,tap
hard,63.5,3,tap
hard,64.3,4,tap
hard,65,1,tap
hard,66.8,2,tap
hard,67.5,3,tap
hard,68.4,4,tap
hard,69,1,tap
hard,70.9,2,tap
hard,71.7,3,tap
hard,73,4,tap
hard,74.5,1,tap
hard,74.9,2,tap
hard,75.4,3,tap
hard,76,4,tap
hard,76.5,1,tap
hard,77.5,2,tap
hard,78.4,3,tap
hard,79,4,tap
hard,79.5,1,tap
hard,80.3,2,tap
hard,81.7,3,tap
hard,83.5,4,tap
hard,84.6,1,tap
