difficulty,time,col,type
easy,1.1,2,tap
easy,2.1,3,tap
easy,3.8,4,tap
easy,5.4,1,tap
easy,8.7,2,tap
easy,10.3,3,tap
easy,11.3,4,tap
easy,13.7,1,tap
easy,14.8,2,tap
easy,16,3,tap
easy,17.6,4,tap
easy,20.6,1,tap
easy,22.4,2,tap
easy,23.6,3,tap
easy,25.9,4,tap
easy,26.9,1,tap
easy,28.2,2,tap
easy,29.2,3,tap
easy,31.7,4,tap
easy,33.3,1,tap
easy,34.7,2,tap
easy,37.5,3,tap
easy,39.4,4,tap
easy,41.4,1,tap
easy,42.5,2,tap
easy,46.4,3,tap
easy,47.4,4,tap
easy,48.5,1,tap
easy,52.4,2,tap
easy,54.5,3,tap
easy,55.9,4,tap
easy,57.3,1,tap
easy,60.1,2,tap
easy,61.7,3,tap
easy,63.3,4,tap
easy,66.6,1,tap
easy,68.1,2,tap
easy,69.9,3,tap
easy,71.1,4,tap
easy,73.9,1,tap
easy,74.9,2,tap
easy,76.2,3,tap
easy,78.2,4,tap
easy,79.9,1,tap
easy,81.6,2,tap
normal,1.1,2,tap
normal,2.1,3,tap
normal,2.9,4,tap
normal,3.8,1,tap
normal,5.4,2,tap
normal,6.1,3,tap
normal,7.1,4,tap
normal,8.7,1,tap
normal,9.4,2,tap
normal,10.3,3,tap
normal,11.3,4,tap
normal,12.6,1,tap
normal,13.7,2,tap
normal,14.8,3,tap
normal,16,4,tap
normal,17.6,1,tap
normal,19.3,2,tap
normal,20.6,3,tap
normal,22.4,4,tap
normal,23.6,1,tap
normal,24.3,2,tap
normal,25.3,3,tap
normal,26.9,4,tap
normal,28.2,1,tap
normal,29.2,2,tap
normal,30.7,3,tap
normal,31.5,4,tap
normal,32.6,1,tap
normal,33.3,2,tap
normal,34,3,tap
normal,34.7,4,tap
normal,35.9,1,tap
normal,37.5,2,tap
normal,39.4,3,tap
normal,40.2,4,tap
normal,41.4,1,tap
normal,42.3,2,tap
normal,44.7,3,tap
normal,46.4,4,tap
normal,47.2,1,tap
normal,48.5,2,tap
normal,50.7,3,tap
normal,52.4,4,tap
normal,54.5,1,tap
normal,55.9,2,tap
normal,56.6,3,tap
normal,57.3,4,tap
normal,58.3,1,tap
normal,59,2,tap
normal,60.1,3,tap
normal,61.7,4,tap
normal,63.3,1,tap
normal,64,2,tap
normal,65.6,3,tap
normal,66.6,4,tap
normal,68.1,1,tap
normal,68.9,2,tap
normal,69.9,3,tap
normal,71.1,4,tap
normal,72.5,1,tap
normal,73.9,2,tap
normal,74.8,3,tap
normal,76.2,4,tap
normal,77.2,1,tap
normal,78.2,2,tap
normal,78.9,3,tap
normal,79.9,4,tap
normal,80.6,1,tap
normal,81.6,2,tap
normal,82.6,3,tap
hard,1.1,2,tap
hard,2.1,3,tap
hard,2.9,4,tap
hard,3.8,1,tap
hard,4.4,2,tap
hard,5.4,3,tap
hard,6.1,4,tap
hard,7.1,1,tap
hard,7.7,2,tap
hard,8.7,3,tap
hard,9.3,4,tap
hard,10.3,1,tap
hard,11.3,2,tap
hard,12.6,3,tap
hard,13.7,4,tap
hard,14.8,1,tap
hard,15.4,2,tap
hard,16,3,tap
hard,17.6,4,tap
hard,19.3,1,tap
hard,20.6,2,tap
hard,21.2,3,tap
hard,22.4,4,tap
hard,23.6,1,tap
hard,24.2,2,tap
hard,24.8,3,tap
hard,25.3,4,tap
hard,25.9,1,tap
hard,26.9,2,tap
hard,28.2,3,tap
hard,29.2,4,tap
hard,30.7,1,tap
hard,31.5,2,tap
hard,32.6,3,tap
hard,33.3,4,tap
hard,34,1,tap
hard,34.7,2,tap
hard,35.2,3,tap
hard,35.9,4,tap
hard,37.5,1,tap
hard,39.4,2,tap
hard,40.2,3,tap
hard,41.4,4,tap
hard,42.3,1,tap
hard,44.7,2,tap
hard,45.1,3,tap
hard,46.4,4,tap
hard,47.2,1,tap
hard,48.5,2,tap
hard,50.7,3,tap
hard,51.3,4,tap
hard,52.4,1,tap
hard,54.5,2,tap
hard,55.9,3,tap
hard,56.6,4,tap
hard,57.3,1,tap
hard,58.3,2,tap
hard,59,3,tap
hard,60.1,4,tap
hard,60.6,1,tap
hard,61.7,2,tap
hard,62.3,3,tap
hard,63.3,4,tap
hard,64,1,tap
hard,65.6,2,tap
hard,66.6,3,tap
hard,67.1,4,tap
hard,68.1,1,tap
hard,68.9,2,tap
hard,69.9,3,tap
hard,70.4,4,tap
hard,71.1,1,tap
hard,72.5,2,tap
hard,73.9,3,tap
hard,74.8,4,tap
hard,76.2,1,tap
hard,77.2,2,tap
hard,78.2,3,tap
hard,78.9,4,tap
hard,79.9,1,tap
hard,80.6,2,tap
hard,81.6,3,tap
hard,82.6,4,tap
hard,83.2,1,tap
