time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-17.8
0.5,-16.5
0.6,-17
0.7,-17.3
0.8,-16.4
0.9,-17.9
1,-16.4
1.1,-15.7
1.2,-15.9
1.3,-15.7
1.4,-17
1.5,-17.7
1.6,-17.9
1.7,-18
1.8,-17.5
1.9,-16.5
2,-16.8
2.1,-15.9
2.2,-16.2
2.3,-16.9
2.4,-17
2.5,-17.3
2.6,-17.7
2.7,-16.5
2.8,-16.3
2.9,-16.2
3,-16.3
3.1,-17.5
3.2,-18.5
3.3,-19.1
3.4,-19.9
3.5,-15.8
3.6,-14.8
3.7,-14.3
3.8,-13.6
3.9,-14.9
4,-15.8
4.1,-14.4
4.2,-14.9
4.3,-14
4.4,-13.3
4.5,-14.7
4.6,-15
4.7,-15.5
4.8,-15.8
4.9,-15.7
5,-15.7
5.1,-15.7
5.2,-14.1
5.3,-13.4
5.4,-12.9
5.5,-13.5
5.6,-15.3
5.7,-16.2
5.8,-16.2
5.9,-16.4
6,-14.4
6.1,-14
6.2,-14.3
6.3,-14.6
6.4,-15.5
6.5,-16.4
6.6,-15.7
6.7,-16.2
6.8,-14.6
6.9,-14
7,-13.8
7.1,-12.9
7.2,-13.7
7.3,-14.2
7.4,-13.4
7.5,-13.4
7.6,-12.6
7.7,-11.9
7.8,-12.6
7.9,-13.1
8,-13.7
8.1,-13.3
8.2,-13.1
8.3,-12.6
8.4,-12.9
8.5,-12.2
8.6,-11.8
8.7,-11.6
8.8,-11.6
8.9,-12.6
9,-13.1
9.1,-12.5
9.2,-12.3
9.3,-11
9.4,-11
9.5,-12.1
9.6,-13.2
9.7,-14.5
9.8,-14.1
9.9,-13.7
10,-13.2
10.1,-13.1
10.2,-13.4
10.3,-12.9
10.4,-13.3
10.5,-13.9
10.6,-13.6
10.7,-12.7
10.8,-12
10.9,-12.1
11,-11.5
11.1,-11.8
11.2,-11.5
11.3,-11.3
11.4,-11.4
11.5,-11.5
11.6,-12.4
11.7,-13.1
11.8,-12.6
11.9,-13.3
12,-12.3
12.1,-11.7
12.2,-12.5
12.3,-12
12.4,-11.2
12.5,-11.1
12.6,-10.9
12.7,-11.3
12.8,-12.5
12.9,-13.8
13,-14.8
13.1,-15.5
13.2,-15.6
13.3,-15.8
13.4,-15.1
13.5,-14.4
13.6,-14.3
13.7,-13.2
13.8,-13.8
13.9,-14.5
14,-14.2
14.1,-14.2
14.2,-14.4
14.3,-13.9
14.4,-13.9
14.5,-13.1
14.6,-12.7
14.7,-11.6
14.8,-11.4
14.9,-12.3
15,-13.3
