start,end,text,uncertain,source,checked
0,12.92,スイカの香り 風に乗り,1,vocal_text_raw_start,1
12.92,16.56,くすぐ歌い いたずら飛び出す,1,vocal,1
16.56,19.52,君の影 追い出す,1,vocal,1
19.52,22.66,聞いて くるくる,1,vocal,1
22.66,26.06,魔法の種 贈る,1,vocal,1
26.06,28.8,魔法の種をまいて,1,vocal,1
30,35.8,明るい日差し捕まえてどこかで笑ってる,0,vocal_text_raw_start,1
35.8,42.8,きらめくスイカの粒となり,0,vocal_text_raw_time,1
42.8,49.14,いたずらな心通るよ,0,vocal_text_raw_time,1
49.14,52.58,くすぐうたい風が吹く,0,vocal_text_raw_time,1
52.58,56.28,君の耳元でささやく,0,vocal_text_raw_time,1
56.28,59.06,ドキドキするるこの地,0,vocal_text_raw_time,1
59.06,62.92,この気持ち,0,vocal_text_raw_start,1
62.92,65.7,風に溶け込む,0,vocal,1
65.7,68.32,溶け込むいたずら,0,vocal,1
68.32,76.22,また遊ぼうね,0,vocal_text_raw_time,1
68.32,76.22,いたずらな風と,0,vocal_text_raw_time,1
