time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-42.2
0.5,-41.5
0.6,-41.3
0.7,-41.1
0.8,-39.8
0.9,-38.8
1,-37
1.1,-36.1
1.2,-35
1.3,-34.4
1.4,-34.7
1.5,-33.6
1.6,-34
1.7,-33.7
1.8,-33.4
1.9,-34
2,-33.3
2.1,-28.6
2.2,-23.2
2.3,-20.4
2.4,-19.1
2.5,-18.4
2.6,-18.5
2.7,-18.8
2.8,-18.2
2.9,-17.1
3,-16.1
3.1,-15.5
3.2,-15.1
3.3,-14.9
3.4,-15.1
3.5,-15.1
3.6,-15.4
3.7,-16.3
3.8,-17.1
3.9,-18
4,-19.1
4.1,-19.1
4.2,-19.1
4.3,-19.3
4.4,-19
4.5,-18.8
4.6,-18.3
4.7,-18.7
4.8,-18.9
4.9,-19.4
5,-20.2
5.1,-20.7
5.2,-20.8
5.3,-20.1
5.4,-19.7
5.5,-19.2
5.6,-19.1
5.7,-19.1
5.8,-19.1
5.9,-18.8
6,-18.8
6.1,-19.2
6.2,-19.8
6.3,-20.6
6.4,-21.3
6.5,-21.9
6.6,-22.2
6.7,-22.4
6.8,-22.6
6.9,-22.4
7,-22.4
7.1,-22.7
7.2,-22.4
7.3,-22.6
7.4,-22.4
7.5,-22.8
7.6,-23.3
7.7,-23.3
7.8,-23
7.9,-22
8,-21.5
8.1,-21.3
8.2,-21.7
8.3,-21.6
8.4,-21.1
8.5,-20.3
8.6,-19.5
8.7,-19.6
8.8,-19.4
8.9,-19.1
9,-19.1
9.1,-18.3
9.2,-18.8
9.3,-18.6
9.4,-18.5
9.5,-18.7
9.6,-18.1
9.7,-18.5
9.8,-18.8
9.9,-19.5
10,-20.7
10.1,-15.4
10.2,-13.8
10.3,-12.9
10.4,-12
10.5,-12.6
10.6,-12.4
10.7,-12.3
10.8,-12.3
10.9,-12.2
11,-12.5
11.1,-12.1
11.2,-11.6
11.3,-11.5
11.4,-11.2
11.5,-11.9
11.6,-12.5
11.7,-13.4
11.8,-15.5
11.9,-15.4
12,-16.2
12.1,-14.6
12.2,-13.3
12.3,-13.2
12.4,-12.6
12.5,-13.2
12.6,-13.3
12.7,-13.5
12.8,-14
12.9,-13.5
13,-13.7
13.1,-13.4
13.2,-13.3
13.3,-14.5
13.4,-15.2
13.5,-16.4
13.6,-17.5
13.7,-18.2
13.8,-19.8
13.9,-21.6
14,-23.8
14.1,-17.3
14.2,-15.3
14.3,-13.4
14.4,-11.9
14.5,-12.2
14.6,-11.8
14.7,-11.7
14.8,-12.1
14.9,-11.8
15,-12.4
