start,end,text,uncertain,source,checked
9,17.24,夜の空に咲く銀の花,0,vocal_text_raw_time,1
13.18,17.24,灯る ろうそく 風揺れて,0,vocal,1
17.24,21.16,遠い遠い記憶の中,0,vocal_text_raw_start,1
21.16,25.42,光時計見つめてる,0,vocal,1
29.94,33,光時計見つめてる,1,vocal_text_raw_time,1
33,37.66,魔法が消えるその前に,0,vocal_text_raw_time,1
37.66,41.56,星を紡いで夢を見る,0,vocal_text_raw_time,1
41.56,45.56,透明な影が踊る,0,vocal_text_raw_time,1
45.56,49.14,最後の願い届けて,0,vocal_text_raw_time,1
49.14,53.46,銀の星が射すこの場所で,0,vocal_text_raw_time,1
53.46,61.46,銀の景色が揺れている 時の過ぎゆく音を聞く,0,vocal_text_raw_time,1
61.46,65,時の過ぎゆく音を聞く,0,vocal_text_raw_time,1
65,69.56,砂の甘さを感じて,,manual,1
69.56,74,過去も未来も風の中,0,vocal_text_raw_time,1
78,78.01,終わりゆく夜の空織り,,manual,1
82.16,86.16,銀の色に染まる,1,vocal,1
83,83.01,私だけへの魔法,,manual,1
