difficulty,time,col,type
easy,3.3,2,tap
easy,4.6,3,tap
easy,5.9,4,tap
easy,7,1,tap
easy,10.4,2,tap
easy,11.4,3,tap
easy,12.4,4,tap
easy,14.7,1,tap
easy,18.4,2,tap
easy,19.4,3,tap
easy,20.9,4,tap
easy,22.7,1,tap
easy,27.2,2,tap
easy,28.4,3,tap
easy,30.2,4,tap
easy,32.9,1,tap
easy,34.7,2,tap
easy,36.2,3,tap
easy,38.4,4,tap
easy,41.2,1,tap
easy,42.4,2,tap
easy,43.4,3,tap
easy,44.5,4,tap
easy,47.4,1,tap
easy,49.5,2,tap
easy,51.4,3,tap
easy,52.4,4,tap
easy,55.4,1,tap
easy,56.4,2,tap
easy,57.4,3,tap
easy,59.5,4,tap
easy,61.2,1,tap
easy,62.4,2,tap
easy,63.6,3,tap
easy,66.9,4,tap
easy,67.9,1,tap
easy,69.4,2,tap
easy,70.4,3,tap
easy,72.7,4,tap
easy,74.7,1,tap
easy,76.4,2,tap
easy,77.4,3,tap
easy,79.4,4,tap
easy,80.4,1,tap
easy,81.9,2,tap
normal,3.3,2,tap
normal,4.6,3,tap
normal,5.9,4,tap
normal,7,1,tap
normal,9.1,2,tap
normal,10.4,3,tap
normal,11.4,4,tap
normal,12.4,1,tap
normal,13.2,2,tap
normal,14.7,3,tap
normal,16.7,4,tap
normal,17.4,1,tap
normal,18.4,2,tap
normal,19.4,3,tap
normal,20.9,4,tap
normal,22.7,1,tap
normal,23.5,2,tap
normal,25.2,3,tap
normal,27.2,4,tap
normal,28.4,1,tap
normal,29.1,2,tap
normal,30.2,3,tap
normal,31.1,4,tap
normal,32.1,1,tap
normal,32.9,2,tap
normal,34.7,3,tap
normal,35.5,4,tap
normal,36.2,1,tap
normal,36.9,2,tap
normal,38.4,3,tap
normal,39.4,4,tap
normal,40.1,1,tap
normal,41.2,2,tap
normal,42.4,3,tap
normal,43.4,4,tap
normal,44.5,1,tap
normal,46.4,2,tap
normal,47.4,3,tap
normal,49.5,4,tap
normal,50.4,1,tap
normal,51.4,2,tap
normal,52.4,3,tap
normal,54.4,4,tap
normal,55.4,1,tap
normal,56.4,2,tap
normal,57.3,3,tap
normal,58.4,4,tap
normal,59.5,1,tap
normal,60.4,2,tap
normal,61.2,3,tap
normal,62.4,4,tap
normal,63.6,1,tap
normal,64.7,2,tap
normal,65.4,3,tap
normal,66.9,4,tap
normal,67.9,1,tap
normal,69.4,2,tap
normal,70.4,3,tap
normal,71.4,4,tap
normal,72.7,1,tap
normal,73.4,2,tap
normal,74.7,3,tap
normal,76.4,4,tap
normal,77.4,1,tap
normal,78.4,2,tap
normal,79.4,3,tap
normal,80.4,4,tap
normal,81.9,1,tap
normal,84.8,2,tap
normal,85.7,3,tap
hard,3.3,2,tap
hard,4.6,3,tap
hard,5.9,4,tap
hard,7,1,tap
hard,7.4,2,tap
hard,9.1,3,tap
hard,9.6,4,tap
hard,10.4,1,tap
hard,11.4,2,tap
hard,12.4,3,tap
hard,13.2,4,tap
hard,14.7,1,tap
hard,15.2,2,tap
hard,16.7,3,tap
hard,17.4,4,tap
hard,18.4,1,tap
hard,19.4,2,tap
hard,20.9,3,tap
hard,22.7,4,tap
hard,23.5,1,tap
hard,25.2,2,tap
hard,27.2,3,tap
hard,28.4,4,tap
hard,29.1,1,tap
hard,30.2,2,tap
hard,31.1,3,tap
hard,32.1,4,tap
hard,32.9,1,tap
hard,34.7,2,tap
hard,35.5,3,tap
hard,36.2,4,tap
hard,36.9,1,tap
hard,38.4,2,tap
hard,39.4,3,tap
hard,40.1,4,tap
hard,41.2,1,tap
hard,42.4,2,tap
hard,43.4,3,tap
hard,44.5,4,tap
hard,46.4,1,tap
hard,47.4,2,tap
hard,47.9,3,tap
hard,49.5,4,tap
hard,50.4,1,tap
hard,51.4,2,tap
hard,52.4,3,tap
hard,54.4,4,tap
hard,54.9,1,tap
hard,55.4,2,tap
hard,56.4,3,tap
hard,57.3,4,tap
hard,58.4,1,tap
hard,58.9,2,tap
hard,59.5,3,tap
hard,60.4,4,tap
hard,61.2,1,tap
hard,62.4,2,tap
hard,62.9,3,tap
hard,63.6,4,tap
hard,64.2,1,tap
hard,64.7,2,tap
hard,65.4,3,tap
hard,66.9,4,tap
hard,67.4,1,tap
hard,67.9,2,tap
hard,68.4,3,tap
hard,69.4,4,tap
hard,70.4,1,tap
hard,71.4,2,tap
hard,72.7,3,tap
hard,73.4,4,tap
hard,74.7,1,tap
hard,75.2,2,tap
hard,76.4,3,tap
hard,77.4,4,tap
hard,78.4,1,tap
hard,79.4,2,tap
hard,80.4,3,tap
hard,80.9,4,tap
hard,81.9,1,tap
hard,84.8,2,tap
hard,85.7,3,tap
