time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-45.8
0.5,-43.7
0.6,-41.9
0.7,-39.7
0.8,-37.4
0.9,-36.6
1,-36
1.1,-35.8
1.2,-36.3
1.3,-36.2
1.4,-36.3
1.5,-36.4
1.6,-36
1.7,-35.8
1.8,-35.8
1.9,-26.6
2,-23.3
2.1,-21.6
2.2,-20.4
2.3,-20.4
2.4,-20.5
2.5,-20.8
2.6,-21.3
2.7,-21.5
2.8,-22.1
2.9,-22.4
3,-21.9
3.1,-21.3
3.2,-20.7
3.3,-20.4
3.4,-20.5
3.5,-20.7
3.6,-21.2
3.7,-21.5
3.8,-21.7
3.9,-21
4,-19.9
4.1,-19.5
4.2,-19.3
4.3,-19.7
4.4,-20.4
4.5,-20.4
4.6,-20.6
4.7,-20.9
4.8,-21.4
4.9,-21.5
5,-21.3
5.1,-21.3
5.2,-21
5.3,-21.2
5.4,-21
5.5,-20.8
5.6,-21.5
5.7,-22.7
5.8,-25
5.9,-24.5
6,-22.1
6.1,-20.9
6.2,-20.1
6.3,-20.1
6.4,-21
6.5,-21.3
6.6,-21.4
6.7,-21.7
6.8,-21.5
6.9,-21.4
7,-20.7
7.1,-20.4
7.2,-20
7.3,-20
7.4,-20.3
7.5,-20.5
7.6,-21.1
7.7,-21.4
7.8,-21.6
7.9,-20
8,-18.9
8.1,-18.9
8.2,-18.4
8.3,-19.8
8.4,-19.2
8.5,-18.8
8.6,-19.3
8.7,-19.1
8.8,-21.1
8.9,-20.8
9,-20.2
9.1,-20.4
9.2,-20.4
9.3,-22.3
9.4,-24.9
9.5,-27
9.6,-28.5
9.7,-29.5
9.8,-31
9.9,-19.9
10,-17
10.1,-15.2
10.2,-13.2
10.3,-12.9
10.4,-12.6
10.5,-12.6
10.6,-13.3
10.7,-13.6
10.8,-15
10.9,-14.5
11,-13.5
11.1,-13.4
11.2,-12.4
11.3,-12.7
11.4,-13.4
11.5,-14.2
11.6,-15.6
11.7,-17
11.8,-19.5
11.9,-17.8
12,-15.2
12.1,-14.4
12.2,-12.9
12.3,-12.8
12.4,-12.7
12.5,-12.6
12.6,-13.5
12.7,-13
12.8,-14.6
12.9,-14.3
13,-12.6
13.1,-12.3
13.2,-11.2
13.3,-11.7
13.4,-13.1
13.5,-15
13.6,-17.9
13.7,-18.9
13.8,-19.6
13.9,-15.1
14,-13
14.1,-12.1
14.2,-10.7
14.3,-10.7
14.4,-10.5
14.5,-10.3
14.6,-11.3
14.7,-12
14.8,-13
14.9,-12.8
15,-12.2
15.1,-12.1
15.2,-12.3
