start,end,text,uncertain,source,checked
9.39,17,うららかに風抜けて 桃色の夢咲いた,1,raw_rescue,1
17,21,市場の呼応 夢咲いた,1,raw_rescue,1
21,29.15,市場の鼓動 響き合い 今日が始まるよ,1,raw_rescue,1
29.15,37,陽光の蝶べ 踊れ 空を黄金に染めて,1,vocal_text_raw_time,1
37,45.14,うららかな心弾む 春よここに集まれ,0,vocal_text_raw_time,1
45.14,49.16,春よここに集まれ,0,vocal_text_raw_time,1
49.16,56.74,桃色の香り誘われ 迷う 異邦のたそり人,0,vocal_text_raw_time,1
56.74,60.74,ねじった頬の旅人,1,vocal_text_raw_time,1
60.74,64.74,寝る牛は高く舞う歌,0,vocal_text_raw_time,1
64.74,72.74,手拍子鳴らして,1,vocal_text_raw_time,1
68.74,73.58,うららかななときとまる,0,vocal_text_raw_start,1
72.74,78.74,桃色のしずく落ちる,0,vocal_text_raw_time,1
78.74,83.44,陽光の蝶べ 踊れ,0,vocal_text_raw_start,1
82.74,88.74,明日へつながる祭り,1,vocal_text_raw_time,1
