difficulty,time,col,type
easy,2.2,2,tap
easy,3.3,3,tap
easy,5.5,4,tap
easy,7.2,1,tap
easy,10.4,2,tap
easy,12.5,3,tap
easy,14.5,4,tap
easy,17.2,1,tap
easy,18.7,2,tap
easy,20.2,3,tap
easy,22.7,4,tap
easy,23.7,1,tap
easy,24.7,2,tap
easy,28,3,tap
easy,29.1,4,tap
easy,30.2,1,tap
easy,31.7,2,tap
easy,34.2,3,tap
easy,35.4,4,tap
easy,36.9,1,tap
easy,39.6,2,tap
easy,40.9,3,tap
easy,42.1,4,tap
easy,44.6,1,tap
easy,46.1,2,tap
easy,47.3,3,tap
easy,50,4,tap
easy,51,1,tap
easy,52.1,2,tap
easy,55,3,tap
easy,56,4,tap
easy,57,1,tap
easy,59.2,2,tap
easy,61.9,3,tap
easy,63.9,4,tap
easy,64.9,1,tap
easy,67.9,2,tap
easy,71.2,3,tap
easy,73.2,4,tap
easy,76.1,1,tap
easy,77.7,2,tap
easy,80.3,3,tap
easy,82.5,4,tap
easy,84.7,1,tap
easy,85.8,2,tap
normal,2.2,2,tap
normal,3.3,3,tap
normal,4.2,4,tap
normal,5.5,1,tap
normal,6.2,2,tap
normal,7.2,3,tap
normal,8.2,4,tap
normal,10.4,1,tap
normal,11.2,2,tap
normal,12.5,3,tap
normal,13.2,4,tap
normal,14.5,1,tap
normal,16.2,2,tap
normal,17.2,3,tap
normal,18.7,4,tap
normal,20.2,1,tap
normal,21.2,2,tap
normal,22.7,3,tap
normal,23.5,4,tap
normal,24.2,1,tap
normal,26.2,2,tap
normal,28,3,tap
normal,29.1,4,tap
normal,30.2,1,tap
normal,31.1,2,tap
normal,33,3,tap
normal,34.2,4,tap
normal,35.4,1,tap
normal,36.9,2,tap
normal,38.3,3,tap
normal,39.1,4,tap
normal,40.4,1,tap
normal,42.1,2,tap
normal,43.4,3,tap
normal,44.6,4,tap
normal,46.1,1,tap
normal,47.3,2,tap
normal,48.5,3,tap
normal,50,4,tap
normal,51,1,tap
normal,52.1,2,tap
normal,53,3,tap
normal,54,4,tap
normal,55,1,tap
normal,56,2,tap
normal,57,3,tap
normal,57.9,4,tap
normal,59.2,1,tap
normal,60.4,2,tap
normal,61.9,3,tap
normal,63.9,4,tap
normal,64.9,1,tap
normal,65.9,2,tap
normal,66.7,3,tap
normal,67.9,4,tap
normal,68.7,1,tap
normal,71.2,2,tap
normal,71.9,3,tap
normal,73.2,4,tap
normal,75.1,1,tap
normal,76.1,2,tap
normal,77.7,3,tap
normal,80.3,4,tap
normal,81.2,1,tap
normal,82.5,2,tap
normal,84.7,3,tap
normal,85.8,4,tap
normal,87.2,1,tap
hard,2.2,2,tap
hard,3.3,3,tap
hard,4.2,4,tap
hard,5.5,1,tap
hard,6.2,2,tap
hard,7.2,3,tap
hard,8.2,4,tap
hard,10.4,1,tap
hard,11.2,2,tap
hard,12.5,3,tap
hard,13.2,4,tap
hard,14.5,1,tap
hard,15.1,2,tap
hard,16.2,3,tap
hard,16.7,4,tap
hard,17.2,1,tap
hard,18.7,2,tap
hard,20.2,3,tap
hard,21.2,4,tap
hard,22.7,1,tap
hard,23.5,2,tap
hard,24.2,3,tap
hard,24.7,4,tap
hard,26.2,1,tap
hard,26.7,2,tap
hard,28,3,tap
hard,29.1,4,tap
hard,30.2,1,tap
hard,30.7,2,tap
hard,31.1,3,tap
hard,31.7,4,tap
hard,33,1,tap
hard,34.2,2,tap
hard,35.4,3,tap
hard,36.9,4,tap
hard,38.3,1,tap
hard,39.1,2,tap
hard,39.6,3,tap
hard,40.4,4,tap
hard,40.9,1,tap
hard,42.1,2,tap
hard,43.4,3,tap
hard,44.6,4,tap
hard,45.1,1,tap
hard,46.1,2,tap
hard,47.3,3,tap
hard,48.5,4,tap
hard,50,1,tap
hard,51,2,tap
hard,52.1,3,tap
hard,53,4,tap
hard,54,1,tap
hard,55,2,tap
hard,56,3,tap
hard,57,4,tap
hard,57.9,1,tap
hard,59.2,2,tap
hard,60.4,3,tap
hard,61,4,tap
hard,61.9,1,tap
hard,62.4,2,tap
hard,63.9,3,tap
hard,64.9,4,tap
hard,65.9,1,tap
hard,66.7,2,tap
hard,67.9,3,tap
hard,68.7,4,tap
hard,71.2,1,tap
hard,71.9,2,tap
hard,73.2,3,tap
hard,75.1,4,tap
hard,76.1,1,tap
hard,77.7,2,tap
hard,80.3,3,tap
hard,80.8,4,tap
hard,81.2,1,tap
hard,81.8,2,tap
hard,82.5,3,tap
hard,83.1,4,tap
hard,84.7,1,tap
hard,85.8,2,tap
hard,87.2,3,tap
