time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-18.4
0.5,-17.7
0.6,-17.9
0.7,-17
0.8,-15.8
0.9,-15
1,-14.9
1.1,-15.3
1.2,-15.1
1.3,-15.2
1.4,-15.4
1.5,-15.6
1.6,-16.8
1.7,-17.3
1.8,-17.4
1.9,-17.7
2,-17
2.1,-16.1
2.2,-15.9
2.3,-15.8
2.4,-16.6
2.5,-18.1
2.6,-18.3
2.7,-16.9
2.8,-16.2
2.9,-15.9
3,-15.9
3.1,-16.9
3.2,-16.4
3.3,-16.4
3.4,-16.3
3.5,-16.1
3.6,-16.7
3.7,-15.5
3.8,-15.4
3.9,-15.3
4,-15.6
4.1,-17
4.2,-17.1
4.3,-17.4
4.4,-17.6
4.5,-17.7
4.6,-17.6
4.7,-15.9
4.8,-14.5
4.9,-14.2
5,-14.2
5.1,-15.3
5.2,-15.8
5.3,-16.1
5.4,-16.4
5.5,-16.3
5.6,-15.7
5.7,-14.6
5.8,-13.2
5.9,-12.7
6,-13
6.1,-13.2
6.2,-14
6.3,-14.6
6.4,-14.6
6.5,-14.4
6.6,-14.6
6.7,-14.6
6.8,-15.1
6.9,-16.5
7,-17.3
7.1,-16.9
7.2,-15.4
7.3,-14.9
7.4,-15
7.5,-15.6
7.6,-17.3
7.7,-16.4
7.8,-15.7
7.9,-15.9
8,-16.1
8.1,-17.5
8.2,-18
8.3,-17.2
8.4,-17.3
8.5,-17.6
8.6,-18.4
8.7,-18.2
8.8,-17.5
8.9,-17.2
9,-17.3
9.1,-18.5
9.2,-19
9.3,-19.5
9.4,-20.3
9.5,-21
9.6,-22.9
9.7,-25
9.8,-25.8
9.9,-27.2
10,-28.7
10.1,-29.9
10.2,-18.5
10.3,-16.3
10.4,-14.7
10.5,-13.4
10.6,-13.4
10.7,-13.1
10.8,-13.1
10.9,-13.1
11,-13.3
11.1,-13.4
11.2,-12.6
11.3,-12.7
11.4,-13.6
11.5,-14.2
11.6,-15.8
11.7,-14.8
11.8,-13.1
11.9,-11.7
12,-11.2
12.1,-12.2
12.2,-12.5
12.3,-13.7
12.4,-14.5
12.5,-13.8
12.6,-15.1
12.7,-15.9
12.8,-16.9
12.9,-18
13,-15.7
13.1,-14.4
13.2,-12.5
13.3,-11.6
13.4,-11.4
13.5,-11.5
13.6,-11.9
13.7,-11.9
13.8,-12.2
13.9,-12.2
14,-12.3
14.1,-13.5
14.2,-13.5
14.3,-13
14.4,-12.5
14.5,-11.2
14.6,-10.6
14.7,-10.4
14.8,-10.4
14.9,-10.4
15,-11.1
