difficulty,time,col,type
easy,1,2,tap
easy,2.3,3,tap
easy,3.9,4,tap
easy,4.9,1,tap
easy,5.9,2,tap
easy,7.3,3,tap
easy,8.9,4,tap
easy,10.7,1,tap
easy,12,2,tap
easy,13.4,3,tap
easy,14.7,4,tap
easy,17.2,1,tap
easy,19.5,2,tap
easy,20.7,3,tap
easy,22.8,4,tap
easy,26,1,tap
easy,27.7,2,tap
easy,28.9,3,tap
easy,30.5,4,tap
easy,32,1,tap
easy,33.8,2,tap
easy,36.8,3,tap
easy,37.8,4,tap
easy,39,1,tap
easy,40,2,tap
easy,41,3,tap
easy,42.5,4,tap
easy,43.8,1,tap
easy,45.7,2,tap
easy,47.5,3,tap
easy,48.8,4,tap
easy,49.8,1,tap
easy,50.8,2,tap
easy,52,3,tap
easy,53,4,tap
easy,54.8,1,tap
easy,56.8,2,tap
easy,58,3,tap
easy,59.5,4,tap
easy,60.8,1,tap
easy,61.8,2,tap
easy,63.5,3,tap
normal,1,2,tap
normal,2.3,3,tap
normal,3,4,tap
normal,3.9,1,tap
normal,4.9,2,tap
normal,5.9,3,tap
normal,7.3,4,tap
normal,8.9,1,tap
normal,10.7,2,tap
normal,12,3,tap
normal,13.4,4,tap
normal,14.7,1,tap
normal,17.2,2,tap
normal,18,3,tap
normal,19.5,4,tap
normal,20.7,1,tap
normal,22.8,2,tap
normal,26,3,tap
normal,27.7,4,tap
normal,28.9,1,tap
normal,30.5,2,tap
normal,32,3,tap
normal,33.8,4,tap
normal,36.8,1,tap
normal,37.8,2,tap
normal,39,3,tap
normal,40,4,tap
normal,41,1,tap
normal,42.5,2,tap
normal,43.2,3,tap
normal,44.5,4,tap
normal,45.7,1,tap
normal,47.5,2,tap
normal,48.8,3,tap
normal,49.6,4,tap
normal,50.8,1,tap
normal,52,2,tap
normal,53,3,tap
normal,53.7,4,tap
normal,54.8,1,tap
normal,56.8,2,tap
normal,58,3,tap
normal,59.5,4,tap
normal,60.8,1,tap
normal,61.8,2,tap
normal,63.5,3,tap
hard,1,2,tap
hard,2.3,3,tap
hard,2.9,4,tap
hard,3.9,1,tap
hard,4.9,2,tap
hard,5.9,3,tap
hard,7.3,4,tap
hard,8.9,1,tap
hard,10.7,2,tap
hard,11.2,3,tap
hard,12,4,tap
hard,13.4,1,tap
hard,14.7,2,tap
hard,17.2,3,tap
hard,18,4,tap
hard,19.5,1,tap
hard,20.7,2,tap
hard,22.8,3,tap
hard,26,4,tap
hard,27.7,1,tap
hard,28.3,2,tap
hard,28.9,3,tap
hard,30.5,4,tap
hard,32,1,tap
hard,33.8,2,tap
hard,36.8,3,tap
hard,37.8,4,tap
hard,39,1,tap
hard,40,2,tap
hard,41,3,tap
hard,42.5,4,tap
hard,43.1,1,tap
hard,43.8,2,tap
hard,44.5,3,tap
hard,45.7,4,tap
hard,47.5,1,tap
hard,48.8,2,tap
hard,49.6,3,tap
hard,50.8,4,tap
hard,52,1,tap
hard,53,2,tap
hard,53.7,3,tap
hard,54.8,4,tap
hard,56.8,1,tap
hard,58,2,tap
hard,59.5,3,tap
hard,60.1,4,tap
hard,60.8,1,tap
hard,61.3,2,tap
hard,61.8,3,tap
hard,63.5,4,tap
