time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-23
0.5,-22.1
0.6,-22.8
0.7,-23.6
0.8,-24.3
0.9,-24.8
1,-23
1.1,-22.1
1.2,-22
1.3,-22.1
1.4,-21.9
1.5,-21.6
1.6,-21.2
1.7,-20.8
1.8,-21.7
1.9,-22.6
2,-22.4
2.1,-22.3
2.2,-20.5
2.3,-19.5
2.4,-19.7
2.5,-20
2.6,-21.2
2.7,-22.3
2.8,-22.8
2.9,-22.8
3,-23.3
3.1,-23.6
3.2,-22.5
3.3,-21.6
3.4,-20.5
3.5,-19.7
3.6,-19.7
3.7,-20.1
3.8,-20.3
3.9,-20.9
4,-21.3
4.1,-21.4
4.2,-22.6
4.3,-23.7
4.4,-24.5
4.5,-25.3
4.6,-25.1
4.7,-24.7
4.8,-24.4
4.9,-24.1
5,-22.4
5.1,-21.5
5.2,-21
5.3,-20.6
5.4,-21.6
5.5,-22.4
5.6,-22.6
5.7,-23.2
5.8,-21.5
5.9,-20.8
6,-20.7
6.1,-20.7
6.2,-21.5
6.3,-21.8
6.4,-21.6
6.5,-21.5
6.6,-22
6.7,-22.7
6.8,-22.1
6.9,-21.3
7,-19.7
7.1,-19.2
7.2,-19.4
7.3,-19.8
7.4,-21
7.5,-21.4
7.6,-21.7
7.7,-21.9
7.8,-22.3
7.9,-22.3
8,-21.9
8.1,-21.6
8.2,-21.1
8.3,-20.6
8.4,-20.8
8.5,-21
8.6,-20.8
8.7,-20.9
8.8,-20.9
8.9,-21
9,-22.4
9.1,-23.9
9.2,-25.4
9.3,-26.2
9.4,-26
9.5,-25.8
9.6,-25.7
9.7,-25.2
9.8,-18.5
9.9,-16.4
10,-15
10.1,-14.1
10.2,-14.6
10.3,-15.2
10.4,-15
10.5,-16
10.6,-16.2
10.7,-15.7
10.8,-16.1
10.9,-15.3
11,-14.3
11.1,-14.7
11.2,-14.4
11.3,-13.9
11.4,-14.8
11.5,-15
11.6,-15
11.7,-16.6
11.8,-16.3
11.9,-15.4
12,-15.6
12.1,-15.6
12.2,-15.3
12.3,-15.5
12.4,-15.8
12.5,-14.9
12.6,-15
12.7,-14.8
12.8,-14.7
12.9,-15.4
13,-16
13.1,-16
13.2,-15.9
13.3,-15.3
13.4,-14.6
13.5,-14.6
13.6,-14.3
13.7,-14
13.8,-14.5
13.9,-15
14,-16.2
14.1,-17.7
14.2,-19.9
14.3,-21.8
14.4,-22.2
14.5,-19.7
14.6,-17
14.7,-15.3
14.8,-14.5
14.9,-14.4
15,-14.9
15.1,-15.7
15.2,-15.5
