start,end,text,uncertain,source,checked
0,18.4,遠く瞬く星の声 白い真珠の光揺れる,1,raw_rescue,
18.4,28.48,くるくる回る時計の音 今はるか時間を止める,1,raw_rescue,
28.48,37.48,空に描いた星の模様,0,vocal_text_raw_time,
37.48,43,なぞると消えた時の雫,0,vocal_text_raw_start,
42.48,47.48,七つの空をあめぐるたび,1,vocal_text_raw_start,
47.48,52.48,君と絆探してる,0,vocal_text_raw_time,
54.5,56.5,真夜中の左順,1,vocal,
58.48,68.48,真夜中のさじまころに,1,vocal_text_raw_time,
64.32,69.02,秘密の扉開いてく,0,vocal,
68.48,74.08,空に描いた星の模様,0,vocal_text_raw_start,
74.08,78.48,七つの空をあめぐるたび,1,vocal,
78.48,83.18,人の絆輝いた,0,vocal_text_raw_start,
78.48,88.7,大きい瞬き明日へ行く,1,vocal_text_raw_time,
