time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-58.5
0.5,-59.7
0.6,-59.4
0.7,-64.4
0.8,-63.4
0.9,-19.9
1,-18.1
1.1,-16.8
1.2,-16
1.3,-17.2
1.4,-17.8
1.5,-19
1.6,-20.8
1.7,-23.1
1.8,-26.3
1.9,-28.2
2,-28.2
2.1,-28.8
2.2,-19.7
2.3,-17.8
2.4,-17
2.5,-15.9
2.6,-16.7
2.7,-17.6
2.8,-17.9
2.9,-19.6
3,-21.8
3.1,-23.6
3.2,-26.7
3.3,-27.3
3.4,-28.2
3.5,-23.8
3.6,-19.6
3.7,-18.6
3.8,-17.7
3.9,-15.8
4,-16.1
4.1,-15.9
4.2,-15.2
4.3,-16.7
4.4,-17.1
4.5,-17.1
4.6,-17.7
4.7,-17.8
4.8,-18.4
4.9,-16.7
5,-16.9
5.1,-17.1
5.2,-16.9
5.3,-19.4
5.4,-19.3
5.5,-19.2
5.6,-19.9
5.7,-20.8
5.8,-24.1
5.9,-26.9
6,-27.1
6.1,-26.4
6.2,-20
6.3,-17.2
6.4,-16.2
6.5,-14.7
6.6,-13.5
6.7,-13.3
6.8,-13
6.9,-13.5
7,-15.5
7.1,-16.1
7.2,-15.3
7.3,-14.5
7.4,-14
7.5,-14
7.6,-14.6
7.7,-15.1
7.8,-15.5
7.9,-15.8
8,-16.8
8.1,-16.1
8.2,-15.6
8.3,-16
8.4,-15.5
8.5,-15.7
8.6,-15.8
8.7,-15.9
8.8,-17
8.9,-16.4
9,-16.3
9.1,-16.1
9.2,-15.8
9.3,-17.4
9.4,-17.9
9.5,-17.4
9.6,-16.7
9.7,-16.2
9.8,-15.6
9.9,-15.7
10,-16
10.1,-15.5
10.2,-14.7
10.3,-13.8
10.4,-13.5
10.5,-13.8
10.6,-14.6
10.7,-15.7
10.8,-15.9
10.9,-14.5
11,-14.3
11.1,-14.3
11.2,-13.9
11.3,-14.8
11.4,-15.2
11.5,-15.3
11.6,-15.7
11.7,-16.2
11.8,-16.3
11.9,-16.5
12,-17.7
12.1,-18.5
12.2,-19.6
12.3,-21
12.4,-21.6
12.5,-22.3
12.6,-22.8
12.7,-23.4
12.8,-24.2
12.9,-25.8
13,-27
13.1,-28.8
13.2,-30.6
13.3,-32.3
13.4,-20.6
13.5,-15.6
13.6,-14.3
13.7,-13.5
13.8,-13.7
13.9,-15.3
14,-16.5
14.1,-17.9
14.2,-17.4
14.3,-15.1
14.4,-13.9
14.5,-12.5
14.6,-12.3
14.7,-13
14.8,-13.5
14.9,-13.3
15,-13.1
