time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-51.9
0.5,-47.2
0.6,-43
0.7,-39.5
0.8,-37.6
0.9,-36.8
1,-36.3
1.1,-34.8
1.2,-33.5
1.3,-32.1
1.4,-29.9
1.5,-27.8
1.6,-27
1.7,-26.8
1.8,-26.9
1.9,-27.5
2,-26.3
2.1,-25.3
2.2,-24.7
2.3,-24.5
2.4,-25.1
2.5,-25.2
2.6,-25.4
2.7,-25.7
2.8,-25.5
2.9,-25.4
3,-19.2
3.1,-18.7
3.2,-18.6
3.3,-18.6
3.4,-23.1
3.5,-21.6
3.6,-19.3
3.7,-18.8
3.8,-18.3
3.9,-18.6
4,-20
4.1,-18.6
4.2,-18.5
4.3,-18.4
4.4,-18.3
4.5,-19.5
4.6,-19.5
4.7,-19
4.8,-18
4.9,-17.3
5,-16.7
5.1,-16.7
5.2,-16.6
5.3,-16.5
5.4,-16.9
5.5,-16.8
5.6,-16.5
5.7,-16.9
5.8,-16.9
5.9,-17.1
6,-15.2
6.1,-15
6.2,-15.2
6.3,-15.7
6.4,-19.4
6.5,-18.5
6.6,-17.5
6.7,-17
6.8,-16.7
6.9,-17.4
7,-17.6
7.1,-17.3
7.2,-17.3
7.3,-17.7
7.4,-18.2
7.5,-18.9
7.6,-19.2
7.7,-19.2
7.8,-19.2
7.9,-19.3
8,-19.4
8.1,-20
8.2,-20.1
8.3,-20.4
8.4,-21.2
8.5,-20.9
8.6,-21.9
8.7,-22.6
8.8,-22.8
8.9,-23.4
9,-18.6
9.1,-17.3
9.2,-16.7
9.3,-16.4
9.4,-18.4
9.5,-18.4
9.6,-17
9.7,-16.9
9.8,-16.8
9.9,-17.5
10,-19.2
10.1,-18.3
10.2,-17.6
10.3,-16.8
10.4,-16.1
10.5,-15.9
10.6,-15.4
10.7,-15.3
10.8,-15.5
10.9,-16.1
11,-17
11.1,-17.9
11.2,-18.5
11.3,-18.9
11.4,-19.6
11.5,-20.5
11.6,-20.9
11.7,-21
11.8,-20.6
11.9,-20.2
12,-17.1
12.1,-17
12.2,-17
12.3,-17.1
12.4,-20.6
12.5,-19.6
12.6,-18.1
12.7,-17.9
12.8,-17.6
12.9,-18.2
13,-19.4
13.1,-17.5
13.2,-17.3
13.3,-17.4
13.4,-17.6
13.5,-19.7
13.6,-19.8
13.7,-20
13.8,-20.3
13.9,-20.5
14,-21.7
14.1,-22.9
14.2,-22.9
14.3,-23.5
14.4,-23.7
14.5,-23.9
14.6,-25.6
14.7,-26.5
14.8,-27.9
14.9,-29.7
15,-17
15.1,-15.2
