start,end,text,uncertain,source
0,22,黒い砂漠を走り抜け 銀の鎧は月夜に踊る,1,raw_rescue
22,29,聖者を切り裂く風の柄と 影に潜んだ刃が牙を剥く,1,raw_rescue
30,42.5,孤独な使命背負い込み 追跡の果てに見える幻,0,vocal_text_raw_time
38.12,44,速さを競う影と影,0,vocal_text_raw_start
42.5,50,サックスが叫ぶ砂の嵐に,1,vocal_text_raw_start
49.54,56.14,追い詰め追い越せこの瞬間を 誰にも邪魔せぬ追跡行,0,vocal_text_raw_time
56.14,60.24,誇り高き黒い騎士よ 運命の扉を叩き割れ,1,vocal_text_raw_start
56.14,66.46,,0,vocal_text_raw_time
66.46,72.84,月は沈み闇は溶けて,0,vocal_text_raw_time
66.46,72.84,足跡は風に消えゆく,0,vocal_text_raw_time
72.84,78.48,また黒い騎士は一人進む,1,vocal_text_raw_time
72.84,78.48,サックスの投げ引く夜空に,0,vocal_text_raw_time
78.48,81.36,静かな終焉訪れる,0,vocal_text_raw_time
