time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-45.1
0.5,-43
0.6,-41.3
0.7,-40.2
0.8,-39.4
0.9,-38.4
1,-37.5
1.1,-37
1.2,-36.3
1.3,-23.2
1.4,-22.6
1.5,-22.5
1.6,-22.4
1.7,-29.2
1.8,-32.5
1.9,-19
2,-17.6
2.1,-17
2.2,-16.3
2.3,-18
2.4,-17.8
2.5,-16.3
2.6,-15.6
2.7,-15
2.8,-13.4
2.9,-12.2
3,-11.7
3.1,-11.3
3.2,-11.6
3.3,-12.4
3.4,-12.5
3.5,-12.6
3.6,-12.9
3.7,-13
3.8,-13.6
3.9,-14.4
4,-14.7
4.1,-14.5
4.2,-13.6
4.3,-12.8
4.4,-13
4.5,-13.8
4.6,-15.1
4.7,-16.4
4.8,-16.4
4.9,-15.5
5,-15.1
5.1,-15.2
5.2,-14.5
5.3,-14.2
5.4,-14.4
5.5,-14.6
5.6,-15.7
5.7,-16.9
5.8,-15.9
5.9,-15.7
6,-15.7
6.1,-15
6.2,-15.8
6.3,-16.1
6.4,-16.1
6.5,-16.2
6.6,-15.5
6.7,-14.2
6.8,-13.7
6.9,-14
7,-14.7
7.1,-15.5
7.2,-16
7.3,-15.1
7.4,-14.6
7.5,-14.5
7.6,-13.7
7.7,-13.1
7.8,-13.1
7.9,-13.4
8,-14.1
8.1,-15.6
8.2,-15.5
8.3,-15.2
8.4,-14.5
8.5,-13.9
8.6,-14.3
8.7,-14.6
8.8,-15.2
8.9,-14.8
9,-14.2
9.1,-13.2
9.2,-13.1
9.3,-13.9
9.4,-14.3
9.5,-15.1
9.6,-14.1
9.7,-13
9.8,-12.3
9.9,-11.9
10,-11.4
10.1,-11.3
10.2,-11.4
10.3,-11.2
10.4,-11.5
10.5,-11.9
10.6,-12.1
10.7,-13.1
10.8,-14.5
10.9,-15.4
11,-16.6
11.1,-17
11.2,-17.5
11.3,-18.2
11.4,-19.1
11.5,-15.9
11.6,-14.2
11.7,-14.2
11.8,-13
11.9,-12.1
12,-11.5
12.1,-10.6
12.2,-10.4
12.3,-11.5
12.4,-12.7
12.5,-13.2
12.6,-14.1
12.7,-13.9
12.8,-12.7
12.9,-11.9
13,-11.2
13.1,-11.5
13.2,-13.1
13.3,-13.5
13.4,-12.8
13.5,-11.8
13.6,-11.7
13.7,-13
13.8,-16.3
13.9,-17.2
14,-15.3
14.1,-14.5
14.2,-13.9
14.3,-13.5
14.4,-13.8
14.5,-14
14.6,-13.5
14.7,-14.1
14.8,-13.4
14.9,-12.7
15,-12.4
15.1,-12.1
