difficulty,time,col,type
easy,3.1,2,tap
easy,4.3,3,tap
easy,5.3,4,tap
easy,6.8,1,tap
easy,7.8,2,tap
easy,9.2,3,tap
easy,10.3,4,tap
easy,12.2,1,tap
easy,13.6,2,tap
easy,15.4,3,tap
easy,17,4,tap
easy,19,1,tap
easy,20.8,2,tap
easy,22.3,3,tap
easy,23.5,4,tap
easy,25.3,1,tap
easy,26.3,2,tap
easy,27.8,3,tap
easy,29.4,4,tap
easy,31,1,tap
easy,33.9,2,tap
easy,36.2,3,tap
easy,38.3,4,tap
easy,39.6,1,tap
easy,41.3,2,tap
easy,43,3,tap
easy,44.3,4,tap
easy,45.5,1,tap
easy,46.7,2,tap
easy,47.7,3,tap
easy,49.2,4,tap
easy,50.2,1,tap
easy,51.2,2,tap
easy,53,3,tap
easy,54.1,4,tap
easy,55.1,1,tap
easy,57.8,2,tap
easy,59.4,3,tap
easy,60.8,4,tap
normal,3.1,2,tap
normal,4.3,3,tap
normal,5.3,4,tap
normal,6.1,1,tap
normal,6.8,2,tap
normal,7.7,3,tap
normal,8.5,4,tap
normal,9.2,1,tap
normal,10.3,2,tap
normal,12.2,3,tap
normal,13,4,tap
normal,14.3,1,tap
normal,15.4,2,tap
normal,17,3,tap
normal,17.8,4,tap
normal,19,1,tap
normal,19.9,2,tap
normal,20.8,3,tap
normal,22.3,4,tap
normal,23.5,1,tap
normal,24.3,2,tap
normal,25.3,3,tap
normal,26.3,4,tap
normal,27.8,1,tap
normal,28.6,2,tap
normal,29.4,3,tap
normal,31,4,tap
normal,31.9,1,tap
normal,33.9,2,tap
normal,34.6,3,tap
normal,36.2,4,tap
normal,38.3,1,tap
normal,39,2,tap
normal,41.3,3,tap
normal,42.2,4,tap
normal,43,1,tap
normal,44.3,2,tap
normal,45.5,3,tap
normal,46.2,4,tap
normal,47.7,1,tap
normal,49.2,2,tap
normal,50.2,3,tap
normal,51.2,4,tap
normal,53,1,tap
normal,54.1,2,tap
normal,55.1,3,tap
normal,56,4,tap
normal,57.8,1,tap
normal,59.4,2,tap
normal,60.8,3,tap
hard,3.1,2,tap
hard,4.3,3,tap
hard,5.3,4,tap
hard,6.1,1,tap
hard,6.8,2,tap
hard,7.7,3,tap
hard,8.5,4,tap
hard,9.2,1,tap
hard,10.3,2,tap
hard,12.2,3,tap
hard,13,4,tap
hard,13.6,1,tap
hard,14.3,2,tap
hard,15.4,3,tap
hard,17,4,tap
hard,17.8,1,tap
hard,19,2,tap
hard,19.9,3,tap
hard,20.8,4,tap
hard,21.1,1,tap
hard,22.3,2,tap
hard,22.9,3,tap
hard,23.5,4,tap
hard,24.3,1,tap
hard,25.3,2,tap
hard,26.3,3,tap
hard,26.9,4,tap
hard,27.8,1,tap
hard,28.6,2,tap
hard,29.4,3,tap
hard,29.9,4,tap
hard,31,1,tap
hard,31.9,2,tap
hard,33.9,3,tap
hard,34.6,4,tap
hard,36.2,1,tap
hard,36.8,2,tap
hard,38.3,3,tap
hard,39,4,tap
hard,39.6,1,tap
hard,41.3,2,tap
hard,42.2,3,tap
hard,43,4,tap
hard,43.5,1,tap
hard,44.3,2,tap
hard,45.5,3,tap
hard,46.1,4,tap
hard,46.7,1,tap
hard,47.7,2,tap
hard,49.2,3,tap
hard,50.2,4,tap
hard,50.6,1,tap
hard,51.2,2,tap
hard,53,3,tap
hard,54.1,4,tap
hard,55.1,1,tap
hard,56,2,tap
hard,57.8,3,tap
hard,59.4,4,tap
hard,60.8,1,tap
