time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-58.3
0.5,-59.1
0.6,-66.6
0.7,-24.8
0.8,-22.5
0.9,-20.4
1,-19.3
1.1,-18.9
1.2,-18.4
1.3,-18.2
1.4,-18.3
1.5,-17.8
1.6,-18.2
1.7,-19.3
1.8,-18.9
1.9,-19.3
2,-19.6
2.1,-19.7
2.2,-19.6
2.3,-20.8
2.4,-20.9
2.5,-21
2.6,-21.7
2.7,-22
2.8,-22.1
2.9,-21.9
3,-21.4
3.1,-21.3
3.2,-21
3.3,-20.3
3.4,-20.9
3.5,-21.4
3.6,-22
3.7,-21.3
3.8,-21.3
3.9,-19.8
4,-18.8
4.1,-18.5
4.2,-18.2
4.3,-18.1
4.4,-18.2
4.5,-16.9
4.6,-17.2
4.7,-18
4.8,-18
4.9,-20.4
5,-20.9
5.1,-21.2
5.2,-21.4
5.3,-21.2
5.4,-21.1
5.5,-21.1
5.6,-22.3
5.7,-25.1
5.8,-26.8
5.9,-28.4
6,-30
6.1,-31.6
6.2,-33.2
6.3,-34.2
6.4,-34.9
6.5,-35.5
6.6,-36.4
6.7,-24.4
6.8,-22.3
6.9,-20.9
7,-20.1
7.1,-20.3
7.2,-20.1
7.3,-19.3
7.4,-19.1
7.5,-18
7.6,-18
7.7,-18.6
7.8,-17.5
7.9,-17.6
8,-17.7
8.1,-17.7
8.2,-17.5
8.3,-18.1
8.4,-18
8.5,-18.2
8.6,-19
8.7,-19.5
8.8,-19.7
8.9,-19.6
9,-19.2
9.1,-19
9.2,-18.8
9.3,-18.4
9.4,-18.8
9.5,-18.9
9.6,-18.9
9.7,-17.3
9.8,-16.5
9.9,-16.3
10,-16.1
10.1,-17.1
10.2,-18.2
10.3,-18.6
10.4,-18.7
10.5,-18.9
10.6,-18.9
10.7,-19.2
10.8,-19.3
10.9,-19.6
11,-20.1
11.1,-20.4
11.2,-20.2
11.3,-19.6
11.4,-19.4
11.5,-19.2
11.6,-19.8
11.7,-21.1
11.8,-21.8
11.9,-22.8
12,-23.8
12.1,-24.7
12.2,-26.1
12.3,-27.1
12.4,-28.1
12.5,-29.4
12.6,-30.7
12.7,-19.8
12.8,-17.6
12.9,-16.7
13,-16.4
13.1,-17.8
13.2,-18.6
13.3,-19.3
13.4,-19.6
13.5,-17.4
13.6,-16.8
13.7,-16
13.8,-14.6
13.9,-14.8
14,-14.7
14.1,-14.6
14.2,-13.6
14.3,-13.2
14.4,-12.9
14.5,-13.6
14.6,-14.9
14.7,-15.4
14.8,-15.6
14.9,-14.2
15,-13.6
