start,end,text,uncertain,source,checked
15,18.88,長い旅が終わる,1,vocal_text_raw_time,1
18.88,24.08,真珠の夜に,0,vocal,1
24.08,28.06,あなたの影が揺れる,0,vocal_text_raw_start,1
28.06,45,香ばしい風 千年の涙が今繋がるから 忘れはしないぬくもり,0,vocal_text_raw_time,1
45,53.86,空を駆ける夢 空を駆ける夢,0,vocal_text_raw_time,1
53.86,58.44,真珠の色は記憶,0,vocal,1
58.76,66.32,香ばしい香りは命遠い昔を尋ねて,1,vocal_text_raw_start,1
66.32,70.28,一人声と呼ぶ声,1,vocal_text_raw_start,1
69.78,77.78,千年の涙が今繋がるから,0,vocal_text_raw_time,1
75.58,80.38,忘れはしない温もり,1,vocal,1
77.78,88.78,空を駆ける夢 真珠の歌,0,vocal_text_raw_time,1
