difficulty,time,col,type
easy,0.5,2,tap
easy,2.6,3,tap
easy,5.2,4,tap
easy,7.3,1,tap
easy,8.5,2,tap
easy,11.5,3,tap
easy,13.2,4,tap
easy,15.3,1,tap
easy,16.5,2,tap
easy,19.9,3,tap
easy,21.5,4,tap
easy,22.5,1,tap
easy,23.5,2,tap
easy,24.5,3,tap
easy,28.5,4,tap
easy,30.5,1,tap
easy,31.8,2,tap
easy,32.8,3,tap
easy,35.3,4,tap
easy,36.8,1,tap
easy,38.5,2,tap
easy,40.5,3,tap
easy,41.5,4,tap
easy,44.8,1,tap
easy,47.3,2,tap
easy,50.5,3,tap
easy,52.5,4,tap
easy,54.8,1,tap
easy,56.5,2,tap
easy,57.5,3,tap
easy,59.8,4,tap
easy,61.3,1,tap
easy,63.8,2,tap
easy,65.5,3,tap
easy,66.5,4,tap
easy,67.6,1,tap
easy,71,2,tap
easy,72.6,3,tap
easy,74,4,tap
easy,75,1,tap
easy,76.6,2,tap
easy,79.1,3,tap
easy,81.2,4,tap
easy,84.8,1,tap
easy,86.1,2,tap
normal,0.5,2,tap
normal,1.3,3,tap
normal,2.6,4,tap
normal,3.3,1,tap
normal,5.2,2,tap
normal,6.1,3,tap
normal,7.3,4,tap
normal,8.5,1,tap
normal,9.3,2,tap
normal,10.5,3,tap
normal,11.4,4,tap
normal,12.2,1,tap
normal,13.2,2,tap
normal,15.3,3,tap
normal,16.5,4,tap
normal,17.3,1,tap
normal,18.9,2,tap
normal,19.9,3,tap
normal,21.5,4,tap
normal,22.5,1,tap
normal,23.5,2,tap
normal,24.4,3,tap
normal,25.3,4,tap
normal,26.8,1,tap
normal,28.5,2,tap
normal,30.5,3,tap
normal,31.3,4,tap
normal,32,1,tap
normal,32.8,2,tap
normal,33.8,3,tap
normal,35.3,4,tap
normal,36.8,1,tap
normal,38.5,2,tap
normal,39.3,3,tap
normal,40.5,4,tap
normal,41.5,1,tap
normal,43,2,tap
normal,43.7,3,tap
normal,44.8,4,tap
normal,45.5,1,tap
normal,47.3,2,tap
normal,50.5,3,tap
normal,52.5,4,tap
normal,53.8,1,tap
normal,54.8,2,tap
normal,55.5,3,tap
normal,56.5,4,tap
normal,57.5,1,tap
normal,59.8,2,tap
normal,60.6,3,tap
normal,61.3,4,tap
normal,62.6,1,tap
normal,63.3,2,tap
normal,65.5,3,tap
normal,66.5,4,tap
normal,67.6,1,tap
normal,68.5,2,tap
normal,69.8,3,tap
normal,71,4,tap
normal,72.6,1,tap
normal,74,2,tap
normal,75,3,tap
normal,75.7,4,tap
normal,76.6,1,tap
normal,77.9,2,tap
normal,79.1,3,tap
normal,79.9,4,tap
normal,81.2,1,tap
normal,84.8,2,tap
normal,86.1,3,tap
normal,87.5,4,tap
hard,0.5,2,tap
hard,1.3,3,tap
hard,2.6,4,tap
hard,3.3,1,tap
hard,5.2,2,tap
hard,6.1,3,tap
hard,7.3,4,tap
hard,8.5,1,tap
hard,9.3,2,tap
hard,10.5,3,tap
hard,11.4,4,tap
hard,12.2,1,tap
hard,13.2,2,tap
hard,15.3,3,tap
hard,16.5,4,tap
hard,17.3,1,tap
hard,18.9,2,tap
hard,19.9,3,tap
hard,21.5,4,tap
hard,22.5,1,tap
hard,23.5,2,tap
hard,24.4,3,tap
hard,25.3,4,tap
hard,26.8,1,tap
hard,27.3,2,tap
hard,28.5,3,tap
hard,29,4,tap
hard,30.5,1,tap
hard,31.3,2,tap
hard,31.8,3,tap
hard,32.8,4,tap
hard,33.8,1,tap
hard,35.3,2,tap
hard,36.8,3,tap
hard,38.5,4,tap
hard,39.3,1,tap
hard,40.5,2,tap
hard,41.5,3,tap
hard,42,4,tap
hard,43,1,tap
hard,43.6,2,tap
hard,44.8,3,tap
hard,45.5,4,tap
hard,47.3,1,tap
hard,50.5,2,tap
hard,52.5,3,tap
hard,53.8,4,tap
hard,54.8,1,tap
hard,55.5,2,tap
hard,56.5,3,tap
hard,57.5,4,tap
hard,59.8,1,tap
hard,60.6,2,tap
hard,61.3,3,tap
hard,61.9,4,tap
hard,62.6,1,tap
hard,63.3,2,tap
hard,63.8,3,tap
hard,65.5,4,tap
hard,66.5,1,tap
hard,67,2,tap
hard,67.6,3,tap
hard,68.5,4,tap
hard,69,1,tap
hard,69.8,2,tap
hard,71,3,tap
hard,71.5,4,tap
hard,72.6,1,tap
hard,74,2,tap
hard,75,3,tap
hard,75.6,4,tap
hard,76.6,1,tap
hard,77.9,2,tap
hard,79.1,3,tap
hard,79.9,4,tap
hard,81.2,1,tap
hard,84.8,2,tap
hard,86.1,3,tap
hard,87.5,4,tap
