time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-23.2
0.5,-22.7
0.6,-24.3
0.7,-23.2
0.8,-23.8
0.9,-24
1,-24.3
1.1,-26.8
1.2,-25.1
1.3,-24.7
1.4,-24.4
1.5,-24.6
1.6,-26.7
1.7,-24.1
1.8,-23.6
1.9,-22.1
2,-21.7
2.1,-23.1
2.2,-22.9
2.3,-24.2
2.4,-24.5
2.5,-24.5
2.6,-24.9
2.7,-24.4
2.8,-24.7
2.9,-24.7
3,-24.6
3.1,-24.5
3.2,-24.3
3.3,-24.6
3.4,-24.2
3.5,-24.4
3.6,-24.3
3.7,-23.5
3.8,-24.6
3.9,-23.4
4,-23.1
4.1,-23.1
4.2,-21.8
4.3,-22.6
4.4,-23.1
4.5,-23.8
4.6,-26.7
4.7,-27.8
4.8,-28.9
4.9,-30.2
5,-30.8
5.1,-25.6
5.2,-22.8
5.3,-22.2
5.4,-21.1
5.5,-20.9
5.6,-20.5
5.7,-19.5
5.8,-19.5
5.9,-19.2
6,-19.5
6.1,-19.6
6.2,-19.2
6.3,-19.5
6.4,-19.3
6.5,-18.9
6.6,-18.7
6.7,-18.6
6.8,-18.9
6.9,-19.2
7,-19
7.1,-18.5
7.2,-18.1
7.3,-18.1
7.4,-17.9
7.5,-18.2
7.6,-18.1
7.7,-17.9
7.8,-18.2
7.9,-17.9
8,-17.8
8.1,-17.4
8.2,-17.4
8.3,-17.5
8.4,-17.5
8.5,-17.9
8.6,-18
8.7,-18
8.8,-18.5
8.9,-18.5
9,-18.8
9.1,-18.6
9.2,-18.5
9.3,-18.6
9.4,-18.6
9.5,-18.9
9.6,-19.1
9.7,-19.3
9.8,-19.5
9.9,-19.9
10,-20.1
10.1,-16.5
10.2,-15.1
10.3,-14.3
10.4,-13.3
10.5,-13.7
10.6,-13.4
10.7,-13.2
10.8,-13.3
10.9,-13.4
11,-14.5
11.1,-14.4
11.2,-14.4
11.3,-14.4
11.4,-13.4
11.5,-14.5
11.6,-14.2
11.7,-13.9
11.8,-13.7
11.9,-12.5
12,-12.6
12.1,-12.3
12.2,-12.7
12.3,-13
12.4,-13.3
12.5,-14.8
12.6,-15
12.7,-15.3
12.8,-15
12.9,-14.2
13,-14.1
13.1,-14.1
13.2,-14.2
13.3,-14.1
13.4,-13.9
13.5,-13.6
13.6,-13.8
13.7,-14.1
13.8,-14.4
13.9,-15.1
14,-16
14.1,-17.3
14.2,-19.2
14.3,-22.2
14.4,-25.5
14.5,-28.6
14.6,-29.5
14.7,-28.9
14.8,-20.5
14.9,-19.5
