start,end,text,uncertain,source,checked
10,15,夜の彼方に舞うこの想い,1,raw_rescue,
15,21,あなたと交わした言葉が焦げる,1,raw_rescue,
21,29,月が眠る砂の上で 砂の上で,1,raw_rescue,
29,38,残る刹那の記憶 届かぬ願いが風になる,0,vocal_text_raw_time,
38,52,緩やかに溶ける月のしずく 重ねた想いが嘘になる,0,vocal_text_raw_time,
47,57,いつか見た夢の続きを探す いつか見た夢の続きを探す,0,vocal_text_raw_time,
57,67.24,あの日の約束 遠い未来 吐息ととももに消えてゆく,0,vocal_text_raw_time,
67.24,77.9,探し続ける あの時の明かり 届かぬ願いが風になる,0,vocal_text_raw_time,
77.9,86.28,緩やかに溶ける月のしずく 重ねた想いが嘘になる,0,vocal_text_raw_time,
86.28,91.06,いつか見た夢の月を探す,0,vocal_text_raw_time,
91.06,103.46,いつか見た夢の続きを探す,1,vocal,
