difficulty,time,col,type
easy,0.5,2,tap
easy,2,3,tap
easy,4.2,4,tap
easy,7.4,1,tap
easy,9.2,2,tap
easy,12.1,3,tap
easy,13.5,4,tap
easy,16.9,1,tap
easy,18.1,2,tap
easy,20.6,3,tap
easy,21.7,4,tap
easy,23.2,1,tap
easy,25.9,2,tap
easy,27.1,3,tap
easy,30.3,4,tap
easy,31.5,1,tap
easy,34.6,2,tap
easy,36,3,tap
easy,39.1,4,tap
easy,40.8,1,tap
easy,42.6,2,tap
easy,45.4,3,tap
easy,46.6,4,tap
easy,49.1,1,tap
easy,50.5,2,tap
easy,53,3,tap
easy,54,4,tap
easy,58,1,tap
easy,59.2,2,tap
easy,60.5,3,tap
easy,63.4,4,tap
easy,64.4,1,tap
easy,67,2,tap
easy,68.9,3,tap
easy,71.4,4,tap
easy,72.6,1,tap
easy,75.8,2,tap
easy,77.4,3,tap
easy,78.9,4,tap
easy,82.3,1,tap
easy,83.3,2,tap
easy,86,3,tap
easy,87.3,4,tap
easy,89.8,1,tap
easy,100.2,2,tap
normal,0.5,2,tap
normal,2,3,tap
normal,4.2,4,tap
normal,5.9,1,tap
normal,6.7,2,tap
normal,7.4,3,tap
normal,8.1,4,tap
normal,9.2,1,tap
normal,10.7,2,tap
normal,12.1,3,tap
normal,13,4,tap
normal,15.4,1,tap
normal,16.9,2,tap
normal,17.6,3,tap
normal,19.1,4,tap
normal,20.6,1,tap
normal,21.7,2,tap
normal,24.7,3,tap
normal,25.9,4,tap
normal,27.1,1,tap
normal,27.8,2,tap
normal,29.1,3,tap
normal,30.3,4,tap
normal,31.5,1,tap
normal,32.5,2,tap
normal,35.3,3,tap
normal,36,4,tap
normal,37.6,1,tap
normal,39.1,2,tap
normal,40,3,tap
normal,40.8,4,tap
normal,41.5,1,tap
normal,42.6,2,tap
normal,43.6,3,tap
normal,45.4,4,tap
normal,46.6,1,tap
normal,48.1,2,tap
normal,49.1,3,tap
normal,49.8,4,tap
normal,50.5,1,tap
normal,51.2,2,tap
normal,52,3,tap
normal,54,4,tap
normal,54.8,1,tap
normal,55.5,2,tap
normal,56.2,3,tap
normal,58,4,tap
normal,59.2,1,tap
normal,60.5,2,tap
normal,61.6,3,tap
normal,64.4,4,tap
normal,65.2,1,tap
normal,65.9,2,tap
normal,67,3,tap
normal,68.9,4,tap
normal,70.1,1,tap
normal,71.4,2,tap
normal,72.6,3,tap
normal,74.4,4,tap
normal,75.8,1,tap
normal,77.4,2,tap
normal,78.9,3,tap
normal,79.8,4,tap
normal,80.6,1,tap
normal,81.3,2,tap
normal,82.3,3,tap
normal,83.3,4,tap
normal,86,1,tap
normal,87.3,2,tap
normal,88.2,3,tap
normal,89,4,tap
normal,89.8,1,tap
normal,90.7,2,tap
normal,100.2,3,tap
normal,101.2,4,tap
hard,0.5,2,tap
hard,2,3,tap
hard,4.2,4,tap
hard,5.9,1,tap
hard,6.7,2,tap
hard,7.4,3,tap
hard,8.1,4,tap
hard,9.2,1,tap
hard,10.7,2,tap
hard,11.4,3,tap
hard,12.1,4,tap
hard,13,1,tap
hard,13.5,2,tap
hard,15.4,3,tap
hard,15.8,4,tap
hard,16.9,1,tap
hard,17.6,2,tap
hard,18.1,3,tap
hard,19.1,4,tap
hard,20.6,1,tap
hard,21.7,2,tap
hard,23.2,3,tap
hard,24.7,4,tap
hard,25.9,1,tap
hard,27.1,2,tap
hard,27.7,3,tap
hard,28,4,tap
hard,29.1,1,tap
hard,29.6,2,tap
hard,30.3,3,tap
hard,31.5,4,tap
hard,32.5,1,tap
hard,33.1,2,tap
hard,34.6,3,tap
hard,35.3,4,tap
hard,36,1,tap
hard,36.5,2,tap
hard,37.6,3,tap
hard,39.1,4,tap
hard,40,1,tap
hard,40.8,2,tap
hard,41.5,3,tap
hard,42.6,4,tap
hard,43.6,1,tap
hard,44.1,2,tap
hard,45.4,3,tap
hard,46.6,4,tap
hard,48.1,1,tap
hard,48.6,2,tap
hard,49.1,3,tap
hard,49.8,4,tap
hard,50.5,1,tap
hard,51.1,2,tap
hard,52,3,tap
hard,53,4,tap
hard,54,1,tap
hard,54.8,2,tap
hard,55.5,3,tap
hard,56.2,4,tap
hard,58,1,tap
hard,58.6,2,tap
hard,59.2,3,tap
hard,60.5,4,tap
hard,61.6,1,tap
hard,63.4,2,tap
hard,64,3,tap
hard,64.4,4,tap
hard,65.2,1,tap
hard,65.9,2,tap
hard,67,3,tap
hard,68.9,4,tap
hard,70.1,1,tap
hard,71.4,2,tap
hard,72.6,3,tap
hard,72.9,4,tap
hard,74.4,1,tap
hard,75.1,2,tap
hard,75.8,3,tap
hard,76.3,4,tap
hard,77.4,1,tap
hard,78.9,2,tap
hard,79.8,3,tap
hard,80.6,4,tap
hard,81.3,1,tap
hard,82.3,2,tap
hard,83.3,3,tap
hard,83.8,4,tap
hard,84.6,1,tap
hard,86,2,tap
hard,87.3,3,tap
hard,88.2,4,tap
hard,89,1,tap
hard,89.8,2,tap
hard,90.7,3,tap
hard,100.2,4,tap
hard,101.2,1,tap
hard,101.7,2,tap
