time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-20.6
0.5,-20
0.6,-21.1
0.7,-21
0.8,-20.5
0.9,-20.1
1,-19.5
1.1,-19.9
1.2,-19.5
1.3,-19.1
1.4,-18.5
1.5,-18
1.6,-18.5
1.7,-17.9
1.8,-18.2
1.9,-18.9
2,-19.3
2.1,-20.6
2.2,-20.3
2.3,-19.6
2.4,-19.2
2.5,-19
2.6,-19.4
2.7,-19
2.8,-18.8
2.9,-18.8
3,-18.5
3.1,-19
3.2,-17.7
3.3,-17.4
3.4,-17.5
3.5,-17.6
3.6,-19.3
3.7,-19.3
3.8,-19.1
3.9,-19.2
4,-19.2
4.1,-19.8
4.2,-19.8
4.3,-19.4
4.4,-19.8
4.5,-20
4.6,-20.4
4.7,-19.4
4.8,-18.5
4.9,-17.8
5,-17.1
5.1,-17.3
5.2,-16.4
5.3,-15.9
5.4,-15.8
5.5,-15.5
5.6,-15.9
5.7,-16.3
5.8,-16.8
5.9,-17.2
6,-18.3
6.1,-18.8
6.2,-18.7
6.3,-18.5
6.4,-18
6.5,-17.9
6.6,-18.4
6.7,-19.2
6.8,-19.8
6.9,-20.5
7,-20.8
7.1,-20.9
7.2,-19.4
7.3,-18.6
7.4,-18.7
7.5,-18.7
7.6,-20.6
7.7,-20.7
7.8,-19.8
7.9,-19.4
8,-19.1
8.1,-19.7
8.2,-18.5
8.3,-17.8
8.4,-17.6
8.5,-17.4
8.6,-18.8
8.7,-19
8.8,-19.3
8.9,-19.8
9,-20.1
9.1,-21.7
9.2,-22.5
9.3,-23.3
9.4,-24.7
9.5,-26.5
9.6,-28.3
9.7,-30
9.8,-31
9.9,-32.6
10,-34
10.1,-33
10.2,-20.3
10.3,-17.6
10.4,-16.6
10.5,-15.6
10.6,-16.4
10.7,-16.6
10.8,-16.3
10.9,-16.1
11,-16.3
11.1,-16.6
11.2,-16.7
11.3,-17
11.4,-16.2
11.5,-16
11.6,-16.4
11.7,-15.5
11.8,-15.5
11.9,-15.6
12,-16
12.1,-18
12.2,-18
12.3,-16.9
12.4,-15.8
12.5,-14.8
12.6,-15.6
12.7,-14.8
12.8,-13.9
12.9,-13
13,-12.2
13.1,-13.3
13.2,-14.2
13.3,-15
13.4,-15.9
13.5,-15.2
13.6,-16
13.7,-16.3
13.8,-17.5
13.9,-17.7
14,-16.9
14.1,-17.2
14.2,-16.2
14.3,-16.3
14.4,-16.7
14.5,-16.8
14.6,-17.4
14.7,-17.2
14.8,-17.3
14.9,-18.1
15,-18.8
15.1,-20.7
15.2,-22.1
