difficulty,time,col,type
easy,0.5,2,tap
easy,1.7,3,tap
easy,3.3,4,tap
easy,5.5,1,tap
easy,8.5,2,tap
easy,10.5,3,tap
easy,11.7,4,tap
easy,13,1,tap
easy,16.7,2,tap
easy,17.9,3,tap
easy,20,4,tap
easy,22,1,tap
easy,24,2,tap
easy,25,3,tap
easy,26.5,4,tap
easy,29.8,1,tap
easy,31.5,2,tap
easy,32.5,3,tap
easy,33.5,4,tap
easy,36.5,1,tap
easy,38.5,2,tap
easy,39.8,3,tap
easy,41.5,4,tap
easy,45,1,tap
easy,46.3,2,tap
easy,48.5,3,tap
easy,49.5,4,tap
easy,53.5,1,tap
easy,55,2,tap
easy,56,3,tap
easy,61,4,tap
easy,63.5,1,tap
easy,64.5,2,tap
easy,65.5,3,tap
easy,69,4,tap
easy,70,1,tap
easy,71.8,2,tap
easy,73,3,tap
easy,75.4,4,tap
easy,76.7,1,tap
easy,78.5,2,tap
easy,80,3,tap
easy,82.3,4,tap
easy,84.4,1,tap
easy,85.8,2,tap
normal,0.5,2,tap
normal,1.7,3,tap
normal,3.3,4,tap
normal,5.5,1,tap
normal,6.5,2,tap
normal,7.3,3,tap
normal,8.5,4,tap
normal,10.5,1,tap
normal,11.7,2,tap
normal,13,3,tap
normal,14.2,4,tap
normal,16.7,1,tap
normal,17.9,2,tap
normal,18.8,3,tap
normal,20,4,tap
normal,22,1,tap
normal,23,2,tap
normal,24,3,tap
normal,25,4,tap
normal,26.5,1,tap
normal,28.5,2,tap
normal,29.8,3,tap
normal,31.5,4,tap
normal,32.5,1,tap
normal,33.5,2,tap
normal,35,3,tap
normal,36.5,4,tap
normal,37.3,1,tap
normal,38.5,2,tap
normal,39.8,3,tap
normal,40.5,4,tap
normal,41.5,1,tap
normal,43.9,2,tap
normal,45,3,tap
normal,46.3,4,tap
normal,47,1,tap
normal,48.5,2,tap
normal,49.5,3,tap
normal,51,4,tap
normal,53.5,1,tap
normal,54.3,2,tap
normal,55,3,tap
normal,56,4,tap
normal,57.5,1,tap
normal,58.4,2,tap
normal,61,3,tap
normal,63.5,4,tap
normal,64.5,1,tap
normal,65.5,2,tap
normal,67.5,3,tap
normal,69,4,tap
normal,70,1,tap
normal,71.8,2,tap
normal,73,3,tap
normal,74,4,tap
normal,75.4,1,tap
normal,76.7,2,tap
normal,77.5,3,tap
normal,78.5,4,tap
normal,80,1,tap
normal,81,2,tap
normal,81.7,3,tap
normal,82.4,4,tap
normal,83.1,1,tap
normal,84.4,2,tap
normal,85.8,3,tap
normal,86.6,4,tap
normal,87.7,1,tap
hard,0.5,2,tap
hard,1.7,3,tap
hard,3.3,4,tap
hard,5.5,1,tap
hard,6.5,2,tap
hard,7.3,3,tap
hard,8.5,4,tap
hard,10.5,1,tap
hard,10.9,2,tap
hard,11.7,3,tap
hard,13,4,tap
hard,14.2,1,tap
hard,16.7,2,tap
hard,17.9,3,tap
hard,18.8,4,tap
hard,20,1,tap
hard,22,2,tap
hard,22.5,3,tap
hard,23,4,tap
hard,24,1,tap
hard,25,2,tap
hard,26.5,3,tap
hard,27,4,tap
hard,28.5,1,tap
hard,29.8,2,tap
hard,31.5,3,tap
hard,32.5,4,tap
hard,33.5,1,tap
hard,35,2,tap
hard,35.5,3,tap
hard,36.5,4,tap
hard,37,1,tap
hard,38.5,2,tap
hard,39.8,3,tap
hard,40.5,4,tap
hard,41.5,1,tap
hard,43.9,2,tap
hard,45,3,tap
hard,46.3,4,tap
hard,47,1,tap
hard,48.5,2,tap
hard,49.5,3,tap
hard,51,4,tap
hard,51.5,1,tap
hard,53.5,2,tap
hard,54.3,3,tap
hard,55,4,tap
hard,56,1,tap
hard,57.5,2,tap
hard,58.4,3,tap
hard,61,4,tap
hard,63.5,1,tap
hard,64.5,2,tap
hard,65,3,tap
hard,65.5,4,tap
hard,66,1,tap
hard,67.5,2,tap
hard,69,3,tap
hard,70,4,tap
hard,70.5,1,tap
hard,71.8,2,tap
hard,73,3,tap
hard,73.5,4,tap
hard,74,1,tap
hard,75.4,2,tap
hard,76,3,tap
hard,76.7,4,tap
hard,77.5,1,tap
hard,78.5,2,tap
hard,80,3,tap
hard,81,4,tap
hard,81.7,1,tap
hard,82.3,2,tap
hard,83,3,tap
hard,84.4,4,tap
hard,85,1,tap
hard,85.8,2,tap
hard,86.6,3,tap
hard,87.7,4,tap
