time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-52.1
0.5,-48.9
0.6,-46.8
0.7,-46.2
0.8,-45
0.9,-44.9
1,-44.2
1.1,-42
1.2,-40.1
1.3,-37.1
1.4,-34.7
1.5,-31.8
1.6,-28.7
1.7,-24.9
1.8,-19.8
1.9,-16.6
2,-14.9
2.1,-14.1
2.2,-14.2
2.3,-14.9
2.4,-16
2.5,-16.5
2.6,-16.3
2.7,-16.3
2.8,-15.5
2.9,-14.8
3,-14.5
3.1,-14.1
3.2,-13.9
3.3,-13.8
3.4,-13.6
3.5,-13.9
3.6,-14.1
3.7,-14.4
3.8,-14.5
3.9,-14.1
4,-13.6
4.1,-13.4
4.2,-13.3
4.3,-13.3
4.4,-13.4
4.5,-13.7
4.6,-13.7
4.7,-13.9
4.8,-13.7
4.9,-13.3
5,-13.3
5.1,-13.3
5.2,-13.7
5.3,-14.1
5.4,-14.4
5.5,-14.4
5.6,-14.7
5.7,-14.1
5.8,-13
5.9,-12.5
6,-12.2
6.1,-12.7
6.2,-13.7
6.3,-14.5
6.4,-14.4
6.5,-14
6.6,-13.9
6.7,-13.4
6.8,-13.4
6.9,-13.5
7,-13.9
7.1,-14.9
7.2,-15.7
7.3,-16.7
7.4,-16.6
7.5,-16.6
7.6,-16.2
7.7,-15.7
7.8,-15.3
7.9,-14.7
8,-14.5
8.1,-14.3
8.2,-14.4
8.3,-14.4
8.4,-14.2
8.5,-14.1
8.6,-13.7
8.7,-13.6
8.8,-13.5
8.9,-13.6
9,-14.1
9.1,-14.6
9.2,-15.3
9.3,-15.8
9.4,-16.7
9.5,-17.6
9.6,-18.7
9.7,-20.4
9.8,-20.5
9.9,-18.8
10,-17
10.1,-15.6
10.2,-15
10.3,-15.5
10.4,-16.3
10.5,-18.2
10.6,-20.3
10.7,-21.9
10.8,-23.5
10.9,-20.8
11,-19.6
11.1,-18.7
11.2,-17.1
11.3,-17.1
11.4,-17.5
11.5,-18.3
11.6,-21.3
11.7,-25.3
11.8,-22.8
11.9,-17.5
12,-15.6
12.1,-14.1
12.2,-13
12.3,-13.4
12.4,-13.1
12.5,-13.6
12.6,-14.9
12.7,-15.8
12.8,-17.4
12.9,-16.8
13,-15.7
13.1,-14.7
13.2,-14.1
13.3,-14.5
13.4,-14.5
13.5,-14.9
13.6,-15.6
13.7,-16
13.8,-16.7
13.9,-16.1
14,-15.7
14.1,-15.3
14.2,-14.9
14.3,-15.4
14.4,-15.8
14.5,-16.7
14.6,-17.9
14.7,-19.4
14.8,-21.4
14.9,-22.4
