start,end,text,uncertain,source,checked
9,15,星影 揺れる砂の海,1,raw_rescue,1
15,21,黄金の月が見守る,1,raw_rescue,1
21,25,千年過ぎた風の中,1,raw_rescue,1
25,29,あなたの声が聞こえる,1,raw_rescue,1
29,33.88,こがらし触れた指の先,1,vocal_text_raw_start,1
33.88,38.86,いつかの約束ほどけて,0,vocal,1
38.86,43.94,長い旅を終えて今,1,vocal_text_raw_start,1
43.94,49.8,二人の時が巡り合う,0,vocal,1
49,54.52,どこまでも続く空へ,0,vocal_text_raw_start,1
54.52,56.88,手を伸ばして,0,vocal,1
60,69,愛を誓い合う この愛は永遠,1,vocal,1
69,79,この目に映る あなたの姿,0,vocal_text_raw_time,1
79,83.24,空へと届ける,0,vocal_text_raw_time,1
