difficulty,time,col,type
easy,2.1,2,tap
easy,3.4,3,tap
easy,4.9,4,tap
easy,6,1,tap
easy,8.8,2,tap
easy,10.2,3,tap
easy,12.2,4,tap
easy,13.2,1,tap
easy,14.2,2,tap
easy,16.2,3,tap
easy,18,4,tap
easy,19.6,1,tap
easy,22.4,2,tap
easy,23.6,3,tap
easy,26.2,4,tap
easy,27.4,1,tap
easy,28.7,2,tap
easy,32.2,3,tap
easy,33.4,4,tap
easy,34.7,1,tap
easy,36.4,2,tap
easy,38.2,3,tap
easy,39.4,4,tap
easy,42.2,1,tap
easy,44.2,2,tap
easy,46.4,3,tap
easy,47.4,4,tap
easy,48.7,1,tap
easy,51.2,2,tap
easy,53.7,3,tap
easy,55.7,4,tap
easy,57.2,1,tap
easy,60,2,tap
easy,62.2,3,tap
easy,66.2,4,tap
easy,67.2,1,tap
easy,68.7,2,tap
easy,70.9,3,tap
easy,72.2,4,tap
easy,74.1,1,tap
easy,77.2,2,tap
easy,78.9,3,tap
easy,80.7,4,tap
easy,81.9,1,tap
easy,82.9,2,tap
normal,2.1,2,tap
normal,3.4,3,tap
normal,4.2,4,tap
normal,4.9,1,tap
normal,6,2,tap
normal,6.7,3,tap
normal,8.8,4,tap
normal,10.2,1,tap
normal,11.2,2,tap
normal,12.2,3,tap
normal,13.2,4,tap
normal,14.2,1,tap
normal,16.2,2,tap
normal,18,3,tap
normal,19.6,4,tap
normal,21.1,1,tap
normal,22.4,2,tap
normal,23.6,3,tap
normal,26.2,4,tap
normal,27.4,1,tap
normal,28.7,2,tap
normal,31.1,3,tap
normal,32.2,4,tap
normal,33.4,1,tap
normal,34.2,2,tap
normal,36.4,3,tap
normal,38.2,4,tap
normal,39.4,1,tap
normal,40.2,2,tap
normal,41.2,3,tap
normal,42.2,4,tap
normal,44.2,1,tap
normal,44.9,2,tap
normal,46.4,3,tap
normal,47.4,4,tap
normal,48.7,1,tap
normal,51.2,2,tap
normal,52.2,3,tap
normal,53.7,4,tap
normal,55.7,1,tap
normal,57.2,2,tap
normal,60,3,tap
normal,60.9,4,tap
normal,62.2,1,tap
normal,64.6,2,tap
normal,66.2,3,tap
normal,67.2,4,tap
normal,68.7,1,tap
normal,70.9,2,tap
normal,72.2,3,tap
normal,73.1,4,tap
normal,74.1,1,tap
normal,74.9,2,tap
normal,76.2,3,tap
normal,77.2,4,tap
normal,78.9,1,tap
normal,80.7,2,tap
normal,81.9,3,tap
normal,82.8,4,tap
normal,84.2,1,tap
normal,85,2,tap
hard,2.1,2,tap
hard,3.4,3,tap
hard,4.2,4,tap
hard,4.9,1,tap
hard,6,2,tap
hard,6.7,3,tap
hard,8.8,4,tap
hard,10.2,1,tap
hard,11.2,2,tap
hard,12.2,3,tap
hard,13.2,4,tap
hard,14.2,1,tap
hard,16.2,2,tap
hard,18,3,tap
hard,19.6,4,tap
hard,21.1,1,tap
hard,22.4,2,tap
hard,23.6,3,tap
hard,24.2,4,tap
hard,26.2,1,tap
hard,26.7,2,tap
hard,27.4,3,tap
hard,28.7,4,tap
hard,31.1,1,tap
hard,32.2,2,tap
hard,33.4,3,tap
hard,34.2,4,tap
hard,34.7,1,tap
hard,36.4,2,tap
hard,38.2,3,tap
hard,39.4,4,tap
hard,40.2,1,tap
hard,41.2,2,tap
hard,41.6,3,tap
hard,42.2,4,tap
hard,42.7,1,tap
hard,44.2,2,tap
hard,44.7,3,tap
hard,46.4,4,tap
hard,47.4,1,tap
hard,48.7,2,tap
hard,49.1,3,tap
hard,51.2,4,tap
hard,52.2,1,tap
hard,52.7,2,tap
hard,53.7,3,tap
hard,54.2,4,tap
hard,55.7,1,tap
hard,56.1,2,tap
hard,57.2,3,tap
hard,57.7,4,tap
hard,60,1,tap
hard,60.9,2,tap
hard,62.2,3,tap
hard,62.6,4,tap
hard,64.6,1,tap
hard,66.2,2,tap
hard,67.2,3,tap
hard,68.7,4,tap
hard,70.9,1,tap
hard,72.2,2,tap
hard,73.1,3,tap
hard,74.1,4,tap
hard,74.9,1,tap
hard,76.2,2,tap
hard,77.2,3,tap
hard,77.6,4,tap
hard,78.9,1,tap
hard,80.7,2,tap
hard,81.9,3,tap
hard,82.8,4,tap
hard,84.2,1,tap
hard,85,2,tap
