difficulty,time,col,type
easy,0.5,2,tap
easy,1.6,3,tap
easy,2.7,4,tap
easy,4.2,1,tap
easy,7.2,2,tap
easy,9,3,tap
easy,10.3,4,tap
easy,13.1,1,tap
easy,15.2,2,tap
easy,16.6,3,tap
easy,17.8,4,tap
easy,20.1,1,tap
easy,21.3,2,tap
easy,22.4,3,tap
easy,25.1,4,tap
easy,26.5,1,tap
easy,27.5,2,tap
easy,28.7,3,tap
easy,31.8,4,tap
easy,33.5,1,tap
easy,35.7,2,tap
easy,39,3,tap
easy,40.9,4,tap
easy,42.2,1,tap
easy,44.8,2,tap
easy,48.2,3,tap
easy,49.4,4,tap
easy,51.5,1,tap
easy,54.8,2,tap
easy,56.7,3,tap
easy,58.6,4,tap
easy,60.5,1,tap
easy,64.2,2,tap
easy,65.3,3,tap
easy,66.6,4,tap
easy,69.2,1,tap
easy,70.4,2,tap
easy,72.1,3,tap
easy,73.2,4,tap
easy,76.4,1,tap
easy,77.8,2,tap
easy,79.3,3,tap
easy,81.3,4,tap
easy,82.3,1,tap
easy,84.3,2,tap
normal,0.5,2,tap
normal,1.6,3,tap
normal,2.7,4,tap
normal,4.2,1,tap
normal,5.5,2,tap
normal,7.2,3,tap
normal,7.9,4,tap
normal,9,1,tap
normal,10.3,2,tap
normal,11.6,3,tap
normal,13.1,4,tap
normal,13.9,1,tap
normal,15.2,2,tap
normal,16.6,3,tap
normal,17.8,4,tap
normal,18.9,1,tap
normal,19.6,2,tap
normal,20.8,3,tap
normal,22.4,4,tap
normal,23.1,1,tap
normal,24,2,tap
normal,25.1,3,tap
normal,26.5,4,tap
normal,27.5,1,tap
normal,28.2,2,tap
normal,29.3,3,tap
normal,30.4,4,tap
normal,31.8,1,tap
normal,32.5,2,tap
normal,33.5,3,tap
normal,35.7,4,tap
normal,36.4,1,tap
normal,37.4,2,tap
normal,38.1,3,tap
normal,39,4,tap
normal,40.9,1,tap
normal,42.2,2,tap
normal,42.9,3,tap
normal,44.8,4,tap
normal,45.7,1,tap
normal,46.6,2,tap
normal,48.2,3,tap
normal,49.4,4,tap
normal,50.2,1,tap
normal,51.5,2,tap
normal,52.4,3,tap
normal,53.5,4,tap
normal,54.8,1,tap
normal,56.7,2,tap
normal,57.5,3,tap
normal,58.6,4,tap
normal,59.3,1,tap
normal,60.5,2,tap
normal,61.2,3,tap
normal,62.7,4,tap
normal,64.2,1,tap
normal,65.3,2,tap
normal,66.6,3,tap
normal,67.8,4,tap
normal,69.2,1,tap
normal,70.4,2,tap
normal,72.1,3,tap
normal,73.2,4,tap
normal,74.5,1,tap
normal,75.2,2,tap
normal,76.4,3,tap
normal,77.1,4,tap
normal,77.8,1,tap
normal,79.3,2,tap
normal,80.1,3,tap
normal,80.8,4,tap
normal,82.3,1,tap
normal,84.3,2,tap
normal,85.8,3,tap
normal,86.6,4,tap
hard,0.5,2,tap
hard,0.9,3,tap
hard,1.6,4,tap
hard,2.1,1,tap
hard,2.7,2,tap
hard,4.2,3,tap
hard,5.5,4,tap
hard,7.2,1,tap
hard,7.9,2,tap
hard,9,3,tap
hard,9.5,4,tap
hard,10.3,1,tap
hard,11.6,2,tap
hard,12.1,3,tap
hard,13.1,4,tap
hard,13.9,1,tap
hard,15.2,2,tap
hard,15.8,3,tap
hard,16.6,4,tap
hard,17.8,1,tap
hard,18.9,2,tap
hard,19.6,3,tap
hard,20.1,4,tap
hard,20.8,1,tap
hard,21.3,2,tap
hard,22.4,3,tap
hard,23,4,tap
hard,24,1,tap
hard,25.1,2,tap
hard,26.5,3,tap
hard,27.5,4,tap
hard,28.2,1,tap
hard,28.7,2,tap
hard,29.3,3,tap
hard,30.4,4,tap
hard,31.8,1,tap
hard,32.5,2,tap
hard,33.5,3,tap
hard,35.7,4,tap
hard,36.4,1,tap
hard,37.4,2,tap
hard,38.1,3,tap
hard,39,4,tap
hard,40.9,1,tap
hard,42.2,2,tap
hard,42.9,3,tap
hard,44.8,4,tap
hard,45.7,1,tap
hard,46.6,2,tap
hard,48.2,3,tap
hard,49.4,4,tap
hard,50.2,1,tap
hard,51.5,2,tap
hard,52.4,3,tap
hard,53.5,4,tap
hard,54.8,1,tap
hard,55.3,2,tap
hard,56.7,3,tap
hard,57.5,4,tap
hard,58.6,1,tap
hard,59.3,2,tap
hard,60.5,3,tap
hard,61.2,4,tap
hard,62.7,1,tap
hard,64.2,2,tap
hard,64.7,3,tap
hard,65.3,4,tap
hard,66.6,1,tap
hard,67.8,2,tap
hard,68.4,3,tap
hard,69.2,4,tap
hard,70.4,1,tap
hard,72.1,2,tap
hard,73.2,3,tap
hard,74.5,4,tap
hard,75.2,1,tap
hard,76.4,2,tap
hard,77.1,3,tap
hard,77.8,4,tap
hard,79.3,1,tap
hard,80.1,2,tap
hard,80.8,3,tap
hard,81.3,4,tap
hard,82.3,1,tap
hard,84.3,2,tap
hard,85.8,3,tap
hard,86.6,4,tap
