time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-21.9
0.5,-20.7
0.6,-15.6
0.7,-14
0.8,-13.5
0.9,-12.4
1,-13.6
1.1,-14.5
1.2,-14.6
1.3,-16
1.4,-16.8
1.5,-17.1
1.6,-17
1.7,-17.3
1.8,-17
1.9,-16.8
2,-16.7
2.1,-16.8
2.2,-14
2.3,-13.9
2.4,-12.3
2.5,-11.8
2.6,-12.9
2.7,-12.8
2.8,-14.8
2.9,-15.6
3,-16.9
3.1,-17.4
3.2,-18.4
3.3,-17.9
3.4,-17.1
3.5,-17.8
3.6,-17.3
3.7,-18
3.8,-18.3
3.9,-17.3
4,-14.7
4.1,-14.5
4.2,-12.7
4.3,-12.6
4.4,-13.6
4.5,-13.6
4.6,-15.9
4.7,-16.2
4.8,-16.2
4.9,-16.3
5,-16.3
5.1,-16.2
5.2,-16.8
5.3,-17.3
5.4,-17.3
5.5,-17.3
5.6,-17.4
5.7,-15.7
5.8,-14
5.9,-13.4
6,-11.4
6.1,-11.5
6.2,-11.9
6.3,-12.4
6.4,-14.9
6.5,-15.9
6.6,-16.7
6.7,-17.2
6.8,-16
6.9,-13.8
7,-13.4
7.1,-12.8
7.2,-12.9
7.3,-12.9
7.4,-12.2
7.5,-11.8
7.6,-11.3
7.7,-11.1
7.8,-11
7.9,-10.9
8,-11
8.1,-11.3
8.2,-11
8.3,-11.3
8.4,-11.1
8.5,-11.5
8.6,-11.5
8.7,-11.1
8.8,-11.3
8.9,-11.2
9,-11.9
9.1,-11.7
9.2,-11.8
9.3,-11.8
9.4,-11.9
9.5,-11.7
9.6,-11.8
9.7,-12.2
9.8,-12.8
9.9,-14
10,-13.3
10.1,-13.3
10.2,-12.4
10.3,-12.6
10.4,-12.7
10.5,-12.5
10.6,-13.3
10.7,-13.3
10.8,-13.8
10.9,-13.2
11,-13.3
11.1,-13.2
11.2,-13.7
11.3,-13.7
11.4,-13.7
11.5,-13.7
11.6,-13
11.7,-12.7
11.8,-12.1
11.9,-12.1
12,-12.1
12.1,-13.3
12.2,-12.6
12.3,-12.2
12.4,-12.3
12.5,-11.8
12.6,-11.8
12.7,-12
12.8,-12.1
12.9,-12.4
13,-13.7
13.1,-12.8
13.2,-12.8
13.3,-13.1
13.4,-13.1
13.5,-13.6
13.6,-14.1
13.7,-14
13.8,-14
13.9,-15.4
14,-14.1
14.1,-13.5
14.2,-13.9
14.3,-13.8
14.4,-13.3
14.5,-13.6
14.6,-13.4
14.7,-13.2
14.8,-14.6
14.9,-13.5
15,-13.3
15.1,-13
