start,end,text,uncertain,source,checked
15,22,夜道が歌う 赤の灯火,1,raw_rescue,1
22,28,香ばしい風 街にあふれ,,manual,1
28,38,誘う夜の向こう 今 暑い月が 見下ろすステージ,1,vocal,1
38,51.34,赤に染まる街 香ばしい熱 踊り続ける,1,vocal_text_raw_time,1
51.34,57.78,夜が終わる前 高ぶる心,0,vocal_text_raw_start,1
57.78,61.52,おさえられぬ愛を,1,vocal,1
61.52,65.56,まき散らすステージ,1,vocal_text_raw_time,1
63.76,68.68,影が揺れる美女の舞,1,vocal,1
68.68,72.66,香ばしい匂い,0,vocal_text_raw_time,1
72,74.25,夜が連れてく,0,vocal,1
74.25,78.66,熱い眼差し 今ひとつになる,0,vocal_text_raw_time,1
79.66,83.01,赤に咲く,0,vocal_text_raw_time,1
83.01,85.66,最後のステージ,0,vocal_text_raw_time,1
