difficulty,time,col,type
easy,0.9,2,tap
easy,2.5,3,tap
easy,4.3,4,tap
easy,6,1,tap
easy,7.9,2,tap
easy,10.9,3,tap
easy,11.9,4,tap
easy,14.7,1,tap
easy,15.9,2,tap
easy,17.8,3,tap
easy,21.4,4,tap
easy,23,1,tap
easy,24.4,2,tap
easy,25.4,3,tap
easy,27.1,4,tap
easy,30.1,1,tap
easy,31.3,2,tap
easy,33.3,3,tap
easy,35.6,4,tap
easy,36.7,1,tap
easy,39.6,2,tap
easy,41.2,3,tap
easy,43.1,4,tap
easy,44.5,1,tap
easy,45.5,2,tap
easy,48.4,3,tap
easy,49.6,4,tap
easy,52.3,1,tap
easy,53.7,2,tap
easy,55.2,3,tap
easy,57.5,4,tap
easy,59.6,1,tap
easy,60.9,2,tap
easy,62.2,3,tap
easy,63.6,4,tap
easy,67,1,tap
easy,68.5,2,tap
easy,70.1,3,tap
easy,71.8,4,tap
easy,73.1,1,tap
easy,76.9,2,tap
easy,79,3,tap
easy,80.9,4,tap
easy,82.1,1,tap
easy,83.8,2,tap
normal,0.9,2,tap
normal,2.5,3,tap
normal,4.3,4,tap
normal,5.1,1,tap
normal,6,2,tap
normal,7.9,3,tap
normal,8.7,4,tap
normal,9.5,1,tap
normal,10.2,2,tap
normal,10.9,3,tap
normal,11.8,4,tap
normal,12.5,1,tap
normal,14.7,2,tap
normal,15.9,3,tap
normal,17.8,4,tap
normal,19.1,1,tap
normal,19.8,2,tap
normal,21.4,3,tap
normal,23,4,tap
normal,24.4,1,tap
normal,25.1,2,tap
normal,27.1,3,tap
normal,28,4,tap
normal,28.7,1,tap
normal,30.1,2,tap
normal,31.3,3,tap
normal,33.3,4,tap
normal,34.2,1,tap
normal,35.6,2,tap
normal,36.7,3,tap
normal,37.8,4,tap
normal,39.6,1,tap
normal,40.3,2,tap
normal,41.2,3,tap
normal,41.9,4,tap
normal,43.1,1,tap
normal,44.5,2,tap
normal,45.5,3,tap
normal,46.6,4,tap
normal,48.4,1,tap
normal,49.1,2,tap
normal,50.5,3,tap
normal,52.3,4,tap
normal,53.7,1,tap
normal,55.2,2,tap
normal,56.2,3,tap
normal,57.5,4,tap
normal,59.6,1,tap
normal,60.9,2,tap
normal,62.2,3,tap
normal,63.6,4,tap
normal,66,1,tap
normal,67,2,tap
normal,67.8,3,tap
normal,68.5,4,tap
normal,70.1,1,tap
normal,71.8,2,tap
normal,73.1,3,tap
normal,74,4,tap
normal,75.6,1,tap
normal,76.9,2,tap
normal,77.8,3,tap
normal,79,4,tap
normal,80.9,1,tap
normal,81.6,2,tap
normal,82.6,3,tap
normal,83.8,4,tap
normal,85.4,1,tap
hard,0.9,2,tap
hard,2.5,3,tap
hard,4.3,4,tap
hard,5.1,1,tap
hard,6,2,tap
hard,7.9,3,tap
hard,8.7,4,tap
hard,9.5,1,tap
hard,10.2,2,tap
hard,10.9,3,tap
hard,11.8,4,tap
hard,12.5,1,tap
hard,14.7,2,tap
hard,15.3,3,tap
hard,15.9,4,tap
hard,16.5,1,tap
hard,17.8,2,tap
hard,19.1,3,tap
hard,19.8,4,tap
hard,21.4,1,tap
hard,23,2,tap
hard,23.6,3,tap
hard,24.4,4,tap
hard,24.9,1,tap
hard,25.2,2,tap
hard,27.1,3,tap
hard,28,4,tap
hard,28.7,1,tap
hard,30.1,2,tap
hard,30.5,3,tap
hard,31.3,4,tap
hard,33.3,1,tap
hard,34.2,2,tap
hard,35.6,3,tap
hard,36.7,4,tap
hard,37.8,1,tap
hard,39.6,2,tap
hard,40.3,3,tap
hard,41.2,4,tap
hard,41.8,1,tap
hard,43.1,2,tap
hard,44.5,3,tap
hard,45.5,4,tap
hard,46.6,1,tap
hard,48.4,2,tap
hard,49.1,3,tap
hard,49.6,4,tap
hard,50.5,1,tap
hard,52.3,2,tap
hard,52.7,3,tap
hard,53.7,4,tap
hard,55.2,1,tap
hard,56.2,2,tap
hard,57.5,3,tap
hard,59.6,4,tap
hard,60.9,1,tap
hard,61.4,2,tap
hard,62.2,3,tap
hard,62.7,4,tap
hard,63.6,1,tap
hard,66,2,tap
hard,67,3,tap
hard,67.8,4,tap
hard,68.5,1,tap
hard,70.1,2,tap
hard,70.7,3,tap
hard,71.8,4,tap
hard,72.4,1,tap
hard,73.1,2,tap
hard,74,3,tap
hard,75.6,4,tap
hard,76.9,1,tap
hard,77.8,2,tap
hard,79,3,tap
hard,79.5,4,tap
hard,80.9,1,tap
hard,81.6,2,tap
hard,82.1,3,tap
hard,82.6,4,tap
hard,83.8,1,tap
hard,84.3,2,tap
hard,85.4,3,tap
hard,86,4,tap
