time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-53.5
0.5,-34.8
0.6,-34.7
0.7,-34.8
0.8,-34.8
0.9,-50.2
1,-37.3
1.1,-37.1
1.2,-37.1
1.3,-37.1
1.4,-49.5
1.5,-26.9
1.6,-25.5
1.7,-24.5
1.8,-22.8
1.9,-22.8
2,-21.2
2.1,-21.2
2.2,-22
2.3,-23.4
2.4,-27.9
2.5,-24.5
2.6,-23.5
2.7,-22.8
2.8,-21.4
2.9,-22.8
3,-23.7
3.1,-24.9
3.2,-29.3
3.3,-33.1
3.4,-37.9
3.5,-35.3
3.6,-35.9
3.7,-29.5
3.8,-24.2
3.9,-22
4,-20.7
4.1,-20.7
4.2,-21.5
4.3,-22
4.4,-22.9
4.5,-22.2
4.6,-22.6
4.7,-23.9
4.8,-25.2
4.9,-28.9
5,-25.3
5.1,-24.2
5.2,-23.4
5.3,-23.2
5.4,-26
5.5,-26
5.6,-26.3
5.7,-25.2
5.8,-23.5
5.9,-22.9
6,-21.7
6.1,-21.8
6.2,-22.6
6.3,-24.3
6.4,-28.5
6.5,-25.7
6.6,-24.2
6.7,-22.8
6.8,-21.4
6.9,-22
7,-22.7
7.1,-24.1
7.2,-27.3
7.3,-30.5
7.4,-33.5
7.5,-31.9
7.6,-32
7.7,-28.2
7.8,-24.6
7.9,-22.5
8,-20.8
8.1,-20.6
8.2,-21
8.3,-21.2
8.4,-22.1
8.5,-21.4
8.6,-21.4
8.7,-22
8.8,-22.5
8.9,-24.1
9,-19
9.1,-19.1
9.2,-19
9.3,-18.4
9.4,-22.4
9.5,-14.9
9.6,-14.2
9.7,-13.6
9.8,-12.7
9.9,-14.3
10,-13.1
10.1,-13.2
10.2,-13.4
10.3,-13
10.4,-12.5
10.5,-12.2
10.6,-12.3
10.7,-12
10.8,-12.4
10.9,-12.9
11,-12.3
11.1,-13.5
11.2,-14.9
11.3,-14
11.4,-14.6
11.5,-12.7
11.6,-12.7
11.7,-12.9
11.8,-12.9
11.9,-14.7
12,-13.5
12.1,-14
12.2,-14.3
12.3,-13.7
12.4,-13.1
12.5,-12.8
12.6,-12.6
12.7,-12
12.8,-12.4
12.9,-12.3
13,-11.8
13.1,-12.7
13.2,-13.5
13.3,-13.8
13.4,-15.2
13.5,-13.3
13.6,-13.3
13.7,-13.3
13.8,-13.3
13.9,-15.5
14,-15
14.1,-16.1
14.2,-16.9
14.3,-16.2
14.4,-14.8
14.5,-14.3
14.6,-13.9
14.7,-13.2
14.8,-14
14.9,-14
15,-13.3
15.1,-15.2
15.2,-17.4
