start,end,text,uncertain,source,checked
8.91,13.43,紅の光  目覚める夢,,manual,1
13.43,25.66,白檀の香り 闇に包む,,manual,1
25.66,30,礎が歌う 魔界の言葉,,manual,1
30,33.32,茨絡む ねじれた王座,1,vocal_text_raw_time,1
33.32,37.34,我は闇より生まれし命,1,vocal_text_raw_time,1
37.34,41.36,暁を壊す魔王の目覚め,1,vocal_text_raw_time,1
41.36,45.36,震える空よ 跪きなさい,1,vocal_text_raw_time,1
45.36,49.02,永遠の夜が始まる時,0,vocal_text_raw_time,1
49.02,57.32,サソリの群れが 地下蠢き,1,vocal_text_raw_time,1
57.32,63.42,砂のささやき 魔術を唱え,0,vocal_text_raw_time,1
63.42,69.26,紅に染まる 天魔の眉毛,0,vocal_text_raw_time,1
69.26,72.9,白弾の煙 呪いを結ぶ,0,vocal_text_raw_time,1
72.9,77.38,我は闇より 生まれし命,0,vocal_text_raw_time,1
77.38,81.36,暁を壊す 魔王の目覚め,1,vocal_text_raw_time,1
81.36,85.36,震える空よ 跪きなさい,1,vocal_text_raw_time,1
85.36,89.02,永遠のこの夜が始まる時,0,vocal_text_raw_time,1
