difficulty,time,col,type
easy,2,2,tap
easy,4,3,tap
easy,5.3,4,tap
easy,6.8,1,tap
easy,8.1,2,tap
easy,11.5,3,tap
easy,13,4,tap
easy,14.7,1,tap
easy,16.7,2,tap
easy,19,3,tap
easy,21,4,tap
easy,23,1,tap
easy,24.7,2,tap
easy,27.6,3,tap
easy,28.7,4,tap
easy,30,1,tap
easy,31,2,tap
easy,34.6,3,tap
easy,36.8,4,tap
easy,38.8,1,tap
easy,40.1,2,tap
easy,42.5,3,tap
easy,44.8,4,tap
easy,46.1,1,tap
easy,47.8,2,tap
easy,50.3,3,tap
easy,52.3,4,tap
easy,53.8,1,tap
easy,55,2,tap
easy,58.7,3,tap
easy,60,4,tap
easy,61,1,tap
easy,63,2,tap
easy,67,3,tap
easy,68,4,tap
easy,69.8,1,tap
easy,71,2,tap
easy,74.8,3,tap
easy,76.8,4,tap
easy,79,1,tap
easy,80.1,2,tap
easy,82.5,3,tap
easy,84.8,4,tap
easy,86.1,1,tap
easy,87.6,2,tap
normal,2,2,tap
normal,2.8,3,tap
normal,4,4,tap
normal,5.3,1,tap
normal,6,2,tap
normal,6.8,3,tap
normal,8.1,4,tap
normal,9.8,1,tap
normal,10.7,2,tap
normal,11.5,3,tap
normal,13,4,tap
normal,13.7,1,tap
normal,14.7,2,tap
normal,15.6,3,tap
normal,16.7,4,tap
normal,17.7,1,tap
normal,19,2,tap
normal,21,3,tap
normal,21.7,4,tap
normal,23,1,tap
normal,23.7,2,tap
normal,24.7,3,tap
normal,25.8,4,tap
normal,26.7,1,tap
normal,27.6,2,tap
normal,30,3,tap
normal,30.7,4,tap
normal,31.6,1,tap
normal,32.6,2,tap
normal,34.6,3,tap
normal,36.8,4,tap
normal,37.5,1,tap
normal,38.8,2,tap
normal,40.1,3,tap
normal,40.8,4,tap
normal,42.5,1,tap
normal,43.3,2,tap
normal,44.8,3,tap
normal,46.1,4,tap
normal,46.8,1,tap
normal,47.8,2,tap
normal,48.8,3,tap
normal,50.3,4,tap
normal,52.3,1,tap
normal,53,2,tap
normal,53.8,3,tap
normal,54.7,4,tap
normal,55.6,1,tap
normal,56.7,2,tap
normal,57.5,3,tap
normal,60,4,tap
normal,61,1,tap
normal,63,2,tap
normal,65,3,tap
normal,65.8,4,tap
normal,67,1,tap
normal,68,2,tap
normal,68.7,3,tap
normal,69.8,4,tap
normal,70.7,1,tap
normal,71.8,2,tap
normal,73.8,3,tap
normal,74.8,4,tap
normal,75.5,1,tap
normal,76.8,2,tap
normal,77.5,3,tap
normal,79,4,tap
normal,80.1,1,tap
normal,80.8,2,tap
normal,82.5,3,tap
normal,84.8,4,tap
normal,86.1,1,tap
normal,86.8,2,tap
normal,87.6,3,tap
normal,88.3,4,tap
hard,2,2,tap
hard,2.8,3,tap
hard,4,4,tap
hard,5.3,1,tap
hard,6,2,tap
hard,6.8,3,tap
hard,8.1,4,tap
hard,9.8,1,tap
hard,10.7,2,tap
hard,11.5,3,tap
hard,13,4,tap
hard,13.6,1,tap
hard,14.7,2,tap
hard,15.6,3,tap
hard,16.7,4,tap
hard,17.7,1,tap
hard,19,2,tap
hard,19.5,3,tap
hard,21,4,tap
hard,21.6,1,tap
hard,23,2,tap
hard,23.6,3,tap
hard,24.7,4,tap
hard,25,1,tap
hard,25.8,2,tap
hard,26.7,3,tap
hard,27.6,4,tap
hard,28.7,1,tap
hard,30,2,tap
hard,30.7,3,tap
hard,31,4,tap
hard,31.6,1,tap
hard,32.6,2,tap
hard,34.6,3,tap
hard,36.8,4,tap
hard,37.5,1,tap
hard,38.8,2,tap
hard,40.1,3,tap
hard,40.8,4,tap
hard,41.3,1,tap
hard,42.5,2,tap
hard,43.3,3,tap
hard,44.8,4,tap
hard,45.3,1,tap
hard,46.1,2,tap
hard,46.8,3,tap
hard,47.8,4,tap
hard,48.3,1,tap
hard,48.8,2,tap
hard,49.3,3,tap
hard,50.3,4,tap
hard,50.8,1,tap
hard,52.3,2,tap
hard,53,3,tap
hard,53.8,4,tap
hard,54.7,1,tap
hard,55,2,tap
hard,55.6,3,tap
hard,56.7,4,tap
hard,57,1,tap
hard,57.5,2,tap
hard,58.7,3,tap
hard,59,4,tap
hard,60,1,tap
hard,61,2,tap
hard,61.5,3,tap
hard,63,4,tap
hard,63.6,1,tap
hard,65,2,tap
hard,65.8,3,tap
hard,67,4,tap
hard,67.5,1,tap
hard,68,2,tap
hard,68.7,3,tap
hard,69.8,4,tap
hard,70.7,1,tap
hard,71.8,2,tap
hard,73.8,3,tap
hard,74.8,4,tap
hard,75.5,1,tap
hard,76.8,2,tap
hard,77.5,3,tap
hard,79,4,tap
hard,80.1,1,tap
hard,80.8,2,tap
hard,81.3,3,tap
hard,82.5,4,tap
hard,84.8,1,tap
hard,85.3,2,tap
hard,86.1,3,tap
hard,86.8,4,tap
hard,87.6,1,tap
hard,88.3,2,tap
hard,88.8,3,tap
hard,89.3,4,tap
