time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-29.5
0.5,-24.6
0.6,-21.6
0.7,-19.4
0.8,-17.6
0.9,-17.9
1,-16.6
1.1,-17
1.2,-17.7
1.3,-16.5
1.4,-16.7
1.5,-16
1.6,-13.5
1.7,-12.5
1.8,-12.1
1.9,-10.6
2,-10.9
2.1,-11.4
2.2,-12.1
2.3,-15
2.4,-17.4
2.5,-20.5
2.6,-21.3
2.7,-20.8
2.8,-21.7
2.9,-21.1
3,-20.8
3.1,-21.1
3.2,-21.1
3.3,-22
3.4,-21.2
3.5,-19.9
3.6,-15
3.7,-12.7
3.8,-12
3.9,-10.5
4,-10.7
4.1,-11.4
4.2,-12.1
4.3,-15
4.4,-17.3
4.5,-19.5
4.6,-18.8
4.7,-17.2
4.8,-17.1
4.9,-17
5,-16.2
5.1,-17
5.2,-17.7
5.3,-18.2
5.4,-18.6
5.5,-19.3
5.6,-15.3
5.7,-12.9
5.8,-12.6
5.9,-10.7
6,-10.8
6.1,-11.5
6.2,-11.7
6.3,-14.3
6.4,-16
6.5,-17.6
6.6,-18.3
6.7,-17.8
6.8,-17.9
6.9,-18.1
7,-18.3
7.1,-18.8
7.2,-18.4
7.3,-18.9
7.4,-19.1
7.5,-19.1
7.6,-20.4
7.7,-21
7.8,-22.8
7.9,-15.7
8,-14
8.1,-12.5
8.2,-11.4
8.3,-12.6
8.4,-11.7
8.5,-11.9
8.6,-11.4
8.7,-10.8
8.8,-11.8
8.9,-12.4
9,-13.9
9.1,-16.2
9.2,-18.1
9.3,-19.5
9.4,-22.2
9.5,-23.7
9.6,-18.5
9.7,-16.7
9.8,-15.6
9.9,-14.3
10,-15
10.1,-15.1
10.2,-15.2
10.3,-15.8
10.4,-14.4
10.5,-14.1
10.6,-14
10.7,-13.8
10.8,-15.4
10.9,-14
11,-14.4
11.1,-15
11.2,-14.7
11.3,-17.1
11.4,-15
11.5,-14.7
11.6,-13.3
11.7,-12.7
11.8,-13.5
11.9,-13
12,-14.8
12.1,-16
12.2,-15.8
12.3,-16
12.4,-13.9
12.5,-13.6
12.6,-13.9
12.7,-14.1
12.8,-15.5
12.9,-13.9
13,-13.9
13.1,-14
13.2,-14.1
13.3,-16.4
13.4,-16
13.5,-16.3
13.6,-14.8
13.7,-14.5
13.8,-15.1
13.9,-14.5
14,-15.8
14.1,-15.6
14.2,-15.2
14.3,-15.6
14.4,-13.6
14.5,-13.3
14.6,-12.8
14.7,-12.9
14.8,-15.2
14.9,-14.1
15,-15.5
15.1,-15.9
15.2,-14.9
