start,end,text,uncertain,source,checked
8,13.4,眠る砂漠の冷たい銀が,,manual,1
13.4,17.05,紅の誇り まとう風,,manual,1
17.05,22.99,定めという錆びた手枷を,,manual,1
22.99,27.44,静かに笑う約束の夜,,manual,1
27.44,35.46,立てつく剣 心に秘め 欺く夜の開きを裂く,0,vocal_text_raw_time,1
35.46,39.18,漆黒の空 お礼に揺れて,1,vocal_text_raw_time,1
39.18,44.86,決して譲らぬ道を行く,0,vocal_text_raw_time,1
44.86,48.8,銀の夜明けを追い越して,0,vocal_text_raw_time,1
48.8,52.82,固く流れる血を見た,0,vocal_text_raw_time,1
52.82,57,光と闇の境で,0,vocal_text_raw_time,1
57,60.76,命の根を今打つ,0,vocal_text_raw_time,1
60.76,65.48,立てつく剣 心に秘め,0,vocal_text_raw_time,1
65.48,69.5,欺く夜の開きを裂く,0,vocal_text_raw_time,1
69.5,73.22,漆黒の空 お礼に揺れて,0,vocal_text_raw_time,1
73.22,77.44,決して譲らぬ道を行く,0,vocal_text_raw_time,1
77.44,81.04,決して譲らぬ道を行く,0,vocal_text_raw_time,1
81.04,84.34,さあ 行こう,0,vocal_text_raw_time,1
84.34,89.76,どこまでも,0,vocal_text_raw_time,1
84.34,89.76,我らわがまに,0,vocal_text_raw_time,1
