difficulty,time,col,type
easy,1.9,2,tap
easy,3,3,tap
easy,5,4,tap
easy,8.2,1,tap
easy,11.7,2,tap
easy,12.9,3,tap
easy,13.9,4,tap
easy,16.7,1,tap
easy,18.3,2,tap
easy,19.9,3,tap
easy,21.7,4,tap
easy,23.9,1,tap
easy,25.7,2,tap
easy,26.7,3,tap
easy,29.2,4,tap
easy,30.2,1,tap
easy,31.4,2,tap
easy,33.2,3,tap
easy,36.1,4,tap
easy,37.5,1,tap
easy,39.2,2,tap
easy,42.2,3,tap
easy,43.7,4,tap
easy,46.6,1,tap
easy,47.9,2,tap
easy,52,3,tap
easy,54.2,4,tap
easy,55.2,1,tap
easy,58.5,2,tap
easy,59.9,3,tap
easy,62.2,4,tap
easy,63.2,1,tap
easy,65.4,2,tap
easy,67.2,3,tap
easy,68.2,4,tap
easy,70.9,1,tap
easy,72,2,tap
easy,73.2,3,tap
easy,74.2,4,tap
easy,76.2,1,tap
easy,77.7,2,tap
easy,80.2,3,tap
easy,83.9,4,tap
easy,85,1,tap
easy,86.7,2,tap
normal,1.9,2,tap
normal,3,3,tap
normal,3.9,4,tap
normal,5,1,tap
normal,5.9,2,tap
normal,8.2,3,tap
normal,9.9,4,tap
normal,10.7,1,tap
normal,11.7,2,tap
normal,12.5,3,tap
normal,13.7,4,tap
normal,14.6,1,tap
normal,15.7,2,tap
normal,16.7,3,tap
normal,18.3,4,tap
normal,19.9,1,tap
normal,20.7,2,tap
normal,21.7,3,tap
normal,22.7,4,tap
normal,23.9,1,tap
normal,24.6,2,tap
normal,25.7,3,tap
normal,26.7,4,tap
normal,28.2,1,tap
normal,29.2,2,tap
normal,30.2,3,tap
normal,31.4,4,tap
normal,32.2,1,tap
normal,33.2,2,tap
normal,34,3,tap
normal,34.9,4,tap
normal,36.1,1,tap
normal,36.9,2,tap
normal,38.2,3,tap
normal,39.2,4,tap
normal,40,1,tap
normal,40.7,2,tap
normal,42.2,3,tap
normal,43.7,4,tap
normal,46.6,1,tap
normal,47.9,2,tap
normal,48.7,3,tap
normal,50.7,4,tap
normal,52,1,tap
normal,52.7,2,tap
normal,54.2,3,tap
normal,55.2,4,tap
normal,56.7,1,tap
normal,58.5,2,tap
normal,59.2,3,tap
normal,59.9,4,tap
normal,60.7,1,tap
normal,62.2,2,tap
normal,63.2,3,tap
normal,64.2,4,tap
normal,65.4,1,tap
normal,66.2,2,tap
normal,67.2,3,tap
normal,68,4,tap
normal,68.9,1,tap
normal,70.1,2,tap
normal,70.9,3,tap
normal,72,4,tap
normal,73.2,1,tap
normal,74,2,tap
normal,74.7,3,tap
normal,76.2,4,tap
normal,77.7,1,tap
normal,80.2,2,tap
normal,80.9,3,tap
normal,81.9,4,tap
normal,83.9,1,tap
normal,85,2,tap
normal,85.9,3,tap
normal,86.7,4,tap
hard,1.9,2,tap
hard,3,3,tap
hard,3.9,4,tap
hard,5,1,tap
hard,5.9,2,tap
hard,8.2,3,tap
hard,8.7,4,tap
hard,9.9,1,tap
hard,10.7,2,tap
hard,11.7,3,tap
hard,12.5,4,tap
hard,12.9,1,tap
hard,13.7,2,tap
hard,14.6,3,tap
hard,15.7,4,tap
hard,16.7,1,tap
hard,18.3,2,tap
hard,19.9,3,tap
hard,20.7,4,tap
hard,21.7,1,tap
hard,22.7,2,tap
hard,23.9,3,tap
hard,24.5,4,tap
hard,25.7,1,tap
hard,26.7,2,tap
hard,28.2,3,tap
hard,29.2,4,tap
hard,30.2,1,tap
hard,31.4,2,tap
hard,32.2,3,tap
hard,33.2,4,tap
hard,34,1,tap
hard,34.9,2,tap
hard,35.5,3,tap
hard,36.1,4,tap
hard,36.9,1,tap
hard,37.5,2,tap
hard,38.2,3,tap
hard,39.2,4,tap
hard,40,1,tap
hard,40.7,2,tap
hard,41.2,3,tap
hard,42.2,4,tap
hard,42.9,1,tap
hard,43.7,2,tap
hard,46.6,3,tap
hard,47.9,4,tap
hard,48.7,1,tap
hard,50.7,2,tap
hard,52,3,tap
hard,52.7,4,tap
hard,54.2,1,tap
hard,55.2,2,tap
hard,56.7,3,tap
hard,58.5,4,tap
hard,59.2,1,tap
hard,59.9,2,tap
hard,60.7,3,tap
hard,62.2,4,tap
hard,63.2,1,tap
hard,64.2,2,tap
hard,65.4,3,tap
hard,66.2,4,tap
hard,67.2,1,tap
hard,68,2,tap
hard,68.9,3,tap
hard,69.5,4,tap
hard,70.1,1,tap
hard,70.9,2,tap
hard,72,3,tap
hard,73.2,4,tap
hard,74,1,tap
hard,74.7,2,tap
hard,75.2,3,tap
hard,76.2,4,tap
hard,77.7,1,tap
hard,80.2,2,tap
hard,80.9,3,tap
hard,81.9,4,tap
hard,83.9,1,tap
hard,85,2,tap
hard,85.9,3,tap
hard,86.7,4,tap
hard,88.2,1,tap
hard,88.7,2,tap
