time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-13.9
0.5,-13.3
0.6,-15.2
0.7,-16.4
0.8,-17.5
0.9,-18.6
1,-18.3
1.1,-19.5
1.2,-18.7
1.3,-17.1
1.4,-17.4
1.5,-17.1
1.6,-17.3
1.7,-15.6
1.8,-14.2
1.9,-13.7
2,-13.3
2.1,-14.8
2.2,-14.4
2.3,-14
2.4,-14.1
2.5,-13.7
2.6,-15.3
2.7,-16.3
2.8,-17.3
2.9,-18.7
3,-18.4
3.1,-19.7
3.2,-18.5
3.3,-17.1
3.4,-17.2
3.5,-17.1
3.6,-17.8
3.7,-15.4
3.8,-14.2
3.9,-13.6
4,-13.4
4.1,-15.2
4.2,-14.6
4.3,-14.1
4.4,-14
4.5,-13.9
4.6,-15.8
4.7,-16.8
4.8,-17.5
4.9,-18.2
5,-17.7
5.1,-19
5.2,-18.3
5.3,-17.1
5.4,-17.6
5.5,-17.6
5.6,-18
5.7,-15.5
5.8,-14.1
5.9,-13.3
6,-12.9
6.1,-14.8
6.2,-14.5
6.3,-14.2
6.4,-14.5
6.5,-13.9
6.6,-15.3
6.7,-16.3
6.8,-17
6.9,-18
7,-17.5
7.1,-18.5
7.2,-17.5
7.3,-16.9
7.4,-17.2
7.5,-16.8
7.6,-17.6
7.7,-15
7.8,-13.8
7.9,-13.4
8,-12.8
8.1,-14.1
8.2,-15.4
8.3,-16.5
8.4,-18.7
8.5,-21.2
8.6,-23.8
8.7,-23.1
8.8,-22.3
8.9,-22
9,-21.9
9.1,-22.6
9.2,-22.5
9.3,-21.3
9.4,-22.4
9.5,-21.7
9.6,-21.1
9.7,-20.5
9.8,-18.8
9.9,-18
10,-16.8
10.1,-16.2
10.2,-14.3
10.3,-13.5
10.4,-13.7
10.5,-13.2
10.6,-13.9
10.7,-13.5
10.8,-13.3
10.9,-13.8
11,-13.3
11.1,-14
11.2,-13.5
11.3,-12.7
11.4,-12.9
11.5,-12.5
11.6,-12.6
11.7,-12.7
11.8,-12.8
11.9,-12.8
12,-12.8
12.1,-13.9
12.2,-13.5
12.3,-13.3
12.4,-13.6
12.5,-13
12.6,-13.8
12.7,-14.3
12.8,-14.4
12.9,-15.1
13,-14.4
13.1,-14.9
13.2,-14.8
13.3,-14.2
13.4,-15.2
13.5,-15.4
13.6,-16.5
13.7,-16.3
13.8,-16
13.9,-15.9
14,-14.9
14.1,-15.6
14.2,-14.6
14.3,-14.6
14.4,-14.6
14.5,-13.9
14.6,-14.2
14.7,-13.6
14.8,-13.6
14.9,-14.1
15,-13.6
