start,end,text,uncertain,source,checked
9.7,18,砂煙 舞う影を 追い詰めるこの鼓動,1,raw_rescue,1
18,26,白段のお香り辿るルール,1,raw_rescue,1
26,30,君の後ろをすり抜ける,,manual,1
30,37.64,見逃さない瞬きさえ 命を懸けたこの檻に,1,vocal,1
37.64,42.1,真昼の月もお息を呑む,0,vocal,1
42.1,51.54,信念に飛び込もう 逃げられない運命の中,0,vocal_text_raw_time,1
51.54,57.7,印を追いかけてゆく,1,vocal_text_raw_time,1
59.7,68.66,影が長く足跡遠く この手につかむまで,1,vocal_text_raw_time,1
68.66,77.32,サソリ座の子 そら 目印に 熱い夜炎をまき散らす,0,vocal_text_raw_time,1
77.32,83.84,誰にも止められない この嵐 燃える眼差し止まらない,1,vocal_text_raw_time,1
83.84,88.01,揺らめく愛の導,0,vocal_text_raw_time,1
83.85,90.44,静かにとらえる眼差し,1,vocal_text_raw_time,1
90.44,92.96,昨夜の夢終わりにする,0,vocal_text_raw_time,1
