difficulty,time,col,type
easy,0.5,2,tap
easy,2,3,tap
easy,4,4,tap
easy,8,1,tap
easy,10.5,2,tap
easy,11.5,3,tap
easy,14.7,4,tap
easy,15.7,1,tap
easy,17.3,2,tap
easy,20.3,3,tap
easy,21.3,4,tap
easy,23.3,1,tap
easy,26,2,tap
easy,27,3,tap
easy,28.7,4,tap
easy,32.5,1,tap
easy,33.5,2,tap
easy,34.5,3,tap
easy,37,4,tap
easy,38.8,1,tap
easy,40,2,tap
easy,42.5,3,tap
easy,44.5,4,tap
easy,45.5,1,tap
easy,48.8,2,tap
easy,50.5,3,tap
easy,51.5,4,tap
easy,53.8,1,tap
easy,55.5,2,tap
easy,57,3,tap
easy,61,4,tap
easy,62.8,1,tap
easy,64.5,2,tap
easy,67.5,3,tap
easy,70.5,4,tap
easy,71.5,1,tap
easy,74.7,2,tap
easy,76.5,3,tap
easy,77.5,4,tap
easy,80.5,1,tap
easy,81.8,2,tap
easy,83.7,3,tap
easy,85.8,4,tap
easy,87,1,tap
easy,88.9,2,tap
normal,0.5,2,tap
normal,1.3,3,tap
normal,2,4,tap
normal,4,1,tap
normal,6,2,tap
normal,8,3,tap
normal,10.5,4,tap
normal,11.5,1,tap
normal,12.5,2,tap
normal,13.3,3,tap
normal,14.7,4,tap
normal,15.5,1,tap
normal,16.5,2,tap
normal,17.3,3,tap
normal,19,4,tap
normal,20.3,1,tap
normal,21.3,2,tap
normal,22,3,tap
normal,23.3,4,tap
normal,24.5,1,tap
normal,25.3,2,tap
normal,26,3,tap
normal,27,4,tap
normal,27.8,1,tap
normal,28.7,2,tap
normal,30.7,3,tap
normal,31.5,4,tap
normal,32.5,1,tap
normal,33.5,2,tap
normal,34.5,3,tap
normal,36,4,tap
normal,37,1,tap
normal,38.8,2,tap
normal,40,3,tap
normal,41.5,4,tap
normal,42.5,1,tap
normal,44.5,2,tap
normal,45.5,3,tap
normal,46.3,4,tap
normal,47.2,1,tap
normal,48.8,2,tap
normal,50.5,3,tap
normal,51.5,4,tap
normal,52.5,1,tap
normal,53.8,2,tap
normal,54.6,3,tap
normal,55.5,4,tap
normal,57,1,tap
normal,59,2,tap
normal,59.8,3,tap
normal,61,4,tap
normal,62.8,1,tap
normal,63.5,2,tap
normal,64.5,3,tap
normal,65.8,4,tap
normal,67.5,1,tap
normal,70.5,2,tap
normal,71.5,3,tap
normal,73.3,4,tap
normal,74.7,1,tap
normal,75.5,2,tap
normal,76.5,3,tap
normal,77.5,4,tap
normal,78.5,1,tap
normal,79.4,2,tap
normal,80.5,3,tap
normal,81.8,4,tap
normal,82.5,1,tap
normal,83.7,2,tap
normal,84.5,3,tap
normal,85.5,4,tap
normal,86.5,1,tap
normal,87.8,2,tap
normal,88.9,3,tap
normal,91.3,4,tap
hard,0.5,2,tap
hard,1.3,3,tap
hard,2,4,tap
hard,2.5,1,tap
hard,4,2,tap
hard,4.5,3,tap
hard,6,4,tap
hard,6.5,1,tap
hard,8,2,tap
hard,10.5,3,tap
hard,11.5,4,tap
hard,12.5,1,tap
hard,13.3,2,tap
hard,14.7,3,tap
hard,15.5,4,tap
hard,16.5,1,tap
hard,17.3,2,tap
hard,19,3,tap
hard,20.3,4,tap
hard,21.3,1,tap
hard,22,2,tap
hard,23.3,3,tap
hard,24.5,4,tap
hard,25.3,1,tap
hard,26,2,tap
hard,27,3,tap
hard,27.8,4,tap
hard,28.7,1,tap
hard,30.7,2,tap
hard,31.5,3,tap
hard,32.5,4,tap
hard,33.5,1,tap
hard,34.5,2,tap
hard,35,3,tap
hard,36,4,tap
hard,36.5,1,tap
hard,37,2,tap
hard,38.8,3,tap
hard,40,4,tap
hard,40.5,1,tap
hard,41.5,2,tap
hard,42.5,3,tap
hard,44.5,4,tap
hard,45.5,1,tap
hard,46.3,2,tap
hard,47.2,3,tap
hard,48.8,4,tap
hard,49.2,1,tap
hard,50.5,2,tap
hard,51,3,tap
hard,51.5,4,tap
hard,52.5,1,tap
hard,53,2,tap
hard,53.8,3,tap
hard,54.6,4,tap
hard,55.5,1,tap
hard,56,2,tap
hard,57,3,tap
hard,57.5,4,tap
hard,59,1,tap
hard,59.8,2,tap
hard,61,3,tap
hard,61.5,4,tap
hard,62.8,1,tap
hard,63.5,2,tap
hard,64.5,3,tap
hard,65,4,tap
hard,65.8,1,tap
hard,67.5,2,tap
hard,68,3,tap
hard,70.5,4,tap
hard,71.5,1,tap
hard,72,2,tap
hard,73.3,3,tap
hard,74.7,4,tap
hard,75.5,1,tap
hard,76.5,2,tap
hard,77.5,3,tap
hard,78.5,4,tap
hard,79.4,1,tap
hard,80.5,2,tap
hard,81,3,tap
hard,81.8,4,tap
hard,82.4,1,tap
hard,83.7,2,tap
hard,84.5,3,tap
hard,85.5,4,tap
hard,86.5,1,tap
hard,87,2,tap
hard,87.8,3,tap
hard,88.9,4,tap
hard,91.3,1,tap
hard,92.1,2,tap
