start,end,text,uncertain,source,checked
10.83,15.67,小さな石に宿る面影,0,vocal_text_raw_time,1
15.67,22.09,琥珀のしずく流れる夢,,manual,1
22.09,29.12,誰も知らない神様の歌,0,vocal_text_raw_time,1
29.12,33.82,砂に積もる時の震え,1,vocal_text_raw_time,1
33.82,38.32,消えてしまったお城の跡,1,vocal_text_raw_time,1
38.32,42.92,お香の煙 空に舞う,1,vocal_text_raw_time,1
42.92,47.62,昔の名前 風が囁く,1,vocal_text_raw_time,1
47.62,54.62,忘れられた神の心,1,vocal_text_raw_time,1
52.84,60.6,光は遠く 影は近く,0,vocal,1
60.6,63.08,記憶 繋ぎ合わせる,1,vocal,1
63.08,66.22,秘められた力が今目覚める,1,vocal_text_raw_time,1
66.22,72.5,消えてしまったお城の跡,1,vocal_text_raw_time,1
72.5,77.08,昔の名前 風が捧ぐ,0,vocal_text_raw_time,1
77.08,81.88,忘れられた永遠の眠り,1,vocal_text_raw_time,1
81.88,85.86,実らせてさよならの前に,0,vocal_text_raw_time,1
85.86,86.88,琥珀の空,1,vocal_text_raw_time,1
