time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-51.3
0.5,-46.4
0.6,-43.4
0.7,-42
0.8,-40.6
0.9,-38.9
1,-37.4
1.1,-35.5
1.2,-34.6
1.3,-33.3
1.4,-31.6
1.5,-30
1.6,-27.1
1.7,-25.1
1.8,-24.5
1.9,-24.3
2,-24.9
2.1,-26.6
2.2,-26.9
2.3,-26.6
2.4,-26.5
2.5,-25.1
2.6,-24.3
2.7,-23.8
2.8,-23.6
2.9,-24.3
3,-25.5
3.1,-26.5
3.2,-26.7
3.3,-26.3
3.4,-25.6
3.5,-25
3.6,-24.7
3.7,-23.9
3.8,-23.8
3.9,-24.1
4,-24.6
4.1,-26.2
4.2,-26.1
4.3,-25.8
4.4,-25
4.5,-23.7
4.6,-23.2
4.7,-22.5
4.8,-22.3
4.9,-23
5,-23.8
5.1,-24.9
5.2,-25.1
5.3,-24.6
5.4,-24.4
5.5,-24.4
5.6,-24.7
5.7,-23.6
5.8,-23.5
5.9,-23.8
6,-24
6.1,-26
6.2,-26.4
6.3,-26.6
6.4,-26.4
6.5,-24.8
6.6,-24.4
6.7,-22.9
6.8,-22.6
6.9,-23.4
7,-23.8
7.1,-25.4
7.2,-25.8
7.3,-25.3
7.4,-24.7
7.5,-24.1
7.6,-24
7.7,-23.5
7.8,-23.5
7.9,-24.1
8,-24.2
8.1,-25.1
8.2,-25.6
8.3,-25
8.4,-25
8.5,-23.5
8.6,-23
8.7,-22.5
8.8,-22.4
8.9,-23.2
9,-23.8
9.1,-24.9
9.2,-25.1
9.3,-24.8
9.4,-24.5
9.5,-24.4
9.6,-23.6
9.7,-16
9.8,-13.9
9.9,-13.4
10,-12.7
10.1,-13.3
10.2,-13.5
10.3,-12.8
10.4,-12.3
10.5,-11.6
10.6,-11.7
10.7,-10.7
10.8,-10.7
10.9,-11.6
11,-11.7
11.1,-12.3
11.2,-12.3
11.3,-12.3
11.4,-12.3
11.5,-12.4
11.6,-13.3
11.7,-12.2
11.8,-11.8
11.9,-12.5
12,-12
12.1,-12.7
12.2,-12.7
12.3,-12.7
12.4,-12.4
12.5,-11.7
12.6,-11.9
12.7,-11.2
12.8,-11.2
12.9,-12
13,-12.3
13.1,-13.1
13.2,-13.7
13.3,-14.3
13.4,-14.5
13.5,-13.3
13.6,-13.7
13.7,-12.1
13.8,-11.2
13.9,-12.3
14,-11.9
14.1,-12.7
14.2,-13.3
14.3,-13.3
14.4,-13.4
14.5,-12.6
14.6,-12.8
14.7,-11.6
14.8,-11
14.9,-12
15,-12.2
15.1,-12.2
