start,end,text,uncertain,source,checked
8.94,13.32,深い水底 夢を見る,,manual,1
13.32,16.84,青い雫 香りつく,,manual,1
16.84,21.07,揺らぐ記憶 見る間に,,manual,1
21.07,24.95,溶ける意思へ 飲み込まれ,,manual,1
24.95,30,血潮の色 濁る渦,,manual,1
30,39,苦しい海 覗き込む,0,vocal_text_raw_time,1
39,45,重い水がのしかかり 息を忘れ 目を閉じる,0,vocal_text_raw_time,1
45,53,見えない何 輝いた 名前のないお城跡,0,vocal_text_raw_time,1
53,59,光を吸い込んで消え,0,vocal_text_raw_time,1
60,68,光を吸い 深海で 空気のない 暗いとこ,0,vocal_text_raw_time,1
68,77,花の匂いよみがえる 甘い香りうごめく幽夢,0,vocal_text_raw_time,1
77,83,底なし魔 底なし沼,0,vocal_text_raw_time,1
83,90.92,暗闇へ 落ちてゆく 青しずく すべて消え失せ,0,vocal_text_raw_time,1
