difficulty,time,col,type
easy,1.9,2,tap
easy,3.8,3,tap
easy,4.8,4,tap
easy,6.8,1,tap
easy,7.8,2,tap
easy,8.8,3,tap
easy,11.8,4,tap
easy,12.8,1,tap
easy,13.8,2,tap
easy,15.8,3,tap
easy,17.8,4,tap
easy,18.8,1,tap
easy,20.8,2,tap
easy,21.8,3,tap
easy,23.3,4,tap
easy,28.5,1,tap
easy,29.5,2,tap
easy,30.5,3,tap
easy,33.8,4,tap
easy,35,1,tap
easy,37,2,tap
easy,40.7,3,tap
easy,42,4,tap
easy,43.5,1,tap
easy,48.3,2,tap
easy,50,3,tap
easy,51,4,tap
easy,54.3,1,tap
easy,56.8,2,tap
easy,58.5,3,tap
easy,62.1,4,tap
easy,63.5,1,tap
easy,64.8,2,tap
easy,67.8,3,tap
easy,68.8,4,tap
easy,69.8,1,tap
easy,71.8,2,tap
easy,72.8,3,tap
easy,74.3,4,tap
easy,76.8,1,tap
easy,77.8,2,tap
easy,78.8,3,tap
easy,84.3,4,tap
easy,86.5,1,tap
easy,88,2,tap
normal,1.9,2,tap
normal,2.8,3,tap
normal,3.8,4,tap
normal,4.8,1,tap
normal,5.8,2,tap
normal,6.8,3,tap
normal,7.7,4,tap
normal,8.8,1,tap
normal,10,2,tap
normal,10.7,3,tap
normal,11.8,4,tap
normal,12.7,1,tap
normal,13.8,2,tap
normal,14.8,3,tap
normal,15.8,4,tap
normal,16.8,1,tap
normal,17.8,2,tap
normal,18.8,3,tap
normal,19.8,4,tap
normal,20.8,1,tap
normal,21.8,2,tap
normal,23.3,3,tap
normal,24.8,4,tap
normal,28.5,1,tap
normal,29.5,2,tap
normal,30.5,3,tap
normal,31.3,4,tap
normal,32.8,1,tap
normal,33.8,2,tap
normal,35,3,tap
normal,37,4,tap
normal,37.7,1,tap
normal,39.3,2,tap
normal,40.7,3,tap
normal,42,4,tap
normal,43.5,1,tap
normal,46.4,2,tap
normal,47.1,3,tap
normal,48.3,4,tap
normal,49,1,tap
normal,50,2,tap
normal,51,3,tap
normal,52.1,4,tap
normal,54.3,1,tap
normal,55,2,tap
normal,56.8,3,tap
normal,57.7,4,tap
normal,58.5,1,tap
normal,61,2,tap
normal,62.1,3,tap
normal,62.8,4,tap
normal,63.5,1,tap
normal,64.8,2,tap
normal,66.1,3,tap
normal,67,4,tap
normal,67.8,1,tap
normal,68.8,2,tap
normal,69.8,3,tap
normal,70.8,4,tap
normal,71.5,1,tap
normal,72.8,2,tap
normal,73.5,3,tap
normal,74.3,4,tap
normal,75.8,1,tap
normal,76.8,2,tap
normal,77.8,3,tap
normal,78.8,4,tap
normal,79.8,1,tap
normal,80.7,2,tap
normal,84.3,3,tap
normal,86.5,4,tap
normal,88,1,tap
normal,88.8,2,tap
normal,90.5,3,tap
hard,1.9,2,tap
hard,2.8,3,tap
hard,3.8,4,tap
hard,4.8,1,tap
hard,5.8,2,tap
hard,6.8,3,tap
hard,7.7,4,tap
hard,8.8,1,tap
hard,10,2,tap
hard,10.7,3,tap
hard,11.8,4,tap
hard,12.7,1,tap
hard,13.8,2,tap
hard,14.8,3,tap
hard,15.4,4,tap
hard,15.8,1,tap
hard,16.8,2,tap
hard,17.8,3,tap
hard,18.8,4,tap
hard,19.8,1,tap
hard,20.8,2,tap
hard,21.8,3,tap
hard,23.3,4,tap
hard,23.8,1,tap
hard,24.8,2,tap
hard,28.5,3,tap
hard,29,4,tap
hard,29.5,1,tap
hard,30.5,2,tap
hard,31.3,3,tap
hard,32.8,4,tap
hard,33.8,1,tap
hard,34.1,2,tap
hard,35,3,tap
hard,37,4,tap
hard,37.7,1,tap
hard,39.3,2,tap
hard,40.7,3,tap
hard,41.3,4,tap
hard,42,1,tap
hard,43.5,2,tap
hard,46.4,3,tap
hard,47,4,tap
hard,48.3,1,tap
hard,49,2,tap
hard,50,3,tap
hard,51,4,tap
hard,52.1,1,tap
hard,54.3,2,tap
hard,55,3,tap
hard,56.8,4,tap
hard,57.7,1,tap
hard,58.5,2,tap
hard,61,3,tap
hard,62.1,4,tap
hard,62.8,1,tap
hard,63.5,2,tap
hard,64.8,3,tap
hard,66.1,4,tap
hard,67,1,tap
hard,67.8,2,tap
hard,68.8,3,tap
hard,69.8,4,tap
hard,70.8,1,tap
hard,71.5,2,tap
hard,72.8,3,tap
hard,73.5,4,tap
hard,74.3,1,tap
hard,75.8,2,tap
hard,76.8,3,tap
hard,77.8,4,tap
hard,78.3,1,tap
hard,78.8,2,tap
hard,79.8,3,tap
hard,80.7,4,tap
hard,84.3,1,tap
hard,86.5,2,tap
hard,88,3,tap
hard,88.8,4,tap
hard,90.5,1,tap
hard,91,2,tap
