time,loudness
0.1,-120.7
0.2,-120.7
0.3,-120.7
0.4,-14.3
0.5,-14.6
0.6,-18.3
0.7,-20
0.8,-20.9
0.9,-21.5
1,-21.7
1.1,-22.7
1.2,-23.9
1.3,-24.9
1.4,-28.7
1.5,-30.1
1.6,-31.4
1.7,-32.5
1.8,-34.3
1.9,-28.6
2,-27.3
2.1,-26.6
2.2,-26.1
2.3,-28.1
2.4,-29.5
2.5,-28.4
2.6,-29.1
2.7,-26.9
2.8,-26.8
2.9,-28.2
3,-28.2
3.1,-27.8
3.2,-27.3
3.3,-27.4
3.4,-27.4
3.5,-31.1
3.6,-16
3.7,-14.9
3.8,-14.5
3.9,-14.2
4,-18.1
4.1,-20.5
4.2,-21.5
4.3,-22.6
4.4,-22.8
4.5,-23
4.6,-23.5
4.7,-23.9
4.8,-25.4
4.9,-26
5,-26.5
5.1,-26.7
5.2,-27.5
5.3,-26.1
5.4,-25.1
5.5,-24.9
5.6,-24.4
5.7,-25.5
5.8,-26.6
5.9,-26.2
6,-26.2
6.1,-24.9
6.2,-24.6
6.3,-25.5
6.4,-25.8
6.5,-28.1
6.6,-22.2
6.7,-20.9
6.8,-20.1
6.9,-19.6
7,-16.2
7.1,-15
7.2,-14.6
7.3,-14.4
7.4,-16.7
7.5,-18.7
7.6,-20.1
7.7,-20.8
7.8,-21.9
7.9,-21.4
8,-22
8.1,-22.7
8.2,-23.1
8.3,-26
8.4,-26.8
8.5,-27.1
8.6,-27.9
8.7,-26.5
8.8,-25.2
8.9,-24.9
9,-24.6
9.1,-25.6
9.2,-26.8
9.3,-27.3
9.4,-26.7
9.5,-26.9
9.6,-25.4
9.7,-25.6
9.8,-26.7
9.9,-26.7
10,-20
10.1,-17.8
10.2,-17
10.3,-16.5
10.4,-16.3
10.5,-15.5
10.6,-14.9
10.7,-14.9
10.8,-16.2
10.9,-18.6
11,-21
11.1,-21.6
11.2,-22
11.3,-21.1
11.4,-21.3
11.5,-21.7
11.6,-22.2
11.7,-24.7
11.8,-25.7
11.9,-26.8
12,-27.6
12.1,-27.7
12.2,-26.5
12.3,-25.7
12.4,-25.2
12.5,-25.5
12.6,-26.7
12.7,-27.9
12.8,-27.9
12.9,-28.3
13,-25.4
13.1,-25.4
13.2,-25.8
13.3,-25.8
13.4,-29.5
13.5,-30
13.6,-30.1
13.7,-30.5
13.8,-30.9
13.9,-16.1
14,-14.8
14.1,-13.9
14.2,-13.4
14.3,-15.4
14.4,-15.5
14.5,-15.3
14.6,-14.9
14.7,-14
14.8,-13.6
14.9,-12.9
15,-12.3
15.1,-13
