difficulty,time,col,type
easy,0.4,2,tap
easy,2.2,3,tap
easy,3.9,4,tap
easy,5.6,1,tap
easy,9,2,tap
easy,10.6,3,tap
easy,12.4,4,tap
easy,14.2,1,tap
easy,17.3,2,tap
easy,18.5,3,tap
easy,19.6,4,tap
easy,21,1,tap
easy,25,2,tap
easy,26.2,3,tap
easy,27.9,4,tap
easy,31.3,1,tap
easy,33.3,2,tap
easy,34.7,3,tap
easy,35.7,4,tap
easy,38,1,tap
easy,39,2,tap
easy,40.5,3,tap
easy,41.6,4,tap
easy,44.5,1,tap
easy,45.7,2,tap
easy,46.8,3,tap
easy,47.8,4,tap
easy,50.8,1,tap
easy,51.9,2,tap
easy,53.3,3,tap
easy,56,4,tap
easy,58.5,1,tap
easy,60.4,2,tap
easy,61.9,3,tap
easy,64.5,4,tap
easy,65.6,1,tap
easy,67.3,2,tap
easy,69,3,tap
easy,71.6,4,tap
easy,73.3,1,tap
easy,74.8,2,tap
easy,76.6,3,tap
easy,80.2,4,tap
easy,81.9,1,tap
easy,83.7,2,tap
normal,0.4,2,tap
normal,2.2,3,tap
normal,3.9,4,tap
normal,5.6,1,tap
normal,7.3,2,tap
normal,9,3,tap
normal,10.6,4,tap
normal,12.4,1,tap
normal,13.1,2,tap
normal,14.2,3,tap
normal,15,4,tap
normal,16,1,tap
normal,17.3,2,tap
normal,18.5,3,tap
normal,19.6,4,tap
normal,21,1,tap
normal,21.9,2,tap
normal,23.8,3,tap
normal,24.5,4,tap
normal,25.5,1,tap
normal,26.2,2,tap
normal,27,3,tap
normal,27.9,4,tap
normal,28.7,1,tap
normal,29.6,2,tap
normal,30.5,3,tap
normal,31.3,4,tap
normal,32,1,tap
normal,33.3,2,tap
normal,34.7,3,tap
normal,35.7,4,tap
normal,36.9,1,tap
normal,38,2,tap
normal,39,3,tap
normal,40.5,4,tap
normal,41.6,1,tap
normal,43.2,2,tap
normal,44.5,3,tap
normal,45.7,4,tap
normal,46.8,1,tap
normal,47.8,2,tap
normal,48.5,3,tap
normal,49.7,4,tap
normal,50.8,1,tap
normal,51.9,2,tap
normal,53.3,3,tap
normal,54.4,4,tap
normal,55.3,1,tap
normal,56,2,tap
normal,56.9,3,tap
normal,58.5,4,tap
normal,59.4,1,tap
normal,60.4,2,tap
normal,61.9,3,tap
normal,63.5,4,tap
normal,64.2,1,tap
normal,65.3,2,tap
normal,67.3,3,tap
normal,69,4,tap
normal,69.7,1,tap
normal,70.5,2,tap
normal,71.4,3,tap
normal,72.2,4,tap
normal,73.3,1,tap
normal,74.2,2,tap
normal,75.7,3,tap
normal,76.6,4,tap
normal,77.4,1,tap
normal,78.2,2,tap
normal,79.1,3,tap
normal,80.2,4,tap
normal,81.9,1,tap
normal,83.7,2,tap
normal,84.8,3,tap
hard,0.4,2,tap
hard,2.2,3,tap
hard,2.8,4,tap
hard,3.9,1,tap
hard,5.6,2,tap
hard,6.2,3,tap
hard,7.3,4,tap
hard,9,1,tap
hard,10.6,2,tap
hard,12.4,3,tap
hard,13,4,tap
hard,14.2,1,tap
hard,15,2,tap
hard,15.4,3,tap
hard,16,4,tap
hard,17.3,1,tap
hard,18.5,2,tap
hard,19.6,3,tap
hard,21,4,tap
hard,21.9,1,tap
hard,23.8,2,tap
hard,24.5,3,tap
hard,25,4,tap
hard,25.5,1,tap
hard,26.2,2,tap
hard,27,3,tap
hard,27.9,4,tap
hard,28.7,1,tap
hard,29.6,2,tap
hard,30.5,3,tap
hard,31.3,4,tap
hard,32,1,tap
hard,33.3,2,tap
hard,33.9,3,tap
hard,34.7,4,tap
hard,35.7,1,tap
hard,36.9,2,tap
hard,38,3,tap
hard,39,4,tap
hard,40.5,1,tap
hard,41.6,2,tap
hard,42.1,3,tap
hard,43.2,4,tap
hard,44.5,1,tap
hard,45,2,tap
hard,45.7,3,tap
hard,46.8,4,tap
hard,47.8,1,tap
hard,48.5,2,tap
hard,49,3,tap
hard,49.7,4,tap
hard,50.8,1,tap
hard,51.3,2,tap
hard,51.9,3,tap
hard,53.3,4,tap
hard,54.4,1,tap
hard,55.3,2,tap
hard,56,3,tap
hard,56.9,4,tap
hard,58.5,1,tap
hard,59.4,2,tap
hard,60.4,3,tap
hard,61.9,4,tap
hard,62.5,1,tap
hard,63.5,2,tap
hard,64.2,3,tap
hard,65.3,4,tap
hard,67.3,1,tap
hard,67.7,2,tap
hard,69,3,tap
hard,69.7,4,tap
hard,70.5,1,tap
hard,71.4,2,tap
hard,72.2,3,tap
hard,73.3,4,tap
hard,74.2,1,tap
hard,74.8,2,tap
hard,75.7,3,tap
hard,76.6,4,tap
hard,77.4,1,tap
hard,78.2,2,tap
hard,79.1,3,tap
hard,80.2,4,tap
hard,81.9,1,tap
hard,83.7,2,tap
hard,84.8,3,tap
