line,count,ids
あしたの　ほうへ,24,114110 116110 124110 126110 212110 216110 222110 226110 312110 314110 322110 324110 114136 11613C 124136 12613C 212136 21613C 222136 22613C 312136 31413C 322136 32413C
あるく　おと,24,114110 116110 124110 126110 212110 216110 222110 226110 312110 314110 322110 324110 114136 11613C 124136 12613C 212136 21613C 222136 22613C 312136 31413C 322136 32413C
うたが　のこる,24,113130 115130 123130 125130 211130 215130 221130 225130 311130 313130 321130 323130 114125 11612B 124125 12612B 212125 21612B 222125 22612B 312125 31412B 322125 32412B
うたが　はじまる,24,114130 116130 124130 126130 212130 216130 222130 226130 312130 314130 322130 324130 113122 115128 123122 125128 211122 215128 221122 225128 311122 313128 321122 323128
かぜが　はいって,24,113120 115120 123120 125120 211120 215120 221120 225120 311120 313120 321120 323120 114114 11611A 124114 12611A 212114 21611A 222114 22611A 312114 31411A 322114 32411A
かわく　ころには,24,113130 115130 123130 125130 211130 215130 221130 225130 311130 313130 321130 323130 114125 11612B 124125 12612B 212125 21612B 222125 22612B 312125 31412B 322125 32412B
きのうの　ほこりを,24,113120 115120 123120 125120 211120 215120 221120 225120 311120 313120 321120 323120 114114 11611A 124114 12611A 212114 21611A 222114 22611A 312114 31411A 322114 32411A
こえを　つなぐ,24,113110 115110 123110 125110 211110 215110 221110 225110 311110 313110 321110 323110 113133 115139 123133 125139 211133 215139 221133 225139 311133 313139 321133 323139
ことばの　かわりに,24,113130 115130 123130 125130 211130 215130 221130 225130 311130 313130 321130 323130 114125 11612B 124125 12612B 212125 21612B 222125 22612B 312125 31412B 322125 32412B
そっと　しまう,24,114120 116120 124120 126120 212120 216120 222120 226120 312120 314120 322120 324120 113111 115117 123111 125117 211111 215117 221111 225117 311111 313117 321111 323117
そっと　はらう,24,113120 115120 123120 125120 211120 215120 221120 225120 311120 313120 321120 323120 114114 11611A 124114 12611A 212114 21611A 222114 22611A 312114 31411A 322114 32411A
だれかの　ためだけ,24,114130 116130 124130 126130 212130 216130 222130 226130 312130 314130 322130 324130 113122 115128 123122 125128 211122 215128 221122 225128 311122 313128 321122 323128
ちいさな　しるしを,24,114120 116120 124120 126120 212120 216120 222120 226120 312120 314120 322120 324120 113111 115117 123111 125117 211111 215117 221111 225117 311111 313117 321111 323117
つぎの　ひかりへ,24,113110 115110 123110 125110 211110 215110 221110 225110 311110 313110 321110 323110 113133 115139 123133 125139 211133 215139 221133 225139 311133 313139 321133 323139
では　もう　なくて,24,114130 116130 124130 126130 212130 216130 222130 226130 312130 314130 322130 324130 113122 115128 123122 125128 211122 215128 221122 225128 311122 313128 321122 323128
なくさないように,24,114120 116120 124120 126120 212120 216120 222120 226120 312120 314120 322120 324120 113111 115117 123111 125117 211111 215117 221111 225117 311111 313117 321111 323117
ぬれた　ゆびさき,24,113130 115130 123130 125130 211130 215130 221130 225130 311130 313130 321130 323130 114125 11612B 124125 12612B 212125 21612B 222125 22612B 312125 31412B 322125 32412B
ふるい　まどから,24,113120 115120 123120 125120 211120 215120 221120 225120 311120 313120 321120 323120 114114 11611A 124114 12611A 212114 21611A 222114 22611A 312114 31411A 322114 32411A
まだ　きこえる,24,114110 116110 124110 126110 212110 216110 222110 226110 312110 314110 322110 324110 114136 11613C 124136 12613C 212136 21613C 222136 22613C 312136 31413C 322136 32413C
まどべの　かぜが,24,113110 115110 123110 125110 211110 215110 221110 225110 311110 313110 321110 323110 113133 115139 123133 125139 211133 215139 221133 225139 311133 313139 321133 323139
むねの　ちかくへ,24,114120 116120 124120 126120 212120 216120 222120 226120 312120 314120 322120 324120 113111 115117 123111 125117 211111 215117 221111 225117 311111 313117 321111 323117
よるが　きても,24,114110 116110 124110 126110 212110 216110 222110 226110 312110 314110 322110 324110 114136 11613C 124136 12613C 212136 21613C 222136 22613C 312136 31413C 322136 32413C
わたしの　なかで,24,114130 116130 124130 126130 212130 216130 222130 226130 312130 314130 322130 324130 113122 115128 123122 125128 211122 215128 221122 225128 311122 313128 321122 323128
ページを　めくる,24,113110 115110 123110 125110 211110 215110 221110 225110 311110 313110 321110 323110 113133 115139 123133 125139 211133 215139 221133 225139 311133 313139 321133 323139
あかりを　もつ,12,115110 125110 215110 225110 313110 323110 115128 125128 215128 225128 313128 323128
あしたの　みずなら,12,114120 124120 212120 222120 312120 322120 114136 124136 212136 222136 312136 322136
あしもとで　なる,12,113122 115128 123122 125128 211122 215128 221122 225128 311122 313128 321122 323128
いかせない　ひを,12,114120 124120 212120 222120 312120 322120 113122 123122 211122 221122 311122 321122
いのりを　おくる,12,116120 126120 216120 226120 314120 324120 11613C 12613C 21613C 22613C 31413C 32413C
うその　みちでも,12,115110 125110 215110 225110 313110 323110 115128 125128 215128 225128 313128 323128
うたに　のこした,12,113120 123120 211120 221120 311120 321120 11612B 12612B 21612B 22612B 31412B 32412B
うたへ　かえる,12,113130 123130 211130 221130 311130 321130 114114 124114 212114 222114 312114 322114
うみの　むこうへ,12,114120 124120 212120 222120 312120 322120 113122 123122 211122 221122 311122 321122
かえりみちに　さく,12,115120 125120 215120 225120 313120 323120 115139 125139 215139 225139 313139 323139
かがみに　うつらない,12,113120 123120 211120 221120 311120 321120 11612B 12612B 21612B 22612B 31412B 32412B
かけない　かわりに,12,113130 123130 211130 221130 311130 321130 114114 124114 212114 222114 312114 322114
かけない　ことば,12,116120 126120 216120 226120 314120 324120 115128 125128 215128 225128 313128 323128
かげを　しまう,12,114114 11611A 124114 12611A 212114 21611A 222114 22611A 312114 31411A 322114 32411A
かぜへ　にがす,12,114120 116120 124120 126120 212120 216120 222120 226120 312120 314120 322120 324120
かぜを　いれる,12,116130 126130 216130 226130 314130 324130 113111 123111 211111 221111 311111 321111
からっぽ　だから,12,114120 124120 212120 222120 312120 322120 114136 124136 212136 222136 312136 322136
かわいた　ふくろを,12,115130 125130 215130 225130 313130 323130 114136 124136 212136 222136 312136 322136
きみが　かえるまで,12,115110 125110 215110 225110 313110 323110 115128 125128 215128 225128 313128 323128
きみを　まもるため,12,115110 125110 215110 225110 313110 323110 114114 124114 212114 222114 312114 322114
くつの　すみに　のこる,12,114130 124130 212130 222130 312130 322130 113133 123133 211133 221133 311133 321133
くらい　うみでも,12,115130 125130 215130 225130 313130 323130 11611A 12611A 21611A 22611A 31411A 32411A
けさない　ままで,12,114110 124110 212110 222110 312110 322110 113111 123111 211111 221111 311111 321111
けした　あかりが,12,115130 125130 215130 225130 313130 323130 11611A 12611A 21611A 22611A 31411A 32411A
こえに　かえる,12,114110 116110 124110 126110 212110 216110 222110 226110 312110 314110 322110 324110
こえを　まつ,12,114125 11612B 124125 12612B 212125 21612B 222125 22612B 312125 31412B 322125 32412B
この　おりめだけ,12,114130 124130 212130 222130 312130 322130 115117 125117 215117 225117 313117 323117
このてで　なおす,12,113110 123110 211110 221110 311110 321110 113122 123122 211122 221122 311122 321122
こまかな　きずまで,12,113110 123110 211110 221110 311110 321110 11611A 12611A 21611A 22611A 31411A 32411A
こわくは　ない,12,115130 125130 215130 225130 313130 323130 11611A 12611A 21611A 22611A 31411A 32411A
こわくは　ないよ,12,115110 125110 215110 225110 313110 323110 115128 125128 215128 225128 313128 323128
さけた　はたでも,12,114110 124110 212110 222110 312110 322110 114125 124125 212125 222125 312125 322125
さらさら　こぼれても,12,113110 123110 211110 221110 311110 321110 113122 123122 211122 221122 311122 321122
しずかな　ろうそく,12,114110 124110 212110 222110 312110 322110 113111 123111 211111 221111 311111 321111
しずかに　みてる,12,113111 115117 123111 125117 211111 215117 221111 225117 311111 313117 321111 323117
しずけさの　なかで,12,116110 126110 216110 226110 314110 324110 11612B 12612B 21612B 22612B 31412B 32412B
しらない　ひとの,12,113130 123130 211130 221130 311130 321130 11613C 12613C 21613C 22613C 31413C 32413C
しろい　かみに,12,113130 123130 211130 221130 311130 321130 114114 124114 212114 222114 312114 322114
すこし　あるいた,12,115130 125130 215130 225130 313130 323130 114136 124136 212136 222136 312136 322136
すこし　かるくなる,12,114120 124120 212120 222120 312120 322120 114136 124136 212136 222136 312136 322136
すこし　まざる,12,113120 123120 211120 221120 311120 321120 113133 123133 211133 221133 311133 321133
そっと　のぞいた,12,116120 126120 216120 226120 314120 324120 115128 125128 215128 225128 313128 323128
そっと　ひらく,12,113110 115110 123110 125110 211110 215110 221110 225110 311110 313110 321110 323110
ただしい　おりめ,12,115120 125120 215120 225120 313120 323120 114125 124125 212125 222125 312125 322125
たなに　もどして,12,116130 126130 216130 226130 314130 324130 113111 123111 211111 221111 311111 321111
だれかを　すくうなら,12,115130 125130 215130 225130 313130 323130 11611A 12611A 21611A 22611A 31411A 32411A
だれにも　いわない,12,114130 124130 212130 222130 312130 322130 113133 123133 211133 221133 311133 321133
だれも　いわない,12,114110 124110 212110 222110 312110 322110 114125 124125 212125 222125 312125 322125
ちいさな　あしたを,12,113110 123110 211110 221110 311110 321110 113122 123122 211122 221122 311122 321122
